Date,price
2006/06/05,2.1
2006/06/07,2
2006/06/12,2
2006/07/11,2.23
2006/07/12,2.38
2006/07/13,2.97
2006/07/14,2.68
2006/07/17,2.69
2006/07/18,3.15
2006/07/19,3
2006/08/04,2.3
2006/08/11,2.04
2006/08/15,2.04
2006/08/23,2.2
2006/08/29,2.5
2006/09/06,2.4
2006/09/14,2.34
2006/09/22,2.5
2006/09/26,2.48
2006/09/27,2.37
2006/10/09,2.7
2006/10/10,3
2006/10/11,2.7
2006/10/12,2.69
2006/10/16,2.92
2006/10/17,2.7
2006/10/23,2.41
2006/10/30,2.45
2006/10/31,2.8
2006/11/01,2.8
2006/11/02,2.6
2006/11/06,2.62
2006/11/07,3
2006/11/08,2.9
2006/11/09,3
2006/11/10,4.5
2006/11/13,4.5
2006/11/14,4
2006/11/15,3
2006/11/16,3.1
2006/11/17,3.21
2006/11/20,3.03
2006/11/21,3
2006/11/22,2.8
2006/11/23,3
2006/11/24,3
2006/11/27,3
2006/11/28,2.34
2006/11/29,2.5
2006/11/30,2.32
2006/12/01,2.5
2006/12/04,3.8
2006/12/05,2.4
2006/12/06,2.5
2006/12/07,2.25
2006/12/08,2.4
2006/12/11,2.7
2006/12/12,2.69
2006/12/14,2.33
2006/12/18,3
2006/12/19,2.8
2006/12/20,2.2
2006/12/21,2.33
2006/12/22,3
2006/12/25,3.5
2006/12/26,3.01
2006/12/27,2.5
2006/12/28,1.69
2006/12/29,1.63
2007/01/04,1.86
2007/01/05,1.89
2007/01/09,1.98
2007/01/10,1.98
2007/01/11,1.98
2007/01/12,2.33
2007/01/15,2.5
2007/01/17,2.2
2007/01/18,2.98
2007/01/19,5
2007/01/22,5.05
2007/01/23,4.76
2007/01/24,2.88
2007/01/25,3.08
2007/01/26,2.01
2007/02/01,5
2007/02/06,7.9
2007/02/07,7.4
2007/02/09,6.8
2007/02/12,9
2007/02/13,3.25
2007/02/14,2
2007/02/15,1.5
2007/02/16,1.59
2007/02/26,2.4
2007/02/27,1.98
2007/03/01,1.98
2007/03/02,1.84
2007/03/05,2.02
2007/03/07,1.97
2007/03/08,1.97
2007/03/09,1.89
2007/03/12,2.02
2007/03/13,1.7
2007/03/15,2.15
2007/03/16,2.9
2007/03/19,2.51
2007/03/21,2.87
2007/03/22,2.79
2007/03/23,2.8
2007/03/26,2.56
2007/03/27,2.1
2007/03/28,1.62
2007/03/29,2
2007/03/30,1.8
2007/04/02,2.3
2007/04/03,2.4
2007/04/06,3
2007/04/09,2.85
2007/04/10,3
2007/04/11,3.1
2007/04/12,4
2007/04/13,4
2007/04/16,5.5
2007/04/17,7.78
2007/04/18,9
2007/04/19,8.01
2007/04/20,7
2007/04/23,6
2007/04/24,5.09
2007/04/25,3.88
2007/04/26,3
2007/04/27,2.99
2007/04/30,2.33
2007/05/08,2.2
2007/05/09,2.2
2007/05/11,3
2007/05/14,3.95
2007/05/15,2.5
2007/05/16,2.05
2007/05/21,2.4
2007/05/23,2.6
2007/05/25,2.6
2007/05/29,3
2007/05/30,2.4
2007/06/01,2.4
2007/06/05,2.75
2007/06/06,2.3
2007/06/07,2.35
2007/06/08,2.6
2007/06/11,2.75
2007/06/12,3.1
2007/06/20,2.3
2007/06/21,2.3
2007/06/22,2.2
2007/06/25,2.24
2007/06/26,4
2007/06/27,5
2007/06/28,5.51
2007/06/29,6.03
2007/07/02,6
2007/07/04,3.5
2007/07/05,3.56
2007/07/06,3.2
2007/07/09,6.99
2007/07/10,7.13
2007/07/11,3.55
2007/07/12,3.53
2007/07/16,2.71
2007/07/17,2
2007/07/18,2.6
2007/07/19,2.6
2007/07/20,3
2007/07/25,3
2007/07/26,3.1
2007/07/30,2.6
2007/08/02,2.75
2007/08/08,2
2007/08/09,1.9
2007/08/13,2.5
2007/08/14,2
2007/08/15,1.9
2007/08/16,2.3
2007/08/17,1.76
2007/08/22,1.85
2007/08/29,2.4
2007/08/30,4
2007/09/03,2.6
2007/09/10,8.8
2007/09/11,11.82
2007/09/12,15
2007/09/13,20
2007/09/14,23
2007/09/17,22
2007/09/21,12.11
2007/09/24,10.22
2007/09/26,5.1
2007/09/27,2.94
2007/10/08,3.29
2007/10/09,1.85
2007/10/10,2
2007/10/11,3
2007/10/12,3
2007/10/15,3
2007/10/16,3.01
2007/10/17,10
2007/10/18,10
2007/10/19,13.98
2007/10/22,19
2007/10/23,17
2007/10/24,17.7
2007/10/25,15
2007/10/26,5.3
2007/10/29,5
2007/10/30,3
2007/11/01,3
2007/11/05,3
2007/11/06,4.5
2007/11/08,4.3
2007/11/09,5.01
2007/11/12,9
2007/11/13,10
2007/11/14,7.42
2007/11/15,7
2007/11/16,8
2007/11/28,6.5
2007/11/29,6
2007/11/30,5.99
2007/12/03,7.99
2007/12/04,8
2007/12/07,8.18
2007/12/10,9
2007/12/12,5.53
2007/12/13,6.3
2007/12/14,6
2007/12/24,2.5
2007/12/25,1.9
2007/12/26,2.5
2007/12/27,2.5
2007/12/28,2.5
2008/01/10,3.2
2008/01/11,3.6
2008/01/14,6.85
2008/01/15,5.5
2008/01/16,5.5
2008/01/17,5
2008/01/18,4
2008/01/21,6
2008/01/24,5.6
2008/01/29,3.1
