date,price
2012/05/28,2.604
2012/05/29,2.644
2012/05/30,2.636
2012/05/31,2.63
2012/06/01,2.63
2012/06/04,2.558
2012/06/05,2.561
2012/06/06,2.559
2012/06/07,2.543
2012/06/08,2.534
2012/06/11,2.564
2012/06/12,2.548
2012/06/13,2.585
2012/06/14,2.574
2012/06/15,2.584
2012/06/18,2.592
2012/06/19,2.573
2012/06/20,2.57
2012/06/21,2.53
2012/06/25,2.48
2012/06/26,2.48
2012/06/27,2.471
2012/06/28,2.457
2012/06/29,2.485
2012/07/02,2.485
2012/07/03,2.489
2012/07/04,2.489
2012/07/05,2.461
2012/07/06,2.501
2012/07/09,2.451
2012/07/10,2.441
2012/07/11,2.452
2012/07/12,2.474
2012/07/13,2.478
2012/07/16,2.438
2012/07/17,2.443
2012/07/18,2.443
2012/07/19,2.451
2012/07/20,2.433
2012/07/23,2.403
2012/07/24,2.408
2012/07/25,2.393
2012/07/26,2.382
2012/07/27,2.385
2012/07/30,2.377
2012/07/31,2.371
2012/08/01,2.389
2012/08/02,2.371
2012/08/03,2.385
2012/08/06,2.416
2012/08/07,2.419
2012/08/08,2.421
2012/08/09,2.445
2012/08/10,2.438
2012/08/13,2.392
2012/08/14,2.388
2012/08/15,2.366
2012/08/16,2.359
2012/08/17,2.349
2012/08/20,2.336
2012/08/21,2.345
2012/08/22,2.328
2012/08/23,2.339
2012/08/24,2.316
2012/08/27,2.268
2012/08/28,2.268
2012/08/29,2.253
2012/08/30,2.243
2012/08/31,2.243
2012/09/03,2.257
2012/09/04,2.233
2012/09/05,2.232
2012/09/06,2.254
2012/09/07,2.357
2012/09/10,2.365
2012/09/11,2.347
2012/09/12,2.359
2012/09/13,2.336
2012/09/14,2.352
2012/09/17,2.297
2012/09/18,2.269
2012/09/19,2.278
2012/09/20,2.229
2012/09/21,2.228
2012/09/24,2.248
2012/09/25,2.245
2012/09/26,2.221
2012/09/27,2.285
2012/09/28,2.338
2012/10/08,2.303
2012/10/09,2.356
2012/10/10,2.356
2012/10/11,2.34
2012/10/12,2.338
2012/10/15,2.33
2012/10/16,2.331
2012/10/17,2.34
2012/10/18,2.369
2012/10/19,2.369
2012/10/22,2.378
2012/10/23,2.351
2012/10/24,2.347
2012/10/25,2.328
2012/10/26,2.276
2012/10/29,2.265
2012/10/30,2.27
2012/10/31,2.286
2012/11/01,2.334
2012/11/02,2.339
2012/11/05,2.333
2012/11/06,2.324
2012/11/07,2.322
2012/11/08,2.28
2012/11/09,2.274
2012/11/12,2.282
2012/11/13,2.247
2012/11/14,2.253
2012/11/15,2.226
2012/11/16,2.205
2012/11/19,2.205
2012/11/20,2.199
2012/11/21,2.226
2012/11/22,2.213
2012/11/23,2.225
2012/11/26,2.211
2012/11/27,2.187
2012/11/28,2.163
2012/11/29,2.155
2012/11/30,2.165
2012/12/03,2.145
2012/12/04,2.162
2012/12/05,2.238
2012/12/06,2.235
2012/12/07,2.28
2012/12/10,2.301
2012/12/11,2.294
2012/12/12,2.299
2012/12/13,2.281
2012/12/14,2.396
2012/12/17,2.403
2012/12/18,2.399
2012/12/19,2.405
2012/12/20,2.421
2012/12/21,2.411
2012/12/24,2.413
2012/12/25,2.479
2012/12/26,2.486
2012/12/27,2.481
2012/12/28,2.517
2012/12/31,2.557
2013/01/04,2.563
2013/01/07,2.567
2013/01/08,2.556
2013/01/09,2.554
2013/01/10,2.56
2013/01/11,2.522
2013/01/14,2.61
2013/01/15,2.625
2013/01/16,2.606
2013/01/17,2.59
2013/01/18,2.628
2013/01/21,2.637
2013/01/22,2.633
2013/01/23,2.638
2013/01/24,2.621
2013/01/25,2.609
2013/01/28,2.679
2013/01/29,2.699
2013/01/30,2.714
2013/01/31,2.721
2013/02/01,2.773
2013/02/04,2.778
2013/02/05,2.798
2013/02/06,2.806
2013/02/07,2.793
2013/02/08,2.802
2013/02/18,2.761
2013/02/19,2.717
2013/02/20,2.729
2013/02/21,2.633
2013/02/22,2.625
2013/02/25,2.629
2013/02/26,2.591
2013/02/27,2.615
2013/02/28,2.702
2013/03/01,2.699
2013/03/04,2.573
2013/03/05,2.646
2013/03/06,2.674
2013/03/07,2.642
2013/03/08,2.638
2013/03/11,2.62
2013/03/12,2.583
2013/03/13,2.555
2013/03/14,2.56
2013/03/15,2.562
2013/03/18,2.535
2013/03/19,2.557
2013/03/20,2.634
2013/03/21,2.641
2013/03/22,2.648
2013/03/25,2.644
2013/03/26,2.601
2013/03/27,2.607
2013/03/28,2.527
2013/03/29,2.52
2013/04/01,2.516
2013/04/02,2.52
2013/04/03,2.515
2013/04/08,2.503
2013/04/09,2.518
2013/04/10,2.518
2013/04/11,2.507
2013/04/12,2.499
2013/04/15,2.474
2013/04/16,2.489
2013/04/17,2.495
2013/04/18,2.5
2013/04/19,2.57
2013/04/22,2.562
2013/04/23,2.485
2013/04/24,2.527
2013/04/25,2.501
2013/04/26,2.478
2013/05/02,2.48
2013/05/03,2.524
2013/05/06,2.553
2013/05/07,2.559
2013/05/08,2.575
2013/05/09,2.562
2013/05/10,2.572
2013/05/13,2.562
2013/05/14,2.525
2013/05/15,2.537
2013/05/16,2.588
2013/05/17,2.632
2013/05/20,2.647
2013/05/21,2.647
2013/05/22,2.65
2013/05/23,2.622
2013/05/24,2.636
2013/05/27,2.63
2013/05/28,2.684
2013/05/29,2.675
2013/05/30,2.668
2013/05/31,2.638
2013/06/03,2.643
2013/06/04,2.605
2013/06/05,2.598
2013/06/06,2.573
2013/06/07,2.527
2013/06/13,2.45
2013/06/14,2.467
2013/06/17,2.452
2013/06/18,2.468
2013/06/19,2.454
2013/06/20,2.378
2013/06/21,2.367
2013/06/24,2.224
2013/06/25,2.225
2013/06/26,2.22
2013/06/27,2.221
2013/06/28,2.261
2013/07/01,2.27
2013/07/02,2.277
2013/07/03,2.272
2013/07/04,2.288
2013/07/05,2.296
2013/07/08,2.235
2013/07/09,2.23
2013/07/10,2.291
2013/07/11,2.404
2013/07/12,2.345
2013/07/15,2.378
2013/07/16,2.392
2013/07/17,2.357
2013/07/18,2.321
2013/07/19,2.258
2013/07/22,2.272
2013/07/23,2.342
2013/07/24,2.325
2013/07/25,2.319
2013/07/26,2.298
2013/07/29,2.254
2013/07/30,2.267
2013/07/31,2.272
2013/08/01,2.331
2013/08/02,2.327
2013/08/05,2.36
2013/08/06,2.375
2013/08/07,2.359
2013/08/08,2.36
2013/08/09,2.37
2013/08/12,2.44
2013/08/13,2.44
2013/08/14,2.435
2013/08/15,2.407
2013/08/16,2.39
2013/08/19,2.41
2013/08/20,2.393
2013/08/21,2.393
2013/08/22,2.385
2013/08/23,2.37
2013/08/26,2.422
2013/08/27,2.422
2013/08/28,2.411
2013/08/29,2.404
2013/08/30,2.4
2013/09/02,2.402
2013/09/03,2.438
2013/09/04,2.437
2013/09/05,2.427
2013/09/06,2.441
2013/09/09,2.53
2013/09/10,2.563
2013/09/11,2.574
2013/09/12,2.599
2013/09/13,2.58
2013/09/16,2.567
2013/09/17,2.517
2013/09/18,2.52
2013/09/23,2.555
2013/09/24,2.531
2013/09/25,2.516
2013/09/26,2.475
2013/09/27,2.484
2013/09/30,2.5
2013/10/08,2.535
2013/10/09,2.538
2013/10/10,2.516
2013/10/11,2.556
2013/10/14,2.557
2013/10/15,2.554
2013/10/16,2.51
2013/10/17,2.497
2013/10/18,2.509
2013/10/21,2.562
2013/10/22,2.534
2013/10/23,2.507
2013/10/24,2.487
2013/10/25,2.448
2013/10/28,2.451
2013/10/29,2.454
2013/10/30,2.488
2013/10/31,2.464
2013/11/01,2.474
2013/11/04,2.467
2013/11/05,2.467
2013/11/06,2.439
2013/11/07,2.429
2013/11/08,2.393
2013/11/11,2.396
2013/11/12,2.42
2013/11/13,2.375
2013/11/14,2.382
2013/11/15,2.431
2013/11/18,2.51
2013/11/19,2.499
2013/11/20,2.51
2013/11/21,2.498
2013/11/22,2.484
2013/11/25,2.471
2013/11/26,2.47
2013/11/27,2.498
2013/11/28,2.524
2013/11/29,2.526
2013/12/02,2.503
2013/12/03,2.525
2013/12/04,2.557
2013/12/05,2.557
2013/12/06,2.54
2013/12/09,2.539
2013/12/10,2.538
2013/12/11,2.499
2013/12/12,2.494
2013/12/13,2.493
2013/12/16,2.453
2013/12/17,2.438
2013/12/18,2.44
2013/12/19,2.417
2013/12/20,2.366
2013/12/23,2.366
2013/12/24,2.369
2013/12/25,2.381
2013/12/26,2.349
2013/12/27,2.38
2013/12/30,2.382
2013/12/31,2.409
2014/01/02,2.401
2014/01/03,2.375
2014/01/06,2.319
2014/01/07,2.32
2014/01/08,2.318
2014/01/09,2.304
2014/01/10,2.288
2014/01/13,2.272
2014/01/14,2.287
2014/01/15,2.287
2014/01/16,2.288
2014/01/17,2.256
2014/01/20,2.245
2014/01/21,2.263
2014/01/22,2.323
2014/01/23,2.311
2014/01/24,2.323
2014/01/27,2.294
2014/01/28,2.296
2014/01/29,2.303
2014/01/30,2.272
2014/02/07,2.286
2014/02/10,2.35
2014/02/11,2.361
2014/02/12,2.365
2014/02/13,2.359
2014/02/14,2.367
2014/02/17,2.383
2014/02/18,2.356
2014/02/19,2.386
2014/02/20,2.366
2014/02/21,2.34
2014/02/24,2.289
2014/02/25,2.232
2014/02/26,2.235
2014/02/27,2.23
2014/02/28,2.252
2014/03/03,2.26
2014/03/04,2.255
2014/03/05,2.236
2014/03/06,2.247
2014/03/07,2.24
2014/03/10,2.173
2014/03/11,2.182
2014/03/12,2.184
2014/03/13,2.217
