Date,Price
2000/01/04,96.97
2000/01/05,96.79
2000/01/06,97.08
2000/01/07,97.39
2000/01/11,97.75
2000/01/12,97.58
2000/01/13,98.13
2000/01/14,98.62
2000/01/17,98.69
2000/01/18,99.26
2000/01/19,100.11
2000/01/20,100.03
2000/01/21,100.26
2000/01/24,100.5
2000/01/25,99.91
2000/01/26,99.95
2000/01/27,100.38
2000/01/28,101.23
2000/01/31,100.71
2000/02/01,101.09
2000/02/02,101.56
2000/02/14,102.6
2000/02/15,102.24
2000/02/16,101.12
2000/02/17,101.39
2000/02/18,101.39
2000/02/21,101.87
2000/02/22,101.43
2000/02/23,101.5
2000/02/24,101.14
2000/02/25,100.75
2000/02/28,100.5
2000/02/29,99.01
2000/03/01,99.16
2000/03/02,99.37
2000/03/03,99.42
2000/03/06,99.05
2000/03/07,99.27
2000/03/08,98.34
2000/03/09,98.31
2000/03/10,98.61
2000/03/13,98.46
2000/03/14,98.64
2000/03/15,98.89
2000/03/16,99.77
2000/03/17,99.81
2000/03/20,99.27
2000/03/21,99.11
2000/03/22,98.98
2000/03/23,98.11
2000/03/24,97.99
2000/03/27,98.1
2000/03/28,97.7
2000/03/29,97.73
2000/03/30,97.37
2000/03/31,97.37
2000/04/03,97.54
2000/04/04,97.25
2000/04/05,96.47
2000/04/06,96.47
2000/04/07,95.4
2000/04/10,95.57
2000/04/11,95.51
2000/04/12,95.45
2000/04/13,95.49
2000/04/14,95.35
2000/04/17,94.73
2000/04/18,95.19
2000/04/19,95.26
2000/04/20,95.08
2000/04/21,95.33
2000/04/24,95.43
2000/04/25,95.63
2000/04/26,96.65
2000/04/27,96.4
2000/04/28,96.41
2000/05/08,97.26
2000/05/09,96.75
2000/05/10,96.73
2000/05/11,96.28
2000/05/12,96.6
2000/05/15,96.39
2000/05/16,96.49
2000/05/17,96.62
2000/05/18,96.47
2000/05/19,96.5
2000/05/22,96.64
2000/05/23,96.4
2000/05/24,96.91
2000/05/25,96.46
2000/05/26,95.93
2000/05/29,95.11
2000/05/30,94.41
2000/05/31,94.24
2000/06/01,94.53
2000/06/02,94.86
2000/06/05,94.43
2000/06/06,94.55
2000/06/07,94.49
2000/06/08,94.16
2000/06/09,94.3
2000/06/12,93.73
