Index,value
2004/1/2,0.986947554
2004/1/5,1.035204396
2004/1/6,1.049705845
2004/1/7,1.060089117
2004/1/8,1.076054373
2004/1/9,1.055687937
2004/1/12,1.089853195
2004/1/13,1.075742094
2004/1/14,1.053667883
2004/1/15,1.048066381
2004/1/16,1.057503057
2004/1/29,1.074044078
2004/1/30,1.041791528
2004/2/2,1.065388098
2004/2/3,1.076337376
2004/2/4,1.101212338
2004/2/5,1.100685367
2004/2/6,1.095005796
2004/2/9,1.107233465
2004/2/10,1.09391282
2004/2/11,1.083275821
2004/2/12,1.067710672
2004/2/13,1.069906383
2004/2/16,1.096635501
2004/2/17,1.096508638
2004/2/18,1.10203207
2004/2/19,1.095298557
2004/2/20,1.097523544
2004/2/23,1.066764077
2004/2/24,1.066725042
2004/2/25,1.044533726
2004/2/26,1.05384354
2004/2/27,1.062450725
2004/3/1,1.067837536
2004/3/2,1.067008045
2004/3/3,1.046758713
2004/3/4,1.052330939
2004/3/5,1.045724289
2004/3/8,1.031593671
2004/3/9,1.035555709
2004/3/10,1.064773299
2004/3/11,1.069125686
2004/3/12,1.072560753
2004/3/15,1.104374161
2004/3/16,1.108170301
2004/3/17,1.107779953
2004/3/18,1.085022631
2004/3/19,1.102520006
2004/3/22,1.107409121
2004/3/23,1.094273892
2004/3/24,1.088594321
2004/3/25,1.088330835
2004/3/26,1.085930192
2004/3/29,1.075078502
2004/3/30,1.074697912
2004/3/31,1.081792497
2004/4/1,1.096332981
2004/4/2,1.100597539
2004/4/5,1.091287726
2004/4/6,1.096742847
2004/4/7,1.090750996
2004/4/8,1.085988744
2004/4/9,1.061904237
2004/4/12,1.054019196
2004/4/13,1.046846542
2004/4/14,1.039966648
2004/4/15,1.030412867
2004/4/16,1.045382734
2004/4/19,1.029290615
2004/4/20,1.026850936
2004/4/21,1.018351096
2004/4/22,1.025406647
2004/4/23,1.009451149
2004/4/26,1.013930399
2004/4/27,1.006338119
2004/4/28,1.00496214
2004/4/29,0.991983051
2004/4/30,1.001195277
2004/5/10,0.972124067
2004/5/11,0.979677312
2004/5/12,1.000287716
2004/5/13,0.996364713
2004/5/14,0.973870877
2004/5/17,0.958052002
2004/5/18,0.965341761
2004/5/19,0.965058758
2004/5/20,0.962140903
2004/5/21,0.970455327
