Date,Price
2017/6/23,126.73
2017/6/22,126.67
2017/6/21,126.84
2017/6/20,126.92
2017/6/19,126.66
2017/6/16,126.92
2017/6/15,126.84
2017/6/14,127.11
2017/6/13,126.61
2017/6/12,126.56
2017/6/9,126.66
2017/6/8,126.7
2017/6/7,126.78
2017/6/6,127.02
2017/6/5,126.73
2017/6/2,126.89
2017/6/1,126.45
2017/5/31,126.56
2017/5/30,126.44
2017/5/29,125.93
2017/5/28,125.88
2017/5/26,126.19
2017/5/25,126.17
2017/5/24,126.06
2017/5/23,125.86
2017/5/22,126.12
2017/5/19,126.19
2017/5/18,126.28
2017/5/17,126.42
2017/5/16,125.55
2017/5/15,125.45
2017/5/12,125.47
2017/5/11,124.92
2017/5/10,124.81
2017/5/9,124.83
2017/5/8,125.06
2017/5/5,125.22
2017/5/4,125.17
2017/5/3,125.55
2017/5/2,125.7
2017/5/1,125.47
2017/4/28,125.72
2017/4/27,125.64
2017/4/26,125.56
2017/4/25,125.41
2017/4/24,125.8
2017/4/21,126.06
2017/4/20,125.95
2017/4/19,126.28
2017/4/18,126.52
2017/4/17,125.91
2017/4/13,126.08
2017/4/12,125.47
2017/4/11,125.48
2017/4/10,124.91
2017/4/7,124.81
2017/4/6,125.12
2017/4/5,125.05
2017/4/4,125.03
2017/4/3,125.03
2017/3/31,124.56
2017/3/30,124.34
2017/3/29,124.58
2017/3/28,124.36
2017/3/27,124.67
2017/3/24,124.53
2017/3/23,124.41
2017/3/22,125.08
2017/3/21,124.91
2017/3/20,124.67
2017/3/17,124.39
2017/3/16,124.23
2017/3/15,124.39
2017/3/14,123.56
2017/3/13,123.47
2017/3/10,123.66
2017/3/9,123.47
2017/3/8,123.77
2017/3/7,124.05
2017/3/6,124.19
2017/3/3,124.17
2017/3/2,124.08
2017/3/1,124.28
2017/2/28,125.11
2017/2/27,125.14
2017/2/24,125.61
2017/2/23,125.05
2017/2/22,124.77
2017/2/21,124.7
2017/2/20,124.62
2017/2/19,124.71
2017/2/17,124.7
2017/2/16,124.45
2017/2/15,123.97
2017/2/14,124.23
2017/2/13,124.59
2017/2/10,124.78
2017/2/9,124.92
2017/2/8,125.36
2017/2/7,125.11
2017/2/6,124.94
2017/2/3,124.28
2017/2/2,124.38
2017/2/1,124.33
2017/1/31,124.47
2017/1/30,124.22
2017/1/27,124.17
2017/1/26,123.97
2017/1/25,123.81
2017/1/24,124.22
2017/1/23,124.81
2017/1/20,124.22
2017/1/19,124.17
2017/1/18,124.72
2017/1/17,125.23
2017/1/16,124.83
2017/1/15,124.84
2017/1/13,124.78
2017/1/12,124.89
2017/1/11,124.81
2017/1/10,124.77
2017/1/9,124.78
2017/1/6,124.41
2017/1/5,124.83
2017/1/4,124.11
2017/1/3,124.11
2017/1/2,124.04
2016/12/30,124.28
2016/12/29,123.94
2016/12/28,123.64
2016/12/27,123.2
2016/12/26,123.29
2016/12/23,123.36
2016/12/22,123.27
2016/12/21,123.3
2016/12/20,123.94
2016/12/19,124.03
2016/12/16,123.61
2016/12/15,123.7
2016/12/14,124.16
2016/12/13,124.67
2016/12/12,124.77
2016/12/9,124.8
2016/12/8,125.28
2016/12/7,125.55
2016/12/6,125.2
2016/12/5,125.19
2016/12/2,125.23
2016/12/1,124.73
2016/11/30,125.23
2016/11/29,125.77
2016/11/28,125.64
2016/11/25,125.2
2016/11/24,125.12
2016/11/23,125.36
2016/11/22,125.7
