"Index","ASX200.aud"
2001-04-18,13657.30902
2001-04-19,14219.93034
2001-04-20,14074.2314
2001-04-23,13847.99736
2001-04-24,13838.4522
2001-04-26,14008.104
2001-04-27,13880.4946
2001-04-30,14112.99366
2001-05-01,14239.51286
2001-05-02,14363.2125
2001-05-03,14377.53
2001-05-04,14347.78155
2001-05-07,14370.62128
2001-05-08,14265.45025
2001-05-09,14524.41627
2001-05-10,14670.9953
2001-05-11,14628.6185
2001-05-14,14529.25476
2001-05-15,14633.45928
2001-05-16,14645.9733
2001-05-17,14884.991
2001-05-18,14930.04219
2001-05-21,14972.06799
2001-05-22,14879.70135
2001-05-23,14649.48517
2001-05-24,14646.1
2001-05-25,14754.84226
2001-05-28,14734.13281
2001-05-29,14593.70913
2001-05-30,14428.7512
2001-05-31,14141.19559
2001-06-01,14272.7886
2001-06-04,14399.67874
2001-06-05,14440.31512
2001-06-06,14620.9143
2001-06-07,14770.85046
2001-06-08,14917.65984
2001-06-12,14793.74784
2001-06-13,14854.24408
2001-06-14,14884.551734
2001-06-15,14802.96066
2001-06-18,14669.913
2001-06-19,14578.20948
2001-06-20,14666.252668
2001-06-21,14602.3968
2001-06-22,14630.27025
2001-06-25,14623.48925
2001-06-26,14814.79538
2001-06-27,14647.47786
2001-06-28,14362.33745
2001-06-29,14764.66706
2001-07-02,14548.55808
2001-07-03,14762.895
2001-07-04,14704.49578
2001-07-05,14375.57902
2001-07-06,14123.94368
2001-07-09,14120.9526
2001-07-10,14155.53957
2001-07-11,14119.3644
2001-07-12,14183.44282
2001-07-13,14277.86705
2001-07-16,14364.93456
2001-07-17,14343.74158
2001-07-18,14478.3774
2001-07-19,14409.90688
2001-07-20,14141.80617
2001-07-23,14179.7547
2001-07-24,14130.53848
2001-07-25,13956.24024
2001-07-26,13838.54598
2001-07-27,13847.4688
2001-07-30,13889.9208
2001-07-31,14019.74895
2001-08-01,14467.8313
2001-08-02,14650.90599
2001-08-03,14559.52658
2001-08-06,14583.74203
2001-08-07,14523.3596
2001-08-08,14611.78518
2001-08-09,14477.32328
2001-08-10,14436.13759
2001-08-13,14486.13751
2001-08-14,14557.84106
2001-08-15,14722.51323
2001-08-16,14436.47106
2001-08-17,14760.99888
2001-08-20,14505.1821
2001-08-21,14691.2216
2001-08-22,14617.7339
2001-08-23,14674.1733
2001-08-24,14803.8516
2001-08-27,14732.93811
2001-08-28,14809.25157
2001-08-29,14667.15156
2001-08-30,14633.13736
2001-08-31,14347.45556
2001-09-03,14262.97401
2001-09-04,14160.76896
2001-09-05,14161.06395
2001-09-06,14103.40815
2001-09-07,13893.25908
2001-09-10,13767.75534
2001-09-11,14004.4674
2001-09-12,13286.3507
2001-09-13,13357.544
2001-09-14,13209.408
2001-09-17,12283.99998
2001-09-18,12377.23019
2001-09-19,12386.03388
2001-09-20,12154.5318
2001-09-21,11789.95844
2001-09-24,11892.8859
2001-09-25,12082.48314
2001-09-26,12155.424
2001-09-27,12110.22506
2001-09-28,12392.86305
2001-10-01,12701.46143
2001-10-02,12873.19696
2001-10-03,12821.17144
2001-10-04,12910.26615
2001-10-05,13332.82749
2001-10-08,13199.19763
2001-10-09,13059.0954
2001-10-10,13021.0596
2001-10-11,13252.36608
2001-10-12,13493.17338
2001-10-15,13667.4076
2001-10-16,13576.76602
2001-10-17,13625.0832
2001-10-18,13408.24376
2001-10-19,13375.10234
2001-10-22,13436.772
2001-10-23,13497.46665
2001-10-24,13634.4984
2001-10-25,13555.50003
2001-10-26,13623.75008
2001-10-29,13618.73088
2001-10-30,13571.65744
2001-10-31,13528.73472
2001-11-01,13673.54944
2001-11-02,13627.99137
2001-11-05,13576.74704
2001-11-06,13962.00351
2001-11-07,13866.80958
2001-11-08,13919.4705
2001-11-09,13979.3012
2001-11-12,14239.33266
2001-11-13,14180.31443
2001-11-14,14361.25352
2001-11-15,14343.07701
2001-11-16,14360.84175
2001-11-19,14395.80714
2001-11-20,14414.547
2001-11-21,14257.34442
2001-11-22,14208.29564
2001-11-23,14270.14464
2001-11-26,14373.43625
2001-11-27,14504.43876
2001-11-28,14468.72268
2001-11-29,14264.9098
2001-11-30,14408.89076
2001-12-03,14239.27488
2001-12-04,14154.29788
2001-12-05,14348.33602
2001-12-06,14397.92904
2001-12-07,14339.59104
2001-12-10,14303.1392
2001-12-11,14331.71764
2001-12-12,14287.02326
2001-12-13,14218.24375
2001-12-14,14141.55484
2001-12-17,14082.11968
2001-12-18,14156.6197
2001-12-19,14056.28926
2001-12-20,13976.49883
2001-12-21,14174.2498
2001-12-24,14276.05011
2001-12-27,14352.55296
2001-12-28,14508.97056
2001-12-31,14462.6398
2002-01-02,14683.98204
2002-01-03,14556.21132
2002-01-04,14790.00136
2002-01-07,14763.76208
2002-01-08,14836.9935
2002-01-09,14814.00375
2002-01-10,14739.92567
2002-01-11,14709.00864
2002-01-14,14616.63554
2002-01-15,14592.50142
2002-01-16,14608.29636
2002-01-17,14443.74808
2002-01-18,14408.9754
2002-01-21,14558.72448
2002-01-22,14700.1326
2002-01-23,14670.7984
2002-01-24,14748.66612
2002-01-25,14703.78445
2002-01-29,14555.00937
2002-01-30,14393.232
2002-01-31,14553.79704
2002-02-01,14515.2024
2002-02-04,14636.30047
2002-02-05,14548.7628
2002-02-06,14409.95355
2002-02-07,14384.6056
2002-02-08,14573.10944
2002-02-11,14743.8365
2002-02-12,14662.74131
2002-02-13,14658.29502
2002-02-14,14924.0113
2002-02-15,14907.24928
2002-02-18,14877.05226
2002-02-19,14905.02096
2002-02-20,14732.95089
2002-02-21,14652.78438
2002-02-22,14506.96632
2002-02-25,14545.625
2002-02-26,14598.24348
2002-02-27,14553.79971
2002-02-28,14601.25395
2002-03-01,14693.36481
2002-03-04,14737.84477
2002-03-05,14794.72428
2002-03-06,14924.7144
2002-03-07,15195.67296
2002-03-08,15081.93869
2002-03-11,15010.47268
2002-03-12,14910.04872
2002-03-13,14840.52
2002-03-14,14963.64131
2002-03-15,14817.36114
2002-03-18,15008.55384
2002-03-19,14974.44825
2002-03-20,15208.27126
2002-03-21,15073.82709
2002-03-22,15077.47242
2002-03-25,15023.47396
2002-03-26,14762.7528
2002-03-27,14895.2913
2002-03-28,15085.22048
2002-04-02,14991.51234
2002-04-03,14862.99556
2002-04-04,14811.78468
2002-04-05,14873.964
2002-04-08,14816.3691
2002-04-09,14701.4214
2002-04-10,14844.01074
