"Index","price"
2001-08-29,71892.77845
2001-08-30,71742.39088
2001-08-31,70351.41416
2001-09-03,70013.7981
2001-09-04,69511.1748
2001-09-05,69513.8004
2001-09-06,69248.974
2001-09-07,68229.1626
2001-09-10,67641.00831
2001-09-11,68808.06933
2001-09-12,65281.13886
2001-09-13,65641.8355
2001-09-14,64919.844
2001-09-17,60470.2168
2001-09-18,60930.1342
2001-09-19,60973.53612
2001-09-20,59835.90846
2001-09-21,58045.27688
2001-09-24,58588.5054
2001-09-25,59526.63066
2001-09-26,59898.0768
2001-09-27,59674.54954
2001-09-28,61069.85086
2001-10-01,62590.01809
2001-10-02,63435.98977
2001-10-03,63210.97536
2001-10-04,63651.58305
2001-10-05,65762.02956
2001-10-08,65105.64449
2001-10-09,64418.24376
2001-10-10,64230.30936
2001-10-11,65384.47008
2001-10-12,66573.46236
2001-10-15,67435.13436
2001-10-16,66988.63548
2001-10-17,67225.7456
2001-10-18,66157.42126
2001-10-19,65993.91917
2001-10-22,66299.06124
2001-10-23,66597.66735
2001-10-24,67275.7066
2001-10-25,66898.28976
2001-10-26,67245.07056
2001-10-29,67219.11456
2001-10-30,66987.11096
2001-10-31,66776.89536
2001-11-01,67555.86968
2001-11-02,67335.71229
2001-11-05,67081.9588
2001-11-06,68985.92316
2001-11-07,68516.34696
2001-11-08,68776.08075
2001-11-09,69074.16914
2001-11-12,70414.34866
2001-11-13,70122.70383
2001-11-14,71016.50195
2001-11-15,70926.33785
2001-11-16,71014.52454
2001-11-19,71311.07094
2001-11-20,71406.39
2001-11-21,70626.4818
2001-11-22,70446.08214
2001-11-23,70752.58368
2001-11-26,71298.425
2001-11-27,71959.01114
2001-11-28,71781.38193
2001-11-29,70769.7192
2001-11-30,71489.6679
2001-12-03,70647.98608
2001-12-04,70226.5038
2001-12-05,71188.37041
2001-12-06,71433.53335
2001-12-07,71145.0912
2001-12-10,70964.544
2001-12-11,71107.00733
2001-12-12,70885.92968
2001-12-13,70544.37973
2001-12-14,70170.18197
2001-12-17,69875.07032
2001-12-18,70245.05742
2001-12-19,69747.37412
2001-12-20,69353.34413
2001-12-21,70406.68476
2001-12-24,70911.97623
2001-12-27,71293.24952
2001-12-28,72070.26624
2001-12-31,71840.3096
2002-01-02,72939.4148
2002-01-03,72305.15754
2002-01-04,73466.14728
2002-01-07,73336.09376
2002-01-08,73698.6366
2002-01-09,73584.68377
2002-01-10,73217.5358
2002-01-11,73064.29757
2002-01-14,72604.865
2002-01-15,72485.68677
2002-01-16,72562.61214
2002-01-17,71746.66128
2002-01-18,71573.93706
2002-01-21,72317.50848
2002-01-22,73019.03656
2002-01-23,72875.11176
2002-01-24,73260.56413
2002-01-25,73040.51425
2002-01-29,72302.09019
2002-01-30,71497.9136
2002-01-31,72295.08984
2002-02-01,72102.91456
2002-02-04,72720.80578
2002-02-05,72286.4648
2002-02-06,71596.57692
2002-02-07,71471.41584
2002-02-08,72419.53504
2002-02-11,73292.1138
2002-02-12,72889.54808
2002-02-13,72869.18323
2002-02-14,74189.92655
2002-02-15,74105.35648
2002-02-18,74052.49698
2002-02-19,74204.27577
2002-02-20,73347.61265
2002-02-21,72951.18012
2002-02-22,72224.09824
2002-02-25,72433.175
2002-02-26,72696.26046
2002-02-27,72484.58308
2002-02-28,72730.4355
2002-03-01,73198.95274
2002-03-04,73521.80214
2002-03-05,73822.9009
2002-03-06,74532.32505
2002-03-07,75889.3005
2002-03-08,75346.08214
2002-03-11,74989.764
2002-03-12,74489.09272
2002-03-13,74144.5284
2002-03-14,74760.55238
2002-03-15,74030.2791
2002-03-18,75094.49136
2002-03-19,74934.55725
