"Index","price"
2007-09-28,500.132286
2007-10-01,503.414208
2007-10-02,497.323801
2007-10-03,497.022504
2007-10-04,500.270028
2007-10-05,505.649196
2007-10-08,501.287454
2007-10-09,505.87587
2007-10-10,503.881971
2007-10-11,505.33384
2007-10-12,507.868974
2007-10-15,506.093011
2007-10-16,498.282121
2007-10-17,501.231744
2007-10-18,505.244105
2007-10-19,503.746776
2007-10-22,502.219168
2007-10-23,508.01762
2007-10-24,509.60028
2007-10-25,514.5329
2007-10-26,520.27531
2007-10-29,520.230804
2007-10-30,517.668547
2007-10-31,524.656432
2007-11-01,508.824804
2007-11-02,518.0812
2007-11-05,514.48716
2007-11-06,520.349394
2007-11-07,520.239456
2007-11-08,522.18489
2007-11-09,512.70303
2007-11-12,494.684556
2007-11-13,506.182248
2007-11-14,502.429095
2007-11-15,497.119892
2007-11-16,503.390294
2007-11-19,498.156672
2007-11-20,504.90762
2007-11-21,491.83264
2007-11-22,495.62331
2007-11-23,498.31407
2007-11-26,491.463336
2007-11-27,497.790248
2007-11-28,504.095508
2007-11-29,497.417112
2007-11-30,499.119696
2007-12-03,497.722632
2007-12-04,493.52937
2007-12-05,492.090968
2007-12-06,497.746704
2007-12-07,495.62954
2007-12-10,496.563448
2007-12-11,484.934616
2007-12-12,493.073275
2007-12-13,486.54112
2007-12-14,478.176552
2007-12-17,476.5134
2007-12-18,479.035599
2007-12-19,477.717671
2007-12-20,477.825439
2007-12-21,482.16624
2007-12-24,480.794435
2007-12-25,479.761386
2007-12-26,482.275125
2007-12-27,481.6926
2007-12-28,480.069384
2007-12-31,482.484366
2008-01-01,482.767086
2008-01-02,485.514336
2008-01-03,487.93908
2008-01-04,483.69252
2008-01-07,486.096125
2008-01-08,487.8099
2008-01-09,490.53037
2008-01-10,498.09867
2008-01-11,495.515805
2008-01-14,501.235004
2008-01-15,491.452971
2008-01-16,490.38807
2008-01-17,489.893412
2008-01-18,490.599906
2008-01-21,481.310644
2008-01-22,489.955416
2008-01-23,489.707
2008-01-24,490.851416
2008-01-25,485.056857
2008-01-28,490.78555
2008-01-29,492.623394
2008-01-30,496.762392
2008-01-31,495.402011
2008-02-01,498.941703
2008-02-04,500.127668
2008-02-05,493.604496
2008-02-06,495.555152
2008-02-07,493.73051
2008-02-08,493.31166
2008-02-11,497.192436
2008-02-12,494.4731
2008-02-13,490.947144
2008-02-14,490.938192
2008-02-15,494.82414
2008-02-18,494.802
2008-02-19,494.093556
2008-02-20,495.902645
2008-02-21,495.42345
2008-02-22,499.812576
2008-02-25,500.28565
2008-02-26,505.328148
2008-02-27,509.2463
2008-02-28,510.441412
2008-02-29,506.947382
2008-03-03,511.163842
2008-03-04,507.08511
2008-03-05,510.147755
2008-03-06,503.522935
2008-03-07,509.723424
2008-03-10,504.50094
2008-03-11,507.08736
2008-03-12,510.93679
2008-03-13,515.833212
2008-03-14,513.384732
2008-03-17,508.600365
2008-03-18,510.170133
2008-03-19,497.579845
2008-03-20,492.32946
2008-03-21,494.271549
2008-03-24,497.145534
2008-03-25,498.411824
2008-03-26,499.564142
2008-03-27,500.53563
2008-03-28,497.24536
2008-03-31,498.034917
2008-04-01,496.190406
2008-04-02,496.24666
2008-04-03,497.794385
2008-04-04,501.22895
2008-04-07,502.719
2008-04-08,504.783582
2008-04-09,505.917181
2008-04-10,508.101485
2008-04-11,505.07331
2008-04-14,508.50717
2008-04-15,507.062192
2008-04-16,512.86848
2008-04-17,508.355507
2008-04-18,506.38599
2008-04-21,508.318584
2008-04-22,510.84774
2008-04-23,511.660932
2008-04-24,507.130795
2008-04-25,505.582144
2008-04-28,506.73266
2008-04-29,502.603673
2008-04-30,509.713757
2008-05-01,507.857422
2008-05-02,508.151488
2008-05-05,510.342812
2008-05-06,513.176049
2008-05-07,508.576104
2008-05-08,513.541682
2008-05-09,513.7314
2008-05-12,517.057317
2008-05-13,512.52313
2008-05-14,509.015983
2008-05-15,510.21224
2008-05-16,518.681784
2008-05-19,517.461165
2008-05-20,516.46526
2008-05-21,519.72459
2008-05-22,512.0115
2008-05-23,512.415344
2008-05-26,515.076018
2008-05-27,513.319778
2008-05-28,514.865757
2008-05-29,508.602642
2008-05-30,511.268256
2008-06-02,510.175848
2008-06-03,510.03043
2008-06-04,511.197144
2008-06-05,513.486
2008-06-06,510.908236
2008-06-09,504.200503
2008-06-10,499.685598
2008-06-11,500.704932
2008-06-12,496.32345
2008-06-13,494.855088
2008-06-16,494.03074
2008-06-17,498.302084
2008-06-18,501.348734
2008-06-19,503.499081
2008-06-20,503.273844
2008-06-23,505.605672
2008-06-24,506.694288
2008-06-25,510.604857
2008-06-26,508.39416
2008-06-27,512.504982
2008-06-30,510.831372
2008-07-01,508.445448
2008-07-02,509.38381
2008-07-03,510.63828
2008-07-04,515.004138
2008-07-07,513.745596
2008-07-08,511.550978
2008-07-09,513.01968
2008-07-10,515.912836
2008-07-11,515.405091
2008-07-14,517.93605
2008-07-15,523.067952
2008-07-16,519.204687
2008-07-17,519.4422
2008-07-18,516.686592
2008-07-21,519.406288
2008-07-22,514.0612
2008-07-23,509.79747
2008-07-24,510.826701
2008-07-25,512.321184
2008-07-28,514.835035
2008-07-29,510.36775
2008-07-30,508.332924
2008-07-31,509.017473
2008-08-01,505.818612
2008-08-04,508.953705
2008-08-05,503.980791
2008-08-06,498.99171
2008-08-07,500.15232
2008-08-08,491.680056
2008-08-11,489.171272
2008-08-12,484.743099
2008-08-13,485.946594
2008-08-14,483.760288
2008-08-15,483.145452
2008-08-18,485.55913
2008-08-19,486.754828
2008-08-20,486.04596
2008-08-21,492.605077
2008-08-22,481.65064
2008-08-25,481.660872
2008-08-26,478.55232
2008-08-27,480.5182
2008-08-28,480.970336
2008-08-29,480.459546
2008-09-01,474.424371
2008-09-02,469.007397
2008-09-03,468.818118
2008-09-04,454.735554
2008-09-05,460.182918
2008-09-08,455.748075
2008-09-09,451.200596
2008-09-10,448.22226
2008-09-11,455.38614
2008-09-12,462.080985
2008-09-15,458.15514
2008-09-16,455.35772
2008-09-17,444.847464
2008-09-18,455.587385
2008-09-19,471.308193
2008-09-22,470.202108
2008-09-23,463.21821
2008-09-24,467.392425
2008-09-25,468.18654
2008-09-26,470.960254
2008-09-29,454.123328
2008-09-30,456.637257
2008-10-01,451.183824
2008-10-02,444.582612
2008-10-03,447.93519
2008-10-06,420.596265
2008-10-07,416.249546
2008-10-08,392.44016
2008-10-09,400.94137
2008-10-10,378.723124
2008-10-13,401.760244
2008-10-14,404.132654
2008-10-15,378.674856
2008-10-16,406.232808
2008-10-17,402.285696
2008-10-20,413.156484
2008-10-21,395.876448
2008-10-22,396.879078
2008-10-23,398.358161
2008-10-24,373.045272
2008-10-27,358.125974
2008-10-28,378.946887
2008-10-29,392.52568
2008-10-30,398.30517
2008-10-31,392.739444
2008-11-03,394.3536
2008-11-04,411.66612
2008-11-05,400.770096
2008-11-06,392.977616
2008-11-07,399.1802
2008-11-10,394.544307
2008-11-11,390.859035
2008-11-12,379.72112
2008-11-13,399.063859
2008-11-14,384.61071
2008-11-17,387.04173
2008-11-18,388.378544
2008-11-19,382.361544
2008-11-20,367.116207
2008-11-21,381.67074
2008-11-24,396.4059
2008-11-25,392.949662
2008-11-26,397.125808
2008-11-27,398.255208
2008-11-28,398.94733
2008-12-01,394.674412
2008-12-02,401.196015
2008-12-03,401.935588
2008-12-04,402.8796
2008-12-05,403.322434
2008-12-08,416.099242
2008-12-09,408.118949
2008-12-10,403.817682
2008-12-11,414.145011
2008-12-12,408.496928
2008-12-15,406.930608
2008-12-16,427.350348
2008-12-17,431.987996
2008-12-18,421.840737
2008-12-19,424.441836
2008-12-22,424.912176
2008-12-23,422.97686
2008-12-24,423.506856
2008-12-25,423.453639
