"Index","AU10YGovBond.aud"
2000-08-28,1969.933435
2000-08-29,1960.383915
2000-08-30,1974.870438
2000-08-31,1983.626164
2000-09-01,2002.054725
2000-09-04,2017.835724
2000-09-05,1993.13948
2000-09-06,1969.939092
2000-09-07,1947.590798
2000-09-08,1934.674953
2000-09-11,1958.129766
2000-09-12,1943.129554
2000-09-13,1938.738666
2000-09-14,1921.469528
2000-09-15,1904.120181
2000-09-18,1877.229608
2000-09-19,1879.273662
2000-09-20,1864.930532
2000-09-21,1884.18621
2000-09-22,1891.782216
2000-09-25,1901.65794
2000-09-26,1901.81268
2000-09-27,1909.928955
2000-09-28,1891.490699
2000-09-29,1884.08551
2000-10-02,1896.065835
2000-10-03,1884.30916
2000-10-04,1872.382
2000-10-05,1853.941219
2000-10-06,1858.065104
2000-10-09,1884.68
2000-10-10,1866.238726
2000-10-11,1865.395176
2000-10-12,1854.00606
2000-10-13,1855.33661
2000-10-16,1826.75529
2000-10-17,1820.235456
2000-10-18,1826.64111
2000-10-19,1828.386282
2000-10-20,1858.547231
2000-10-23,1854.985736
2000-10-24,1856.226021
2000-10-25,1841.94218
2000-10-26,1830.8933
2000-10-27,1836.72926
2000-10-30,1832.57603
2000-10-31,1818.990852
2000-11-01,1834.200228
2000-11-02,1821.152172
2000-11-03,1846.109536
2000-11-06,1845.02759
2000-11-07,1853.439315
2000-11-08,1849.569604
2000-11-09,1855.602868
2000-11-10,1830.010441
2000-11-13,1843.270416
2000-11-14,1841.179781
2000-11-15,1843.833799
2000-11-16,1848.395648
2000-11-17,1856.68527
2000-11-20,1834.934585
2000-11-21,1822.621944
2000-11-22,1875.483705
2000-11-23,1870.993089
2000-11-24,1871.859441
2000-11-27,1877.96646
2000-11-28,1867.968204
2000-11-29,1870.501694
2000-11-30,1907.283834
2000-12-01,1943.0035
2000-12-04,1967.678687
2000-12-05,1953.743605
2000-12-06,1989.674028
2000-12-07,2006.0652
2000-12-08,2005.776792
2000-12-11,1973.08441
2000-12-12,1978.22574
2000-12-13,1979.01753
2000-12-14,1998.773935
2000-12-15,2008.64799
2000-12-18,2001.074892
2000-12-19,2004.453023
2000-12-20,2035.126373
2000-12-21,2055.064113
2000-12-22,2063.78237
2000-12-25,2063.255166
2000-12-26,2072.852668
2000-12-27,2071.916176
2000-12-28,2047.429356
2000-12-29,2065.234346
2001-01-02,2068.579997
2001-01-03,2072.82438
2001-01-04,2095.387468
2001-01-05,2124.579584
2001-01-08,2113.524096
2001-01-09,2096.0778
2001-01-10,2075.287336
2001-01-11,2091.261928
2001-01-12,2071.630792
2001-01-15,2041.4937
2001-01-16,2056.160982
2001-01-17,2046.51612
2001-01-18,2082.823715
2001-01-19,2077.006893
2001-01-22,2065.535023
2001-01-23,2048.490054
2001-01-24,2023.826688
2001-01-25,2035.087215
2001-01-26,2028.736692
2001-01-29,2027.963345
2001-01-30,2046.6688
2001-01-31,2064.219456
2001-02-01,2082.6715
2001-02-02,2076.552598
2001-02-05,2062.833662
2001-02-06,2056.259715
2001-02-07,2043.214563
2001-02-08,2006.546126
2001-02-09,2008.193256
2001-02-12,2034.41875
2001-02-13,2011.403835
2001-02-14,1990.138962
2001-02-15,1952.291933
2001-02-16,1969.812908
2001-02-19,1987.042068
2001-02-20,1965.48503
2001-02-21,1966.454736
2001-02-22,1970.922611
2001-02-23,1974.711345
2001-02-26,1970.07126
2001-02-27,1980.861536
2001-02-28,1992.529896
2001-03-01,1999.141852
2001-03-02,2006.336613
2001-03-05,1980.305586
2001-03-06,1969.61589
2001-03-07,1942.407624
2001-03-08,1953.574826
2001-03-09,1956.368095
2001-03-12,1959.117678
2001-03-13,1953.219455
2001-03-14,1919.087
2001-03-15,1906.801149
2001-03-16,1918.196845
2001-03-19,1939.103016
2001-03-20,1941.290575
2001-03-21,1916.065347
2001-03-22,1900.446372
2001-03-23,1901.05916
2001-03-26,1914.054828
2001-03-27,1910.928973
2001-03-28,1869.58469
2001-03-29,1880.014955
2001-03-30,1843.9176
2001-04-02,1823.70175
2001-04-03,1845.23056
2001-04-04,1867.359341
2001-04-05,1854.835268
2001-04-06,1869.10008
2001-04-09,1848.305208
2001-04-10,1857.868101
2001-04-11,1875.456
2001-04-12,1893.71989
2001-04-13,1888.40925
2001-04-16,1897.226815
2001-04-17,1866.254383
2001-04-18,1860.121989
2001-04-19,1915.939053
2001-04-20,1883.778464
2001-04-23,1853.322388
2001-04-24,1858.989168
2001-04-25,1857.65128
2001-04-26,1871.849815
2001-04-27,1884.54294
2001-04-30,1882.622657
2001-05-01,1895.236512
2001-05-02,1910.0925
2001-05-03,1901.224482
