                  沪深300 (000300)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2005/04/08	  984.66	 1003.70	  979.53	 1003.45	       14762526	           	           	           	           	           	       0.00	14762526.00	           	           	       0.00	       0.00	       0.00	
 2005/04/11	 1003.88	 1008.73	  992.77	  995.42	       15936066	           	           	           	           	           	       0.00	15936066.00	           	           	      -0.64	      -0.13	      -1.02	
 2005/04/12	  993.71	  993.71	  978.20	  978.70	       10226193	           	           	           	           	           	       0.00	10226193.00	           	           	      -2.47	      -0.60	      -3.75	
 2005/04/13	  987.95	 1006.50	  987.95	 1000.90	       16071687	           	           	           	           	           	       0.00	16071687.00	           	           	      -2.10	      -0.90	      -2.41	
 2005/04/14	 1004.64	 1006.42	  985.58	  986.97	       12945710	     993.09	           	           	           	           	       0.00	12945710.00	13988437.00	           	      -2.90	      -1.30	      -3.21	
 2005/04/15	  982.61	  982.61	  971.93	  974.08	       10408955	     987.21	           	           	           	           	       0.00	10408955.00	13117722.00	           	      -4.52	      -1.94	      -5.16	
 2005/04/18	  970.91	  970.91	  958.65	  963.77	        8598400	     980.88	           	           	           	           	       0.00	 8598400.00	11650189.00	           	      -6.57	      -2.87	      -7.40	
 2005/04/19	  962.92	  968.87	  957.91	  965.89	        9212623	     978.32	           	           	           	           	       0.00	 9212623.00	11447475.00	           	      -7.92	      -3.88	      -8.09	
 2005/04/20	  964.15	  964.15	  946.20	  950.87	        8850705	     968.32	           	           	           	           	       0.00	 8850705.00	10003278.00	           	     -10.09	      -5.12	      -9.94	
 2005/04/21	  948.86	  955.55	  938.59	  943.98	        9946145	     959.72	     976.40	           	           	           	       0.00	 9946145.00	 9403365.00	11695901.00	     -12.23	      -6.54	     -11.37	
 2005/04/22	  942.91	  947.91	  934.96	  939.10	       10691884	     952.72	     969.97	           	           	           	       0.00	10691884.00	 9459952.00	11288837.00	     -14.15	      -8.06	     -12.17	
 2005/04/25	  935.99	  935.99	  920.16	  930.07	       11470478	     945.98	     963.43	           	           	           	       0.00	11470478.00	10034368.00	10842278.00	     -16.21	      -9.69	     -13.04	
 2005/04/26	  928.43	  939.70	  924.66	  937.08	       11690471	     940.22	     959.27	           	           	           	       0.00	11690471.00	10529936.00	10988706.00	     -17.09	     -11.17	     -11.83	
 2005/04/27	  938.57	  938.91	  925.90	  926.60	       10780611	     935.37	     951.84	           	           	           	       0.00	10780611.00	10915917.00	10459598.00	     -18.41	     -12.62	     -11.59	
 2005/04/28	  923.53	  945.50	  914.83	  942.07	       14343486	     934.98	     947.35	           	           	           	       0.00	14343486.00	11795386.00	10599375.00	     -18.01	     -13.70	      -8.62	
 2005/04/29	  940.81	  942.45	  929.81	  932.40	       11235419	     933.64	     943.18	           	           	           	       0.00	11235419.00	11904093.00	10682022.00	     -18.26	     -14.61	      -7.30	
