                  人民币 (111000)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2012/04/30	  6.3026	  6.3026	  6.2996	  6.3005	              0	           	           	           	           	      0.000	      0.000	      0.000	
 2012/05/01	  6.3006	  6.3021	  6.3000	  6.3000	              0	           	           	           	           	     -0.000	     -0.000	     -0.000	
 2012/05/02	  6.3011	  6.3074	  6.2978	  6.3058	              0	           	           	           	           	      0.000	      0.000	      0.001	
 2012/05/03	  6.3050	  6.3100	  6.3034	  6.3034	              0	           	           	           	           	      0.001	      0.000	      0.001	
 2012/05/04	  6.3050	  6.3086	  6.3032	  6.3050	              0	      6.303	           	           	           	      0.001	      0.000	      0.001	
 2012/05/07	  6.3056	  6.3148	  6.3051	  6.3090	              0	      6.305	           	           	           	      0.001	      0.000	      0.002	
 2012/05/08	  6.3100	  6.3106	  6.3066	  6.3082	              0	      6.306	           	           	           	      0.002	      0.001	      0.002	
 2012/05/09	  6.3095	  6.3166	  6.3070	  6.3146	              0	      6.308	           	           	           	      0.002	      0.001	      0.003	
 2012/05/10	  6.3146	  6.3178	  6.3114	  6.3130	              0	      6.310	           	           	           	      0.003	      0.001	      0.003	
 2012/05/11	  6.3166	  6.3180	  6.3123	  6.3148	              0	      6.312	      6.307	           	           	      0.003	      0.002	      0.003	
 2012/05/14	  6.3141	  6.3225	  6.3141	  6.3225	              0	      6.315	      6.310	           	           	      0.004	      0.002	      0.004	
 2012/05/15	  6.3210	  6.3252	  6.3186	  6.3212	              0	      6.317	      6.312	           	           	      0.005	      0.003	      0.004	
 2012/05/16	  6.3218	  6.3300	  6.3186	  6.3230	              0	      6.319	      6.313	           	           	      0.005	      0.003	      0.004	
 2012/05/17	  6.3226	  6.3276	  6.3206	  6.3256	              0	      6.321	      6.316	           	           	      0.006	      0.004	      0.004	
 2012/05/18	  6.3268	  6.3298	  6.3246	  6.3246	              0	      6.323	      6.318	           	           	      0.006	      0.004	      0.004	
 2012/05/21	  6.3261	  6.3270	  6.3180	  6.3230	              0	      6.323	      6.319	           	           	      0.006	      0.005	      0.003	
 2012/05/22	  6.3242	  6.3262	  6.3210	  6.3262	              0	      6.324	      6.321	           	           	      0.006	      0.005	      0.003	
 2012/05/23	  6.3255	  6.3360	  6.3235	  6.3339	              0	      6.327	      6.323	           	           	      0.007	      0.005	      0.003	
 2012/05/24	  6.3341	  6.3436	  6.3326	  6.3431	              0	      6.330	      6.326	           	           	      0.008	      0.006	      0.005	
