                  中国平安 (601318)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2007/03/01	   22.09	   22.57	   19.99	   20.48	      197763344	           	           	           	           	           	       0.00	 1977633.50	           	           	       0.00	       0.00	       0.00	
 2007/03/02	   20.59	   20.81	   20.03	   20.29	       42504832	           	           	           	           	           	       0.00	  425048.31	           	           	      -0.02	      -0.00	      -0.02	
 2007/03/05	   20.08	   20.17	   18.85	   19.28	       41919672	           	           	           	           	           	       0.00	  419196.72	           	           	      -0.11	      -0.02	      -0.17	
 2007/03/06	   19.09	   20.09	   18.96	   19.71	       29772788	           	           	           	           	           	       0.00	  297727.88	           	           	      -0.14	      -0.05	      -0.19	
 2007/03/07	   19.73	   20.54	   19.54	   20.33	       28746378	      20.02	           	           	           	           	       0.00	  287463.78	  681414.06	           	      -0.12	      -0.06	      -0.12	
 2007/03/08	   20.14	   20.25	   19.93	   20.05	       13098383	      19.93	           	           	           	           	       0.00	  130983.83	  312084.09	           	      -0.13	      -0.08	      -0.10	
 2007/03/09	   20.04	   20.14	   19.44	   19.85	       16088779	      19.84	           	           	           	           	       0.00	  160887.80	  259252.00	           	      -0.14	      -0.09	      -0.11	
 2007/03/12	   19.74	   19.74	   19.34	   19.44	       14535306	      19.88	           	           	           	           	       0.00	  145353.06	  204483.30	           	      -0.19	      -0.11	      -0.16	
 2007/03/13	   19.49	   19.72	   19.40	   19.53	       10231968	      19.84	           	           	           	           	       0.00	  102319.68	  165401.59	           	      -0.21	      -0.13	      -0.17	
 2007/03/14	   19.24	   19.64	   18.98	   19.56	       17330656	      19.69	      19.85	           	           	           	       0.00	  173306.56	  142570.16	  411992.09	      -0.23	      -0.15	      -0.16	
 2007/03/15	   19.85	   20.33	   19.49	   19.57	       15252190	      19.59	      19.76	           	           	           	       0.00	  152521.91	  146877.80	  229480.95	      -0.24	      -0.17	      -0.14	
 2007/03/16	   19.58	   20.06	   19.29	   19.69	       22754724	      19.56	      19.70	           	           	           	       0.00	  227547.23	  160209.75	  209730.88	      -0.23	      -0.18	      -0.10	
 2007/03/20	   20.49	   20.55	   19.84	   19.98	       22202688	      19.67	      19.77	           	           	           	       0.00	  222026.88	  175544.41	  190013.84	      -0.20	      -0.18	      -0.03	
 2007/03/21	   19.99	   20.09	   19.54	   19.64	       13672832	      19.69	      19.76	           	           	           	       0.00	  136728.31	  182426.20	  173913.91	      -0.20	      -0.19	      -0.03	
 2007/03/22	   19.81	   20.05	   19.70	   19.77	       16750984	      19.73	      19.71	           	           	           	       0.00	  167509.84	  181266.91	  161918.53	      -0.19	      -0.19	      -0.00	
 2007/03/23	   19.76	   19.85	   19.44	   19.67	       13981014	      19.75	      19.67	           	           	           	       0.00	  139810.14	  178724.50	  162801.16	      -0.19	      -0.19	       0.00	
 2007/03/26	   19.69	   20.19	   19.68	   20.06	       22326680	      19.82	      19.69	           	           	           	       0.00	  223266.80	  177868.30	  169039.03	      -0.15	      -0.18	       0.06	
 2007/03/27	   19.98	   20.27	   19.90	   20.04	       13933819	      19.84	      19.75	           	           	           	       0.00	  139338.19	  161330.70	  168437.55	      -0.12	      -0.17	       0.09	
 2007/03/28	   20.04	   20.54	   19.88	   20.38	       25826368	      19.98	      19.84	           	           	           	       0.00	  258263.69	  185637.70	  184031.95	      -0.07	      -0.15	       0.15	
 2007/03/29	   20.49	   21.48	   20.33	   20.79	       46198616	      20.19	      19.96	      19.91	           	           	       0.00	  461986.16	  244533.00	  212899.95	       0.00	      -0.12	       0.24	
 2007/03/30	   20.57	   21.02	   20.45	   20.61	       14461720	      20.38	      20.06	      19.91	           	           	       0.00	  144617.20	  245494.41	  212109.45	       0.04	      -0.09	       0.26	
 2007/04/02	   20.61	   21.44	   20.61	   21.28	       23144504	      20.62	      20.22	      19.96	           	           	       0.00	  231445.05	  247130.09	  212499.20	       0.13	      -0.04	       0.35	
 2007/04/03	   21.30	   21.47	   21.04	   21.19	       13271204	      20.85	      20.34	      20.06	           	           	       0.00	  132712.05	  245804.80	  203567.75	       0.19	       0.00	       0.37	
 2007/04/04	   21.20	   21.34	   20.86	   20.98	       12245469	      20.97	      20.48	      20.12	           	           	       0.00	  122454.69	  218643.00	  202140.34	       0.22	       0.05	       0.34	
 2007/04/05	   20.99	   21.09	   20.69	   21.05	       12286538	      21.02	      20.60	      20.16	           	           	       0.00	  122865.38	  150818.80	  197675.91	       0.24	       0.09	       0.31	
 2007/04/06	   20.93	   21.56	   20.84	   21.09	       19520852	      21.12	      20.75	      20.21	           	           	       0.00	  195208.52	  160937.09	  203215.75	       0.26	       0.12	       0.28	
 2007/04/09	   21.13	   23.03	   20.94	   22.89	       46277020	      21.44	      21.03	      20.36	           	           	       0.00	  462770.19	  207202.20	  227166.16	       0.42	       0.18	       0.48	
 2007/04/10	   22.59	   23.93	   22.59	   23.50	       40782392	      21.90	      21.38	      20.56	           	           	       0.00	  407823.91	  262224.50	  254014.66	       0.58	       0.26	       0.65	
 2007/04/11	   23.53	   24.68	   23.39	   23.86	       24344650	      22.48	      21.72	      20.78	           	           	       0.00	  243446.50	  286422.91	  252532.95	       0.74	       0.36	       0.76	
