Date,Price
2017/9/26,5671.00 
2017/9/25,5683.73 
2017/9/22,5682.14 
2017/9/21,5655.42 
2017/9/20,5709.09 
2017/9/19,5713.58 
2017/9/18,5720.60 
2017/9/15,5695.02 
2017/9/14,5738.68 
2017/9/13,5744.26 
2017/9/12,5746.44 
2017/9/11,5713.15 
2017/9/8,5672.62 
2017/9/7,5689.88 
2017/9/6,5689.73 
2017/9/5,5706.23 
2017/9/4,5702.00 
2017/9/1,5724.59 
2017/8/31,5714.52 
2017/8/30,5669.72 
2017/8/29,5669.01 
2017/8/28,5709.89 
2017/8/25,5743.86 
2017/8/24,5745.48 
2017/8/23,5737.16 
2017/8/22,5750.12 
2017/8/21,5725.85 
2017/8/18,5747.11 
2017/8/17,5779.21 
2017/8/16,5785.10 
2017/8/15,5757.48 
2017/8/14,5730.41 
2017/8/11,5693.14 
2017/8/10,5760.93 
2017/8/9,5765.66 
2017/8/8,5743.75 
2017/8/7,5773.56 
2017/8/4,5720.58 
2017/8/3,5735.12 
2017/8/2,5744.20 
2017/8/1,5772.37 
2017/7/31,5720.59 
2017/7/28,5702.82 
2017/7/27,5785.01 
2017/7/26,5776.62 
2017/7/25,5726.60 
2017/7/24,5688.07 
2017/7/21,5722.84 
2017/7/20,5761.45 
2017/7/19,5732.13 
2017/7/18,5687.39 
2017/7/17,5755.47 
2017/7/14,5765.12 
2017/7/13,5736.77 
2017/7/12,5673.83 
2017/7/11,5728.93 
2017/7/10,5724.44 
2017/7/7,5703.57 
2017/7/6,5758.76 
2017/7/5,5763.25 
2017/7/4,5783.82 
2017/7/3,5684.49 
2017/6/30,5721.49 
2017/6/29,5818.10 
2017/6/28,5755.70 
2017/6/27,5714.19 
2017/6/26,5720.16 
2017/6/23,5715.88 
2017/6/22,5705.95 
2017/6/21,5665.72 
2017/6/20,5757.25 
2017/6/19,5805.17 
2017/6/16,5774.03 
2017/6/15,5763.19 
2017/6/14,5833.90 
2017/6/13,5772.77 
2017/6/9,5677.80 
2017/6/8,5676.60 
2017/6/7,5667.17 
2017/6/6,5667.47 
2017/6/5,5754.87 
2017/6/2,5788.11 
2017/6/1,5738.13 
2017/5/31,5724.57 
2017/5/30,5717.89 
2017/5/29,5707.07 
2017/5/26,5751.66 
2017/5/25,5789.63 
2017/5/24,5768.98 
2017/5/23,5760.19 
2017/5/22,5771.20 
2017/5/19,5727.41 
2017/5/18,5738.31 
2017/5/17,5786.03 
2017/5/16,5850.52 
2017/5/15,5838.40 
2017/5/12,5836.90 
2017/5/11,5878.34 
2017/5/10,5875.44 
2017/5/9,5839.90 
2017/5/8,5870.89 
2017/5/5,5836.56 
2017/5/4,5876.37 
2017/5/3,5892.34 
2017/5/2,5950.36 
2017/5/1,5956.52 
2017/4/28,5924.06 
2017/4/27,5921.48 
2017/4/26,5912.04 
2017/4/24,5871.78 
2017/4/21,5854.14 
2017/4/20,5821.39 
2017/4/19,5804.01 
2017/4/18,5836.74 
2017/4/13,5889.95 
2017/4/12,5933.96 
2017/4/11,5929.27 
2017/4/10,5912.88 
2017/4/7,5862.47 
2017/4/6,5856.28 
2017/4/5,5876.20 
2017/4/4,5856.55 
2017/4/3,5872.68 
2017/3/31,5864.90 
2017/3/30,5896.23 
2017/3/29,5873.52 
2017/3/28,5821.23 
2017/3/27,5746.70 
2017/3/24,5753.55 
2017/3/23,5707.95 
2017/3/22,5684.51 
2017/3/21,5774.62 
2017/3/20,5778.91 
2017/3/17,5799.65 
2017/3/16,5785.79 
2017/3/15,5774.00 
2017/3/14,5759.14 
2017/3/13,5757.35 
2017/3/10,5775.61 
2017/3/9,5741.20 
2017/3/8,5759.66 
2017/3/7,5761.39 
2017/3/6,5746.51 
2017/3/3,5729.60 
2017/3/2,5776.59 
2017/3/1,5704.80 
2017/2/28,5712.22 
2017/2/27,5724.18 
2017/2/24,5738.98 
2017/2/23,5784.66 
2017/2/22,5805.10 
2017/2/21,5791.03 
2017/2/20,5795.09 
2017/2/17,5805.82 
2017/2/16,5816.31 
2017/2/15,5809.07 
2017/2/14,5755.24 
2017/2/13,5760.69 
2017/2/10,5720.61 
2017/2/9,5664.61 
2017/2/8,5651.37 
2017/2/7,5621.92 
2017/2/6,5615.58 
2017/2/3,5621.58 
2017/2/2,5645.43 
2017/2/1,5653.16 
2017/1/31,5620.91 
2017/1/30,5661.52 
2017/1/27,5713.99 
2017/1/25,5671.51 
2017/1/24,5650.10 
