Date,Price
2017/10/20,58368.13
2017/10/19,58260.82
2017/10/18,58204.97
2017/10/17,58196.44
2017/10/16,57773.03
2017/10/13,57450.56
2017/10/12,57256.02
2017/10/11,57034.93
2017/10/10,56698.63
2017/10/9,56709.97
2017/10/6,56427.55
2017/10/5,55845.47
2017/10/4,55846.69
2017/10/3,56334.64
2017/10/2,56609.49
2017/9/29,56137.99
2017/9/28,56027.08
2017/9/27,55963.33
2017/9/26,56028.98
2017/9/25,56153.36
2017/9/22,56136.11
2017/9/21,55872.16
2017/9/20,56393.21
2017/9/19,56431.15
2017/9/18,56496.06
2017/9/15,56243.48
2017/9/14,56674.61
2017/9/13,56707.4
2017/9/12,56718.35
2017/9/11,56370.72
2017/9/8,55954.36
2017/9/7,56109.82
2017/9/6,56008.4
2017/9/5,56137.62
2017/9/4,56073.66
2017/9/1,56279.1
2017/8/31,56146.82
2017/8/30,55700.11
2017/8/29,55619.82
2017/8/28,56014.04
2017/8/25,56333.68
2017/8/24,56345.98
2017/8/23,56233.76
2017/8/22,56332.08
2017/8/21,56039.07
2017/8/18,56246.06
2017/8/17,56558.26
2017/8/16,56611.46
2017/8/15,56174.93
2017/8/14,55907.37
2017/8/11,55543.78
2017/8/10,56168.11
2017/8/9,56192.6
2017/8/8,55979.1
2017/8/7,56269.57
2017/8/4,55753.27
2017/8/3,55894.98
2017/8/2,55983.48
2017/8/1,56258.01
2017/7/31,55753.35
2017/7/28,55580.13
2017/7/27,56381.18
2017/7/26,56299.46
2017/7/25,55811.89
2017/7/24,55435.36
2017/7/21,55774.22
2017/7/20,56150.53
2017/7/19,55864.71
2017/7/18,55428.74
2017/7/17,56092.21
2017/7/14,56186.25
2017/7/13,55909.95
2017/7/12,55296.58
2017/7/11,55833.52
2017/7/10,55789.76
2017/7/7,55586.38
2017/7/6,56124.31
2017/7/5,56165.52
2017/7/4,56365.94
2017/7/3,55397.9
2017/6/30,55758.56
2017/6/29,56698.75
2017/6/28,55979.53
2017/6/27,55575.86
2017/6/26,55633.9
2017/6/23,55592.21
2017/6/22,55495.7
2017/6/21,55103.47
2017/6/20,55993.68
2017/6/19,56459.75
2017/6/16,56156.89
2017/6/15,56051.42
2017/6/14,56738.56
2017/6/13,56143.15
2017/6/9,55217.39
2017/6/8,55205.66
2017/6/7,55113.99
2017/6/6,55109.36
2017/6/5,55959.14
2017/6/2,56282.44
2017/6/1,55796.38
2017/5/31,55661.89
2017/5/30,55593.62
2017/5/29,55485.2
2017/5/26,55918.73
2017/5/25,56287.82
2017/5/24,56085.83
2017/5/23,55995.79
2017/5/22,56102.86
2017/5/19,55674.34
2017/5/18,55780.33
2017/5/17,56126.2
2017/5/16,56751.77
2017/5/15,56502.1
2017/5/12,56487.58
2017/5/11,56888.57
2017/5/10,56860.53
2017/5/9,56515.69
2017/5/8,56815.6
2017/5/5,56397.6
2017/5/4,56782.31
2017/5/3,56932.09
2017/5/2,57492.71
2017/5/1,57552.21
2017/4/28,57238.59
2017/4/27,57213.63
2017/4/26,57121.47
2017/4/24,56732.55
