Date,Price
2017/9/26,1247.19 
2017/9/25,1246.80 
2017/9/23,1246.80 
2017/9/22,1240.57 
2017/9/21,1240.57 
2017/9/20,1241.91 
2017/9/19,1245.28 
2017/9/18,1245.57 
2017/9/16,1250.50 
2017/9/15,1250.50 
2017/9/14,1251.76 
2017/9/13,1258.28 
2017/9/12,1261.24 
2017/9/11,1262.82 
2017/9/9,1266.26 
2017/9/8,1266.26 
2017/9/7,1260.29 
2017/9/6,1265.11 
2017/9/5,1257.10 
2017/9/4,1259.85 
2017/9/2,1256.52 
2017/9/1,1256.52 
2017/8/31,1253.80 
2017/8/30,1256.73 
2017/8/29,1261.28 
2017/8/28,1257.95 
2017/8/26,1258.75 
2017/8/25,1258.75 
2017/8/24,1259.24 
2017/8/23,1255.81 
2017/8/22,1258.89 
2017/8/21,1259.30 
2017/8/19,1260.79 
2017/8/18,1260.79 
2017/8/17,1258.43 
2017/8/16,1256.27 
2017/8/15,1257.39 
2017/8/14,1260.75 
2017/8/12,1264.33 
2017/8/11,1264.33 
2017/8/10,1257.32 
2017/8/9,1258.80 
2017/8/8,1258.43 
2017/8/7,1256.57 
2017/8/6,1258.91 
2017/8/5,1258.91 
2017/8/4,1258.91 
2017/8/3,1253.78 
2017/8/2,1250.49 
2017/8/1,1251.11 
2017/7/31,1252.49 
2017/7/29,1251.91 
2017/7/28,1251.91 
2017/7/27,1252.32 
2017/7/26,1248.09 
2017/7/25,1251.56 
2017/7/24,1253.35 
2017/7/22,1249.91 
2017/7/21,1249.91 
2017/7/20,1244.79 
2017/7/19,1248.14 
2017/7/18,1244.43 
2017/7/17,1248.28 
2017/7/16,1247.79 
2017/7/15,1247.79 
2017/7/14,1247.79 
2017/7/13,1251.26 
2017/7/12,1246.42 
2017/7/11,1244.68 
2017/7/10,1245.67 
2017/7/8,1247.56 
2017/7/7,1247.56 
2017/7/6,1256.51 
2017/7/5,1255.52 
2017/7/4,1252.97 
2017/7/3,1250.29 
2017/7/1,1254.09 
2017/6/30,1254.09 
2017/6/29,1263.22 
2017/6/28,1269.61 
2017/6/27,1276.98 
2017/6/26,1275.26 
2017/6/24,1275.07 
2017/6/23,1275.07 
2017/6/22,1274.48 
2017/6/21,1272.97 
2017/6/20,1269.56 
2017/6/19,1270.40 
2017/6/17,1270.93 
2017/6/16,1270.93 
2017/6/15,1276.35 
2017/6/14,1271.68 
2017/6/13,1271.74 
2017/6/12,1271.03 
2017/6/10,1270.90 
2017/6/9,1270.90 
2017/6/8,1269.90 
2017/6/7,1272.63 
2017/6/6,1272.59 
2017/6/5,1272.81 
2017/6/3,1269.66 
2017/6/2,1269.66 
2017/6/1,1272.24 
2017/5/31,1272.68 
2017/5/30,1293.97 
2017/5/29,1290.77 
2017/5/27,1292.77 
2017/5/26,1292.77 
2017/5/25,1288.62 
2017/5/24,1284.90 
2017/5/23,1286.61 
2017/5/22,1282.99 
2017/5/21,1284.47 
2017/5/20,1284.47 
2017/5/19,1284.47 
2017/5/18,1283.44 
2017/5/17,1278.08 
2017/5/16,1272.86 
2017/5/15,1272.67 
2017/5/13,1268.38 
2017/5/12,1268.38 
2017/5/11,1265.22 
2017/5/10,1263.46 
2017/5/9,1261.77 
2017/5/8,1262.18 
2017/5/6,1265.16 
2017/5/5,1265.16 
2017/5/4,1266.40 
2017/5/3,1271.35 
2017/5/2,1269.24 
2017/5/1,1272.55 
2017/4/29,1272.36 
2017/4/28,1272.36 
2017/4/27,1269.07 
2017/4/26,1266.71 
2017/4/25,1269.33 
2017/4/24,1269.61 
2017/4/22,1275.01 
2017/4/21,1275.01 
2017/4/20,1278.51 
2017/4/19,1285.43 
2017/4/18,1280.14 
2017/4/17,1283.46 
2017/4/15,1283.32 
2017/4/14,1283.32 
2017/4/13,1283.18 
2017/4/12,1278.57 
2017/4/11,1275.74 
2017/4/10,1269.83 
2017/4/8,1274.23 
2017/4/7,1274.23 
2017/4/6,1269.87 
2017/4/5,1267.62 
2017/4/4,1267.66 
2017/4/3,1259.56 
2017/4/1,1256.54 
2017/3/31,1256.54 
2017/3/30,1258.46 
2017/3/29,1254.12 
2017/3/28,1257.18 
2017/3/27,1257.70 
2017/3/25,1250.14 
2017/3/24,1250.14 
2017/3/23,1252.46 
2017/3/22,1250.74 
2017/3/21,1245.15 
2017/3/20,1244.16 
2017/3/18,1240.07 
2017/3/17,1240.07 
2017/3/16,1244.17 
2017/3/15,1233.28 
2017/3/14,1231.92 
2017/3/13,1230.93 
2017/3/11,1228.06 
2017/3/10,1228.06 
2017/3/9,1232.71 
2017/3/8,1239.47 
2017/3/7,1243.41 
2017/3/6,1244.52 
2017/3/4,1243.22 
2017/3/3,1243.22 
2017/3/2,1243.63 
2017/3/1,1244.52 
2017/2/28,1251.13 
2017/2/27,1254.00 
2017/2/25,1251.26 
2017/2/24,1251.26 
2017/2/23,1244.08 
2017/2/22,1241.04 
2017/2/21,1242.18 
2017/2/20,1244.11 
2017/2/19,1242.90 
2017/2/17,1242.90 
2017/2/16,1242.90 
2017/2/15,1244.31 
2017/2/14,1248.40 
2017/2/13,1252.29 
2017/2/11,1253.21 
2017/2/10,1253.21 
2017/2/9,1258.76 
2017/2/8,1254.24 
2017/2/7,1254.09 
2017/2/6,1245.43 
2017/2/4,1243.30 
2017/2/3,1243.30 
2017/2/2,1244.52 
2017/2/1,1249.10 
2017/1/31,1249.66 
2017/1/30,1249.25 
2017/1/28,1242.73 
2017/1/27,1242.73 
2017/1/26,1249.16 
2017/1/25,1249.03 
2017/1/24,1251.84 
2017/1/23,1245.12 
2017/1/21,1243.50 
2017/1/20,1243.50 
2017/1/19,1244.52 
2017/1/18,1253.75 
2017/1/17,1249.80 
2017/1/16,1250.42 
2017/1/14,1249.92 
2017/1/13,1249.92 
2017/1/12,1252.40 
2017/1/11,1246.22 
2017/1/10,1249.05 
2017/1/9,1244.43 
2017/1/7,1249.99 
2017/1/6,1249.99 
2017/1/5,1246.81 
2017/1/4,1239.42 
2017/1/3,1244.38 
2017/1/2,1242.64 
2017/1/1,1242.51 
2016/12/31,1242.51 
2016/12/30,1242.51 
2016/12/29,1240.57 
2016/12/28,1232.43 
2016/12/27,1230.83 
2016/12/26,1230.70 
2016/12/24,1230.56 
2016/12/23,1230.56 
2016/12/22,1233.93 
2016/12/21,1232.88 
2016/12/20,1233.52 
2016/12/19,1230.87 
2016/12/17,1228.64 
2016/12/16,1228.64 
2016/12/15,1228.95 
2016/12/14,1237.63 
2016/12/13,1234.50 
2016/12/12,1230.40 
2016/12/10,1232.66 
2016/12/9,1232.66 
2016/12/8,1244.42 
2016/12/7,1236.57 
2016/12/6,1236.93 
2016/12/5,1236.31 
2016/12/4,1229.75 
2016/12/3,1229.75 
2016/12/2,1229.75 
2016/12/1,1236.95 
2016/11/30,1243.25 
2016/11/29,1246.42 
2016/11/28,1245.39 
2016/11/26,1237.41 
2016/11/25,1237.41 
2016/11/24,1238.04 
2016/11/23,1244.68 
2016/11/22,1249.54 
2016/11/21,1246.31 
2016/11/19,1243.82 
2016/11/18,1243.82 
2016/11/17,1256.53 
2016/11/16,1249.80 
2016/11/15,1250.07 
2016/11/14,1249.87 
2016/11/12,1256.33 
2016/11/11,1256.33 
2016/11/10,1269.44 
2016/11/9,1293.97 
2016/11/8,1281.61 
2016/11/7,1281.10 
2016/11/5,1287.28 
2016/11/4,1281.22 
2016/11/3,1287.13 
2016/11/2,1281.82 
2016/11/1,1280.39 
2016/10/31,1280.63 
2016/10/29,1283.34 
2016/10/28,1278.15 
2016/10/27,1283.19 
2016/10/26,1290.77 
2016/10/25,1288.66 
2016/10/24,1289.13 
2016/10/22,1285.06 
2016/10/21,1286.74 
2016/10/20,1284.91 
2016/10/19,1284.94 
2016/10/18,1280.86 
2016/10/17,1283.47 
2016/10/15,1292.09 
2016/10/14,1288.67 
2016/10/13,1291.95 
2016/10/12,1286.79 
2016/10/11,1289.78 
2016/10/10,1297.53 
2016/10/9,1299.81 
2016/10/7,1298.11 
2016/10/6,1299.67 
2016/10/5,1303.77 
2016/10/4,1307.62 
2016/10/3,1314.85 
2016/10/1,1320.85 
2016/9/30,1320.85 
2016/9/29,1309.74 
2016/9/28,1312.97 
2016/9/27,1313.45 
2016/9/26,1311.92 
2016/9/24,1308.92 
2016/9/23,1308.92 
2016/9/22,1308.25 
2016/9/21,1297.80 
2016/9/20,1299.45 
2016/9/19,1293.16 
2016/9/17,1299.30 
2016/9/16,1299.30 
2016/9/15,1294.74 
2016/9/14,1299.53 
2016/9/13,1302.60 
2016/9/12,1299.54 
2016/9/10,1309.03 
2016/9/9,1309.03 
2016/9/8,1321.68 
2016/9/7,1323.97 
2016/9/6,1318.65 
2016/9/5,1318.51 
2016/9/3,1322.18 
2016/9/2,1322.18 
2016/9/1,1322.17 
2016/8/31,1322.89 
2016/8/30,1323.28 
2016/8/29,1322.49 
2016/8/26,1320.74 
2016/8/25,1321.08 
2016/8/24,1321.94 
2016/8/23,1321.53 
2016/8/22,1317.01 
2016/8/20,1320.42 
2016/8/19,1320.42 
2016/8/18,1318.26 
2016/8/17,1316.02 
2016/8/16,1323.10 
2016/8/15,1321.12 
2016/8/13,1316.89 
2016/8/12,1316.89 
2016/8/11,1321.63 
2016/8/10,1319.27 
2016/8/9,1312.86 
2016/8/8,1313.06 
2016/8/6,1317.80 
2016/8/5,1317.80 
2016/8/4,1310.18 
2016/8/3,1312.46 
2016/8/2,1322.20 
2016/8/1,1320.41 
2016/7/30,1314.37 
