Date,Price
2017/9/27,5.2161
2017/9/26,5.2317
2017/9/25,5.2549
2017/9/22,5.2485
2017/9/21,5.2288
2017/9/20,5.281
2017/9/19,5.2736
2017/9/18,5.2337
2017/9/15,5.2434
2017/9/14,5.2488
2017/9/13,5.2245
2017/9/12,5.2391
2017/9/11,5.2427
2017/9/8,5.2236
2017/9/7,5.22
2017/9/6,5.2192
2017/9/5,5.2283
2017/9/4,5.1886
2017/9/1,5.2263
2017/8/31,5.237
2017/8/30,5.2122
2017/8/29,5.2428
2017/8/28,5.2625
2017/8/25,5.2732
2017/8/24,5.2643
2017/8/23,5.2635
2017/8/22,5.2706
2017/8/21,5.2919
2017/8/18,5.2907
2017/8/17,5.2643
2017/8/16,5.3027
2017/8/15,5.229
2017/8/14,5.2375
2017/8/11,5.2625
2017/8/10,5.2349
2017/8/9,5.2647
2017/8/8,5.3068
2017/8/7,5.3186
2017/8/4,5.3337
2017/8/3,5.3393
2017/8/2,5.3556
2017/8/1,5.3533
2017/7/31,5.3833
2017/7/28,5.3811
2017/7/27,5.3722
2017/7/26,5.4072
2017/7/25,5.358
2017/7/24,5.3496
2017/7/21,5.3563
2017/7/20,5.3796
2017/7/19,5.3694
2017/7/18,5.3404
2017/7/17,5.2809
2017/7/14,5.3075
2017/7/13,5.2436
2017/7/12,5.2116
2017/7/11,5.1951
2017/7/10,5.1755
2017/7/7,5.1766
2017/7/6,5.1596
2017/7/5,5.1711
2017/7/4,5.1713
2017/7/3,5.21
2017/6/30,5.2149
2017/6/29,5.2148
2017/6/28,5.1958
2017/6/27,5.1659
2017/6/26,5.189
2017/6/23,5.1746
2017/6/22,5.1548
2017/6/21,5.1587
2017/6/20,5.1768
2017/6/19,5.1818
2017/6/16,5.1899
2017/6/15,5.1597
2017/6/14,5.1532
2017/6/13,5.1248
2017/6/12,5.1269
2017/6/9,5.1192
2017/6/8,5.1315
2017/6/7,5.1311
2017/6/6,5.1022
2017/6/5,5.0941
2017/6/2,5.072
2017/6/1,5.0201
2017/5/31,5.0602
2017/5/30,5.118
2017/5/29,5.1009
2017/5/26,5.1053
2017/5/25,5.12
2017/5/24,5.1705
2017/5/23,5.1527
2017/5/22,5.1486
2017/5/19,5.1372
2017/5/18,5.1108
2017/5/17,5.114
2017/5/16,5.1144
2017/5/15,5.1098
2017/5/12,5.0959
2017/5/11,5.0942
2017/5/10,5.0866
2017/5/9,5.0735
2017/5/8,5.1003
2017/5/5,5.1231
2017/5/4,5.1094
2017/5/3,5.1211
2017/5/2,5.1968
2017/5/1,5.188
2017/4/28,5.1622
2017/4/27,5.149
2017/4/26,5.152
2017/4/25,5.1879
2017/4/24,5.2121
2017/4/21,5.194
2017/4/20,5.1803
