date,price
2017/6/7,1799.8524
2017/6/6,1766.3934
2017/6/5,1761.2457
2017/6/2,1745.9265
2017/6/1,1728.488
2017/5/31,1763.7292
2017/5/26,1759.6318
2017/5/25,1777.6939
2017/5/24,1776.2778
2017/5/23,1758.2348
2017/5/22,1788.0753
2017/5/19,1801.0776
2017/5/18,1813.5065
2017/5/17,1822.6389
2017/5/16,1814.9405
2017/5/15,1778.6359
2017/5/12,1774.6277
2017/5/11,1772.4131
2017/5/10,1771.3195
2017/5/9,1802.4908
2017/5/8,1788.7083
2017/5/5,1818.1911
2017/5/4,1838.1038
2017/5/3,1840.4534
2017/5/2,1850.8493
2017/4/28,1850.7336
2017/4/27,1842.9222
2017/4/26,1820.4805
2017/4/25,1818.8704
2017/4/24,1809.9113
2017/4/21,1839.0064
2017/4/20,1850.39
2017/4/19,1845.3821
2017/4/18,1848.2027
2017/4/17,1868.2814
2017/4/14,1887.4603
2017/4/13,1910.476
2017/4/12,1897.5065
2017/4/11,1917.6329
2017/4/10,1912.4507
2017/4/7,1946.0485
2017/4/6,1944.2345
2017/4/5,1943.1602
2017/3/31,1907.3381
2017/3/30,1893.7009
2017/3/29,1929.1958
2017/3/28,1944.3626
2017/3/27,1947.5282
2017/3/24,1965.1368
2017/3/23,1948.3692
2017/3/22,1948.5799
2017/3/21,1961.0632
2017/3/20,1953.8158
2017/3/17,1949.661
2017/3/16,1966.7266
2017/3/15,1957.8199
2017/3/14,1958.023
2017/3/13,1970.8788
2017/3/10,1950.0077
2017/3/9,1953.9425
2017/3/8,1964.6284
2017/3/7,1977.8531
2017/3/6,1962.7697
2017/3/3,1928.289
2017/3/2,1920.4049
2017/3/1,1931.9682
2017/2/28,1927.1597
2017/2/27,1926.7715
2017/2/24,1938.4445
2017/2/23,1925.9512
2017/2/22,1919.9732
2017/2/21,1921.0773
2017/2/20,1894.9616
2017/2/17,1882.8685
2017/2/16,1897.6297
2017/2/15,1892.357
2017/2/14,1909.3954
2017/2/13,1913.6805
2017/2/10,1904.6849
2017/2/9,1914.0823
2017/2/8,1903.6279
2017/2/7,1889.1337
2017/2/6,1900.4472
2017/2/3,1876.7607
2017/1/26,1886.232
2017/1/25,1870.7028
2017/1/24,1861.2158
2017/1/23,1887.3245
2017/1/20,1880.7483
2017/1/19,1844.14
