Date,Price
2017/9/26,135.556
2017/9/25,135.632
2017/9/22,135.438
2017/9/21,135.418
2017/9/20,135.723
2017/9/19,135.701
2017/9/18,135.544
2017/9/15,135.455
2017/9/14,135.696
2017/9/13,135.746
2017/9/12,135.914
2017/9/11,136.355
2017/9/8,136.463
2017/9/7,136.711
2017/9/6,136.164
2017/9/5,136.244
2017/9/4,135.985
2017/9/1,135.74
2017/8/31,136.126
2017/8/30,135.855
2017/8/29,136.016
2017/8/28,135.771
2017/8/25,135.632
2017/8/24,135.745
2017/8/23,135.699
2017/8/22,135.634
2017/8/21,135.95
2017/8/18,135.866
2017/8/17,135.728
2017/8/16,135.576
2017/8/15,135.585
2017/8/14,135.897
2017/8/11,136.008
2017/8/10,135.929
2017/8/9,135.895
2017/8/8,135.663
2017/8/7,135.666
2017/8/4,135.494
2017/8/3,135.767
2017/8/2,135.495
2017/8/1,135.327
2017/7/31,135.005
2017/7/28,134.765
2017/7/27,134.951
2017/7/26,134.782
2017/7/25,134.838
2017/7/24,135.483
2017/7/21,135.299
2017/7/20,134.917
2017/7/19,134.673
2017/7/18,134.552
2017/7/17,134.288
2017/7/14,134.01
2017/7/13,133.88
2017/7/12,134.117
2017/7/11,133.636
2017/7/10,133.746
2017/7/7,133.626
2017/7/6,133.822
2017/7/5,134.975
2017/7/4,134.971
2017/7/3,134.897
2017/6/30,134.872
2017/6/29,135.129
2017/6/28,135.728
2017/6/27,136.07
2017/6/26,137.008
2017/6/23,136.959
2017/6/22,137.045
2017/6/21,136.954
2017/6/20,136.94
2017/6/19,136.671
2017/6/16,136.637
2017/6/15,136.497
2017/6/14,137.122
2017/6/13,136.862
2017/6/12,136.801
2017/6/9,136.432
2017/6/8,136.302
2017/6/7,135.789
2017/6/6,135.901
2017/6/5,135.576
2017/6/2,135.702
2017/6/1,135.517
2017/5/31,135.988
2017/5/30,135.68
2017/5/29,135.734
2017/5/26,135.699
2017/5/25,135.378
2017/5/24,135.063
2017/5/23,135.151
2017/5/22,135.106
2017/5/19,135.299
2017/5/18,135.376
2017/5/17,135.075
2017/5/16,134.674
2017/5/15,134.448
2017/5/12,134.571
2017/5/11,134.426
2017/5/10,134.7
2017/5/9,134.283
2017/5/8,134.699
2017/5/5,134.741
2017/5/4,134.801
2017/5/3,134.846
2017/5/2,134.676
2017/4/28,134.795
2017/4/27,134.765
2017/4/26,134.167
2017/4/25,134.371
2017/4/24,134.652
2017/4/21,134.277
2017/4/20,134.152
2017/4/19,134.506
2017/4/18,134.393
2017/4/13,134.467
2017/4/12,134.393
2017/4/11,134.313
2017/4/10,134.453
2017/4/7,134.759
2017/4/6,134.349
2017/4/5,134.332
2017/4/4,134.405
2017/4/3,133.927
2017/3/31,133.938
2017/3/30,133.9
2017/3/29,133.998
2017/3/28,133.744
2017/3/27,133.499
2017/3/24,133.248
2017/3/23,133.028
2017/3/22,132.921
2017/3/21,132.487
2017/3/20,132.241
2017/3/17,132.302
2017/3/16,132.303
2017/3/15,132.64
2017/3/14,132.103
2017/3/13,132.281
2017/3/10,132.422
2017/3/9,132.835
2017/3/8,133.19
2017/3/7,133.745
2017/3/6,133.814
2017/3/3,133.872
2017/3/2,134.135
2017/3/1,134.208
2017/2/28,134.805
2017/2/27,134.564
2017/2/24,134.293
2017/2/23,133.83
2017/2/22,133.403
2017/2/21,133.286
2017/2/20,133.605
2017/2/17,133.691
2017/2/16,133.671
2017/2/15,133.223
2017/2/14,133.313
2017/2/13,133.369
2017/2/10,133.405
2017/2/9,133.8
2017/2/8,133.266
2017/2/7,132.894
2017/2/6,132.668
2017/2/3,133.306
2017/2/2,133.352
2017/2/1,132.616
2017/1/31,133.168
2017/1/30,132.892
2017/1/27,133.324
2017/1/26,133.318
2017/1/25,134.16
2017/1/24,134.925
2017/1/23,134.921
2017/1/20,134.674
2017/1/19,135.027
2017/1/18,135.542
2017/1/17,135.726
2017/1/16,135.613
2017/1/13,135.314
2017/1/12,135.64
2017/1/11,135.751
2017/1/10,135.27
2017/1/9,135.314
2017/1/6,135.05
2017/1/5,135.135
2017/1/4,135.568
2017/1/3,135.598
2017/1/2,136.897
2016/12/30,136.358
2016/12/29,136.702
2016/12/28,136.508
2016/12/27,136.506
2016/12/23,136.408
2016/12/22,135.971
2016/12/21,136.379
2016/12/20,136.301
2016/12/19,136.089
2016/12/16,135.653
2016/12/15,135.628
2016/12/14,136.108
2016/12/13,135.426
2016/12/12,134.729
2016/12/9,134.985
2016/12/8,134.949
2016/12/7,135.648
2016/12/6,135.124
2016/12/5,134.62
2016/12/2,135.397
2016/12/1,134.66
2016/11/30,135.39
2016/11/29,135.631
2016/11/28,135.128
2016/11/25,135.112
2016/11/24,135.2
2016/11/23,134.728
2016/11/22,135.357
2016/11/21,135
2016/11/18,135.171
2016/11/17,134.942
2016/11/16,135.175
2016/11/15,135.817
2016/11/14,134.532
2016/11/11,135.241
2016/11/10,136.089
2016/11/9,137.658
2016/11/8,138.086
2016/11/7,138.087
2016/11/4,138.009
2016/11/3,138.064
2016/11/2,138.295
2016/11/1,137.753
2016/10/31,138.165
2016/10/28,138.137
2016/10/27,138.456
2016/10/26,139.106
2016/10/25,139.856
2016/10/24,139.968
2016/10/21,139.946
2016/10/20,139.918
2016/10/19,139.81
2016/10/18,139.741
2016/10/17,139.589
2016/10/14,139.666
2016/10/13,139.771
2016/10/12,139.412
2016/10/11,139.791
2016/10/10,139.577
2016/10/7,139.846
2016/10/6,139.926
2016/10/5,139.982
2016/10/4,140.824
2016/10/3,141.041
2016/9/30,141.337
2016/9/29,141.193
2016/9/28,141.451
2016/9/27,141.303
2016/9/26,141.226
2016/9/23,140.935
2016/9/22,141.084
2016/9/21,140.271
2016/9/20,140.534
2016/9/19,140.076
2016/9/16,139.899
2016/9/15,139.88
2016/9/14,140.127
2016/9/13,140.006
2016/9/12,140.113
2016/9/9,140.347
2016/9/8,141.288
2016/9/7,141.801
2016/9/6,141.632
2016/9/5,140.966
2016/9/2,140.744
2016/9/1,140.804
2016/8/31,141.313
2016/8/30,141.506
2016/8/29,141.338
2016/8/26,141.51
2016/8/25,141.319
2016/8/24,141.366
2016/8/23,141.524
2016/8/22,141.471
2016/8/19,141.227
2016/8/18,141.577
2016/8/17,141.39
2016/8/16,141.283
2016/8/15,141.692
2016/8/12,142.019
2016/8/11,141.96
2016/8/10,141.847
2016/8/9,141.58
2016/8/8,141.312
2016/8/5,141.297
2016/8/4,141.381
2016/8/3,140.781
2016/8/2,140.828
2016/8/1,141.443
2016/7/29,141.432
2016/7/28,141.06
2016/7/27,140.971
2016/7/26,140.719
2016/7/25,140.804
2016/7/22,140.541
2016/7/21,140.539
2016/7/20,140.557
2016/7/19,140.61
2016/7/18,140.543
2016/7/15,140.472
2016/7/14,140.712
2016/7/13,141.108
2016/7/12,140.878
2016/7/11,141.22
2016/7/8,141.399
2016/7/7,140.905
2016/7/6,141.203
2016/7/5,141.143
2016/7/4,140.966
2016/7/1,141.026
2016/6/30,140.427
2016/6/29,140.262
2016/6/28,139.907
2016/6/27,139.266
2016/6/24,138.602
2016/6/23,138.678
2016/6/22,138.644
2016/6/21,138.676
2016/6/20,138.747
2016/6/17,138.346
2016/6/16,138.302
2016/6/15,138.62
2016/6/14,138.517
2016/6/13,138.695
2016/6/10,139.129
2016/6/9,139.321
2016/6/8,138.965
2016/6/7,138.914
2016/6/6,138.551
2016/6/3,138.802
2016/6/2,138.415
2016/6/1,138.509
2016/5/31,138.352
2016/5/30,138.285
2016/5/27,138.573
2016/5/26,138.485
2016/5/25,138.549
2016/5/24,138.148
2016/5/23,137.88
2016/5/20,137.924
2016/5/19,137.911
2016/5/18,137.88
2016/5/17,138.302
2016/5/16,138.068
2016/5/13,138.077
2016/5/12,137.904
2016/5/11,138.205
2016/5/10,138.195
2016/5/9,138.059
2016/5/6,137.966
2016/5/5,137.724
2016/5/4,137.616
2016/5/3,137.814
2016/5/2,137.396
2016/4/29,137.007
2016/4/28,137.435
2016/4/27,137.162
2016/4/26,137.122
2016/4/25,137.263
2016/4/22,137.593
2016/4/21,137.856
2016/4/20,138.388
2016/4/19,138.202
2016/4/18,138.561
2016/4/15,138.596
2016/4/14,138.378
2016/4/13,138.587
2016/4/12,138.319
2016/4/11,138.467
2016/4/8,138.722
2016/4/7,138.494
2016/4/6,138.855
2016/4/5,139.054
2016/4/4,138.963
2016/4/1,139.146
2016/3/31,138.878
2016/3/30,138.964
2016/3/29,139.003
2016/3/24,138.605
2016/3/23,138.269
2016/3/22,138.524
2016/3/21,138.505
2016/3/18,138.586
2016/3/17,138.47
2016/3/16,138.03
2016/3/15,137.714
2016/3/14,138.305
2016/3/11,137.995
2016/3/10,137.969
2016/3/9,137.862
2016/3/8,138.208
2016/3/7,137.875
2016/3/4,137.766
2016/3/3,137.94
2016/3/2,137.951
2016/3/1,138.244
2016/2/29,138.46
2016/2/26,137.928
2016/2/25,137.68
2016/2/24,137.679
2016/2/23,137.319
2016/2/22,137.5
2016/2/19,137.194
2016/2/18,137.201
2016/2/17,136.605
2016/2/16,136.514
2016/2/15,136.904
2016/2/12,136.536
2016/2/11,136.63
2016/2/10,136.808
2016/2/9,136.544
2016/2/8,136.751
2016/2/5,137.145
2016/2/4,137.182
2016/2/3,137.658
2016/2/2,137.392
2016/2/1,137.373
2016/1/29,137.592
2016/1/28,136.912
2016/1/27,136.594
2016/1/26,136.561
2016/1/25,136.138
2016/1/22,136.037
2016/1/21,136.327
2016/1/20,135.731
2016/1/19,135.673
2016/1/18,135.736
2016/1/15,135.8
2016/1/14,135.546
2016/1/13,135.568
2016/1/12,135.104
2016/1/11,135.287
2016/1/8,135.831
2016/1/7,135.493
2016/1/6,135.991
2016/1/5,135.8
2016/1/4,135.53
2015/12/31,135.022
2015/12/30,135.097
2015/12/29,134.796
2015/12/28,135.173
2015/12/24,134.825
2015/12/23,134.848
2015/12/22,135.17
2015/12/21,135.603
2015/12/18,135.695
2015/12/17,135.27
2015/12/16,134.739
2015/12/15,134.793
2015/12/14,135.568
2015/12/11,136.154
2015/12/10,135.892
2015/12/9,135.925
2015/12/8,135.985
2015/12/7,135.721
2015/12/4,134.903
2015/12/3,135.466
2015/12/2,137.257
2015/12/1,137.172
2015/11/30,137.058
2015/11/27,137.294
2015/11/26,136.93
2015/11/25,136.927
2015/11/24,136.441
2015/11/23,136.099
2015/11/20,136.647
2015/11/19,136.452
2015/11/18,136.199
2015/11/17,135.954
2015/11/16,135.729
2015/11/13,135.772
2015/11/12,135.338
2015/11/11,135.341
2015/11/10,135.063
2015/11/9,134.258
2015/11/6,134.24
2015/11/5,135.32
2015/11/4,135.66
2015/11/3,135.5
2015/11/2,135.41
2015/10/30,135.97
2015/10/29,136.18
2015/10/28,136.79
2015/10/27,136.74
2015/10/26,136.29
2015/10/23,136.306
2015/10/22,136.27
2015/10/21,135.34
2015/10/20,134.91
2015/10/19,135.43
2015/10/16,135.53
2015/10/15,135.35
2015/10/14,135.44
2015/10/13,135.07
2015/10/12,135.12
2015/10/9,135
2015/10/8,135.13
2015/10/7,134.86
2015/10/6,135.03
2015/10/5,135.41
2015/10/2,135.8
2015/10/1,135.16
2015/9/30,134.87
2015/9/29,134.65
2015/9/28,134.5
2015/9/25,134.22
2015/9/24,134.81
2015/9/23,134.51
2015/9/22,134.61
2015/9/21,134
2015/9/18,134.27
2015/9/17,133.05
2015/9/16,133.09
2015/9/15,133.42
2015/9/14,134.02
2015/9/11,133.92
2015/9/10,133.82
2015/9/9,133.66
2015/9/8,133.82
2015/9/7,133.65
2015/9/4,133.62
2015/9/3,133.12
2015/9/2,132.5
2015/9/1,132.59
2015/8/31,133.26
2015/8/28,133.4
2015/8/27,133.17
2015/8/26,133.08
