Date,Price
2017/10/20,7.8026
2017/10/19,7.8402
2017/10/18,7.8121
2017/10/17,7.7932
2017/10/16,7.7737
2017/10/13,7.779
2017/10/12,7.7939
2017/10/11,7.8154
2017/10/10,7.7586
2017/10/9,7.7786
2017/10/6,7.8071
2017/10/5,7.7918
2017/10/4,7.8247
2017/10/3,7.8137
2017/10/2,7.8064
2017/9/29,7.8604
2017/9/28,7.8543
2017/9/27,7.8016
2017/9/26,7.8306
2017/9/25,7.8448
2017/9/22,7.875
2017/9/21,7.8697
2017/9/20,7.8195
2017/9/19,7.8966
2017/9/18,7.8587
2017/9/15,7.8258
2017/9/14,7.8141
2017/9/13,7.7774
2017/9/12,7.8206
2017/9/11,7.8049
2017/9/8,7.8007
2017/9/7,7.7988
2017/9/6,7.7747
2017/9/5,7.7903
2017/9/4,7.7692
2017/9/1,7.7785
2017/8/31,7.8486
2017/8/30,7.8368
2017/8/29,7.8979
2017/8/28,7.9165
2017/8/25,7.9291
2017/8/24,7.8605
2017/8/23,7.8624
2017/8/22,7.8364
2017/8/21,7.8754
2017/8/18,7.8467
2017/8/17,7.8264
2017/8/16,7.8739
2017/8/15,7.8454
2017/8/14,7.8586
2017/8/11,7.878
2017/8/10,7.8254
2017/8/9,7.8479
2017/8/8,7.8821
2017/8/7,7.9281
2017/8/4,7.9214
2017/8/3,7.973
2017/8/2,7.9695
2017/8/1,7.9284
2017/7/31,7.9656
2017/7/28,7.9178
2017/7/27,7.8735
2017/7/26,7.925
2017/7/25,7.8629
2017/7/24,7.8597
2017/7/21,7.8922
2017/7/20,7.8617
2017/7/19,7.7751
2017/7/18,7.795
2017/7/17,7.771
2017/7/14,7.7712
2017/7/13,7.7321
2017/7/12,7.7462
2017/7/11,7.8011
2017/7/10,7.7557
2017/7/7,7.7595
2017/7/6,7.7694
2017/7/5,7.721
2017/7/4,7.7158
2017/7/3,7.7287
2017/6/30,7.7478
2017/6/29,7.7646
2017/6/28,7.7368
2017/6/27,7.7248
2017/6/26,7.6494
2017/6/23,7.6529
2017/6/22,7.6226
2017/6/21,7.6272
2017/6/20,7.604
2017/6/19,7.603
2017/6/16,7.6259
2017/6/15,7.5873
2017/6/14,7.6189
2017/6/13,7.6221
2017/6/12,7.6161
2017/6/9,7.6107
2017/6/8,7.6258
2017/6/7,7.6499
2017/6/6,7.6634
2017/6/5,7.6575
2017/6/2,7.6849
2017/6/1,7.6335
2017/5/31,7.6569
2017/5/30,7.6686
2017/5/29,7.6536
2017/5/26,7.6666
2017/5/25,7.7
2017/5/24,7.7298
2017/5/23,7.7054
2017/5/22,7.7386
2017/5/19,7.716
2017/5/18,7.6491
2017/5/17,7.6792
2017/5/16,7.6321
2017/5/15,7.5651
2017/5/12,7.5417
2017/5/11,7.4984
2017/5/10,7.5024
2017/5/9,7.5111
2017/5/8,7.5424
2017/5/5,7.5916
2017/5/4,7.5751
2017/5/3,7.5098
2017/5/2,7.5373
2017/5/1,7.5132
2017/4/28,7.5118
2017/4/27,7.5001
2017/4/26,7.5154
2017/4/25,7.5222
2017/4/24,7.482
2017/4/21,7.3872
2017/4/20,7.3761
2017/4/19,7.3777
2017/4/18,7.3849
2017/4/17,7.3251
2017/4/14,7.3064
2017/4/13,7.313
2017/4/12,7.3505
2017/4/11,7.3075
2017/4/10,7.3148
