Date,Price
2017/9/26,3535.50 
2017/9/25,3537.81 
2017/9/22,3541.42 
2017/9/21,3539.59 
2017/9/20,3525.55 
2017/9/19,3531.18 
2017/9/18,3526.74 
2017/9/15,3515.55 
2017/9/14,3526.48 
2017/9/13,3523.14 
2017/9/12,3512.56 
2017/9/11,3495.19 
2017/9/8,3447.69 
2017/9/7,3447.66 
2017/9/6,3433.80 
2017/9/5,3420.86 
2017/9/4,3429.98 
2017/9/1,3443.88 
2017/8/31,3421.47 
2017/8/30,3403.71 
2017/8/29,3388.22 
2017/8/28,3421.03 
2017/8/25,3438.55 
2017/8/24,3444.73 
2017/8/23,3438.63 
2017/8/22,3455.59 
2017/8/21,3423.53 
2017/8/18,3446.03 
2017/8/17,3461.97 
2017/8/16,3484.57 
2017/8/15,3461.91 
2017/8/14,3450.66 
2017/8/11,3406.34 
2017/8/10,3433.54 
2017/8/9,3468.45 
2017/8/8,3515.63 
2017/8/7,3505.80 
2017/8/4,3507.41 
2017/8/3,3466.37 
2017/8/2,3459.32 
2017/8/1,3477.39 
2017/7/31,3449.36 
2017/7/28,3467.73 
2017/7/27,3493.14 
2017/7/26,3491.19 
2017/7/25,3473.54 
2017/7/24,3453.17 
2017/7/21,3451.71 
2017/7/20,3499.49 
2017/7/19,3500.28 
2017/7/18,3478.68 
2017/7/17,3516.35 
2017/7/14,3525.94 
2017/7/13,3527.83 
2017/7/12,3515.23 
2017/7/11,3464.48 
2017/7/10,3478.06 
2017/7/7,3463.84 
2017/7/6,3462.06 
2017/7/5,3478.41 
2017/7/4,3479.47 
2017/7/3,3491.81 
2017/6/30,3441.88 
2017/6/29,3471.33 
2017/6/28,3535.70 
2017/6/27,3538.32 
2017/6/26,3561.76 
2017/6/23,3543.68 
2017/6/22,3555.76 
2017/6/21,3554.35 
2017/6/20,3560.66 
2017/6/19,3579.58 
2017/6/16,3543.88 
2017/6/15,3525.46 
2017/6/14,3547.15 
2017/6/13,3557.87 
2017/6/12,3543.95 
2017/6/9,3586.07 
2017/6/8,3563.88 
2017/6/7,3548.84 
2017/6/6,3554.18 
2017/6/5,3579.55 
2017/6/2,3591.82 
2017/6/1,3567.02 
2017/5/31,3554.59 
2017/5/30,3561.22 
2017/5/29,3578.95 
2017/5/26,3579.02 
2017/5/25,3584.55 
2017/5/24,3586.62 
2017/5/23,3595.03 
2017/5/22,3576.53 
2017/5/19,3587.01 
2017/5/18,3562.22 
2017/5/17,3584.83 
2017/5/16,3641.89 
2017/5/15,3641.88 
2017/5/12,3637.52 
2017/5/11,3623.55 
2017/5/10,3645.74 
2017/5/9,3649.08 
2017/5/8,3642.11 
2017/5/5,3658.79 
2017/5/4,3627.88 
2017/5/3,3586.25 
2017/5/2,3578.21 
2017/5/1,3559.59 
2017/4/28,3559.59 
2017/4/27,3563.29 
2017/4/26,3578.71 
2017/4/25,3583.16 
2017/4/24,3577.38 
2017/4/21,3440.27 
2017/4/20,3440.03 
2017/4/19,3420.99 
2017/4/18,3409.78 
2017/4/13,3448.26 
2017/4/12,3468.51 
2017/4/11,3470.04 
2017/4/10,3480.44 
2017/4/7,3495.80 
2017/4/6,3489.57 
2017/4/5,3472.58 
2017/4/4,3481.66 
2017/4/3,3472.94 
2017/3/31,3500.93 
2017/3/30,3481.58 
2017/3/29,3475.27 
2017/3/28,3465.07 
2017/3/27,3437.14 
2017/3/24,3444.15 
2017/3/23,3452.18 
2017/3/22,3420.70 
2017/3/21,3429.62 
2017/3/20,3437.48 
2017/3/17,3448.41 
2017/3/16,3439.96 
2017/3/15,3409.32 
2017/3/14,3399.43 
2017/3/13,3415.49 
2017/3/10,3416.27 
2017/3/9,3409.89 
2017/3/8,3389.62 
2017/3/7,3385.12 
2017/3/6,3387.46 
2017/3/3,3403.39 
2017/3/2,3384.71 
2017/3/1,3390.20 
2017/2/28,3319.61 
2017/2/27,3309.30 
2017/2/24,3304.09 
2017/2/23,3333.96 
2017/2/22,3339.27 
2017/2/21,3339.33 
2017/2/20,3312.39 
2017/2/17,3308.81 
2017/2/16,3311.04 
2017/2/15,3323.71 
2017/2/14,3308.89 
2017/2/13,3305.23 
2017/2/10,3270.83 
2017/2/9,3277.79 
2017/2/8,3238.04 
2017/2/7,3235.71 
2017/2/6,3238.31 
2017/2/3,3273.11 
2017/2/2,3253.61 
2017/2/1,3258.92 
2017/1/31,3230.68 
2017/1/30,3262.72 
2017/1/27,3303.33 
2017/1/26,3319.13 
2017/1/25,3326.15 
2017/1/24,3281.53 
2017/1/23,3273.04 
2017/1/20,3299.44 
2017/1/19,3290.33 
2017/1/18,3294.00 
2017/1/17,3285.04 
2017/1/16,3294.53 
2017/1/13,3324.34 
2017/1/12,3286.70 
2017/1/11,3307.94 
2017/1/10,3306.21 
2017/1/9,3308.97 
2017/1/6,3321.17 
2017/1/5,3316.47 
2017/1/4,3317.52 
2017/1/3,3315.02 
2017/1/2,3308.67 
2016/12/30,3290.52 
2016/12/29,3271.76 
2016/12/28,3278.72 
2016/12/27,3278.53 
2016/12/23,3273.97 
2016/12/22,3269.51 
2016/12/21,3270.75 
2016/12/20,3279.41 
2016/12/19,3257.85 
2016/12/16,3259.24 
2016/12/15,3249.74 
2016/12/14,3211.71 
2016/12/13,3236.71 
2016/12/12,3199.11 
2016/12/9,3197.54 
2016/12/8,3185.79 
2016/12/7,3142.24 
2016/12/6,3100.76 
2016/12/5,3052.75 
2016/12/2,3015.13 
2016/12/1,3030.98 
2016/11/30,3051.61 
2016/11/29,3038.42 
2016/11/28,3016.80 
2016/11/25,3048.38 
2016/11/24,3040.60 
2016/11/23,3032.14 
2016/11/22,3044.33 
2016/11/21,3032.97 
2016/11/18,3020.83 
2016/11/17,3041.79 
2016/11/16,3026.36 
2016/11/15,3049.72 
2016/11/14,3039.80 
2016/11/11,3030.02 
2016/11/10,3046.59 
2016/11/9,3056.29 
2016/11/8,3023.43 
2016/11/7,3009.28 
2016/11/4,2954.53 
2016/11/3,2973.49 
2016/11/2,2980.17 
2016/11/1,3023.15 
2016/10/31,3055.25 
2016/10/28,3079.24 
2016/10/27,3085.17 
2016/10/26,3080.98 
2016/10/25,3087.41 
2016/10/24,3093.86 
2016/10/21,3077.65 
2016/10/20,3076.63 
2016/10/19,3055.94 
2016/10/18,3046.99 
2016/10/17,3008.72 
2016/10/14,3025.19 
2016/10/13,2975.04 
2016/10/12,3008.03 
2016/10/11,3020.69 
2016/10/10,3035.76 
2016/10/7,3000.57 
2016/10/6,3021.58 
2016/10/5,3026.28 
2016/10/4,3029.50 
2016/10/3,2998.50 
2016/9/30,3002.24 
2016/9/29,2991.58 
2016/9/28,2991.11 
2016/9/27,2970.84 
2016/9/26,2975.88 
2016/9/23,3032.31 
2016/9/22,3051.69 
2016/9/21,2982.18 
2016/9/20,2964.86 
2016/9/19,2968.31 
2016/9/16,2935.25 
2016/9/15,2973.77 
2016/9/14,2964.90 
2016/9/13,2974.80 
2016/9/12,3012.88 
2016/9/9,3053.20 
2016/9/8,3083.54 
2016/9/7,3091.66 
2016/9/6,3070.16 
2016/9/5,3077.66 
2016/9/2,3079.74 
2016/9/1,3017.49 
2016/8/31,3023.13 
2016/8/30,3030.75 
2016/8/29,2998.50 
2016/8/26,3010.36 
2016/8/25,2987.69 
2016/8/24,3008.59 
2016/8/23,2993.73 
2016/8/22,2960.37 
2016/8/19,2968.20 
2016/8/18,2995.30 
2016/8/17,2980.54 
2016/8/16,3016.19 
2016/8/15,3046.65 
2016/8/12,3044.94 
2016/8/11,3049.03 
2016/8/10,3018.46 
2016/8/9,3029.18 
2016/8/8,2982.92 
2016/8/5,2973.71 
2016/8/4,2932.34 
2016/8/3,2911.06 
2016/8/2,2906.98 
2016/8/1,2967.31 
2016/7/29,2990.76 
2016/7/28,2966.10 
2016/7/27,2999.48 
2016/7/26,2978.90 
2016/7/25,2973.22 
2016/7/22,2972.23 
2016/7/21,2968.49 
2016/7/20,2966.95 
2016/7/19,2931.10 
2016/7/18,2949.17 
2016/7/15,2958.65 
2016/7/14,2963.07 
2016/7/13,2926.14 
2016/7/12,2933.44 
2016/7/11,2885.32 
2016/7/8,2838.01 
2016/7/7,2780.10 
2016/7/6,2761.37 
2016/7/5,2812.88 
2016/7/4,2862.21 
2016/7/1,2883.06 
2016/6/30,2864.74 
2016/6/29,2832.18 
2016/6/28,2758.67 
2016/6/27,2697.44 
2016/6/24,2776.09 
2016/6/23,3037.86 
2016/6/22,2978.31 
2016/6/21,2967.34 
2016/6/20,2942.88 
2016/6/17,2849.17 
2016/6/16,2819.30 
2016/6/15,2830.30 
2016/6/14,2797.18 
2016/6/13,2853.52 
2016/6/10,2911.11 
2016/6/9,2989.03 
2016/6/8,3019.76 
2016/6/7,3040.69 
2016/6/6,3001.90 
2016/6/3,2997.55 
2016/6/2,3033.86 
2016/6/1,3038.77 
2016/5/31,3063.48 
2016/5/30,3090.01 
2016/5/27,3078.48 
2016/5/26,3071.21 
2016/5/25,3061.60 
2016/5/24,3010.12 
2016/5/23,2932.93 
2016/5/20,2962.16 
2016/5/19,2919.22 
2016/5/18,2956.43 
2016/5/17,2938.09 
2016/5/16,2951.39 
2016/5/13,2956.63 
2016/5/12,2935.46 
2016/5/11,2956.71 
2016/5/10,2978.97 
2016/5/9,2955.83 
2016/5/6,2936.84 
2016/5/5,2940.35 
2016/5/4,2938.75 
2016/5/3,2974.20 
2016/5/2,3032.60 
2016/4/29,3028.21 
2016/4/28,3125.43 
2016/4/27,3130.43 
2016/4/26,3121.29 
2016/4/25,3117.62 
2016/4/22,3141.12 
2016/4/21,3151.69 
2016/4/20,3142.52 
2016/4/19,3112.99 
2016/4/18,3064.03 
2016/4/15,3054.34 
2016/4/14,3060.86 
2016/4/13,3039.19 
2016/4/12,2942.09 
2016/4/11,2924.23 
2016/4/8,2911.98 
2016/4/7,2871.57 
2016/4/6,2909.36 
2016/4/5,2890.35 
2016/4/4,2962.28 
2016/4/1,2953.28 
2016/3/31,3004.93 
2016/3/30,3044.10 
2016/3/29,3004.87 
2016/3/24,2986.73 
2016/3/23,3042.42 
2016/3/22,3051.23 
2016/3/21,3048.77 
2016/3/18,3059.77 
2016/3/17,3043.10 
2016/3/16,3062.05 
2016/3/15,3067.21 
2016/3/14,3091.98 
2016/3/11,3073.80 
2016/3/10,2970.78 
2016/3/9,3016.18 
2016/3/8,3002.01 
2016/3/7,3021.09 
2016/3/4,3037.35 
2016/3/3,3012.87 
2016/3/2,3022.14 
2016/3/1,2996.39 
2016/2/29,2945.75 
2016/2/26,2929.16 
2016/2/25,2877.42 
2016/2/24,2820.24 
2016/2/23,2887.38 
2016/2/22,2933.91 
2016/2/19,2871.05 
2016/2/18,2895.15 
2016/2/17,2897.72 
2016/2/16,2821.26 
2016/2/15,2833.87 
2016/2/12,2756.16 
2016/2/11,2680.35 
2016/2/10,2789.05 
2016/2/9,2736.50 
2016/2/8,2785.17 
2016/2/5,2879.39 
2016/2/4,2905.30 
2016/2/3,2896.63 
2016/2/2,2951.85 
2016/2/1,3021.01 
2016/1/29,3045.09 
2016/1/28,2979.42 
2016/1/27,3043.47 
2016/1/26,3032.84 
2016/1/25,3001.78 
2016/1/22,3023.21 
2016/1/21,2943.92 
2016/1/20,2882.59 
2016/1/19,2980.49 
2016/1/18,2935.39 
2016/1/15,2952.48 
2016/1/14,3024.00 
2016/1/13,3073.02 
2016/1/12,3064.66 
2016/1/11,3027.49 
2016/1/8,3033.47 
2016/1/7,3084.68 
2016/1/6,3139.32 
2016/1/5,3178.01 
2016/1/4,3164.76 
2015/12/31,3267.52 
2015/12/30,3287.98 
2015/12/29,3314.28 
2015/12/28,3256.49 
2015/12/24,3284.47 
2015/12/23,3286.68 
2015/12/22,3214.32 
2015/12/21,3213.01 
2015/12/18,3260.72 
2015/12/17,3306.47 
2015/12/16,3246.78 
2015/12/15,3241.51 
2015/12/14,3139.24 
2015/12/11,3203.21 
2015/12/10,3269.97 
2015/12/9,3277.21 
2015/12/8,3297.46 
2015/12/7,3360.21 
2015/12/4,3330.75 
2015/12/3,3343.34 
2015/12/2,3468.66 
2015/12/1,3479.64 
2015/11/30,3506.45 
2015/11/27,3488.99 
2015/11/26,3498.62 
2015/11/25,3462.06 
2015/11/24,3409.60 
2015/11/23,3445.26 
2015/11/20,3452.45 
2015/11/19,3448.93 
2015/11/18,3431.92 
2015/11/17,3451.94 
2015/11/16,3362.23 
2015/11/13,3360.65 
2015/11/12,3387.70 
2015/11/11,3448.42 
2015/11/10,3425.40 
2015/11/9,3418.36 
2015/11/6,3468.21 
2015/11/5,3447.49 
2015/11/4,3439.16 
2015/11/3,3442.68 
2015/11/2,3434.50 
2015/10/30,3418.23 
2015/10/29,3413.39 
2015/10/28,3421.09 
2015/10/27,3381.01 
2015/10/26,3414.60 
2015/10/23,3425.81 
2015/10/22,3353.11 
2015/10/21,3272.23 
2015/10/20,3255.72 
2015/10/19,3272.04 
2015/10/16,3264.93 
2015/10/15,3238.81 
2015/10/14,3191.57 
2015/10/13,3221.28 
2015/10/12,3247.33 
2015/10/9,3250.31 
2015/10/8,3224.96 
2015/10/7,3226.40 
2015/10/6,3220.09 
2015/10/5,3190.39 
2015/10/2,3088.18 
2015/10/1,3069.05 
2015/9/30,3100.67 
2015/9/29,3029.86 
2015/9/28,3039.44 
2015/9/25,3113.16 
2015/9/24,3019.34 
2015/9/23,3079.99 
2015/9/22,3076.05 
2015/9/21,3184.72 
2015/9/18,3157.30 
2015/9/17,3255.79 
2015/9/16,3251.79 
2015/9/15,3207.60 
2015/9/14,3175.62 
2015/9/11,3187.94 
2015/9/10,3221.14 
2015/9/9,3269.98 
2015/9/8,3233.84 
2015/9/7,3197.97 
2015/9/4,3180.25 
2015/9/3,3270.09 
2015/9/2,3198.86 
2015/9/1,3188.73 
2015/8/31,3269.63 
2015/8/28,3286.59 
2015/8/27,3280.78 
2015/8/26,3170.73 
2015/8/25,3218.01 
2015/8/24,3073.39 
2015/8/21,3247.26 
2015/8/20,3353.48 
2015/8/19,3429.84 
2015/8/18,3495.38 
2015/8/17,3497.90 
2015/8/14,3491.03 
2015/8/13,3516.15 
2015/8/12,3484.41 
2015/8/11,3605.28 
2015/8/10,3674.94 
2015/8/7,3637.80 
2015/8/6,3668.47 
2015/8/5,3676.75 
2015/8/4,3619.31 
2015/8/3,3635.40 
2015/7/31,3600.69 
2015/7/30,3583.79 
2015/7/29,3575.53 
2015/7/28,3554.11 
2015/7/27,3513.10 
2015/7/24,3600.00 
2015/7/23,3634.64 
2015/7/22,3635.58 
2015/7/21,3647.96 
2015/7/20,3686.58 
2015/7/17,3670.34 
2015/7/16,3676.41 
2015/7/15,3623.87 
2015/7/14,3607.19 
2015/7/13,3590.43 
2015/7/10,3528.81 
2015/7/9,3420.03 
2015/7/8,3327.50 
2015/7/7,3294.19 
2015/7/6,3365.20 
2015/7/3,3441.76 
2015/7/2,3463.25 
2015/7/1,3496.28 
2015/6/30,3424.30 
2015/6/29,3468.90 
2015/6/26,3621.37 
2015/6/25,3610.91 
2015/6/24,3610.95 
2015/6/23,3625.97 
2015/6/22,3596.07 
2015/6/19,3455.80 
2015/6/18,3450.45 
2015/6/17,3428.76 
2015/6/16,3454.09 
2015/6/15,3438.07 
2015/6/12,3502.77 
2015/6/11,3551.91 
2015/6/10,3526.48 
2015/6/9,3456.79 
2015/6/8,3468.31 
2015/6/5,3510.01 
2015/6/4,3556.38 
2015/6/3,3583.82 
2015/6/2,3561.89 
2015/6/1,3575.04 
2015/5/29,3570.78 
2015/5/28,3650.71 
2015/5/27,3682.87 
2015/5/26,3619.30 
2015/5/25,3655.41 
2015/5/22,3679.14 
2015/5/21,3688.72 
2015/5/20,3683.48 
2015/5/19,3670.52 
2015/5/18,3589.22 
2015/5/15,3573.07 
2015/5/14,3602.22 
2015/5/13,3553.42 
2015/5/12,3573.10 
2015/5/11,3624.41 
2015/5/8,3649.48 
2015/5/7,3556.21 
2015/5/6,3558.03 
2015/5/5,3546.56 
2015/5/4,3632.94 
2015/5/1,3615.59 
2015/4/30,3615.59 
2015/4/29,3617.11 
2015/4/28,3715.42 
2015/4/27,3771.45 
2015/4/24,3713.96 
2015/4/23,3697.88 
2015/4/22,3724.49 
2015/4/21,3719.38 
2015/4/20,3718.04 
2015/4/17,3674.05 
2015/4/16,3751.72 
2015/4/15,3803.55 
2015/4/14,3784.53 
2015/4/13,3828.78 
2015/4/10,3816.76 
2015/4/9,3781.79 
2015/4/8,3742.63 
2015/4/7,3768.72 
2015/4/2,3715.27 
2015/4/1,3714.89 
2015/3/31,3697.38 
2015/3/30,3727.80 
2015/3/27,3679.03 
2015/3/26,3669.79 
2015/3/25,3684.04 
2015/3/24,3731.35 
2015/3/23,3699.04 
2015/3/20,3726.07 
2015/3/19,3670.73 
2015/3/18,3668.52 
2015/3/17,3672.16 
2015/3/16,3706.75 
2015/3/13,3656.21 
2015/3/12,3641.32 
2015/3/11,3649.54 
2015/3/10,3567.25 
2015/3/9,3610.28 
2015/3/6,3617.62 
2015/3/5,3618.21 
2015/3/4,3583.44 
2015/3/3,3549.11 
2015/3/2,3591.09 
2015/2/27,3599.00 
2015/2/26,3574.94 
2015/2/25,3541.78 
2015/2/24,3547.10 
2015/2/23,3519.58 
2015/2/20,3490.53 
2015/2/19,3488.08 
2015/2/18,3465.80 
2015/2/17,3438.44 
2015/2/16,3433.30 
2015/2/13,3447.59 
2015/2/12,3417.61 
2015/2/11,3374.14 
2015/2/10,3383.13 
2015/2/9,3347.75 
2015/2/6,3398.16 
2015/2/5,3408.96 
2015/2/4,3415.53 
2015/2/3,3414.18 
2015/2/2,3370.11 
2015/1/30,3351.44 
2015/1/29,3371.83 
2015/1/28,3358.96 
2015/1/27,3372.58 
2015/1/26,3414.28 
2015/1/23,3382.55 
2015/1/22,3322.65 
2015/1/21,3269.73 
2015/1/20,3244.92 
2015/1/19,3220.90 
2015/1/16,3202.24 
2015/1/15,3157.36 
2015/1/14,3089.67 
2015/1/13,3133.86 
2015/1/12,3084.18 
2015/1/9,3042.90 
2015/1/8,3135.08 
2015/1/7,3026.79 
2015/1/6,3007.91 
2015/1/5,3023.14 
2015/1/2,3139.44 
2014/12/31,3146.43 
2014/12/30,3135.95 
2014/12/29,3185.17 
2014/12/24,3184.66 
2014/12/23,3192.47 
2014/12/22,3154.91 
2014/12/19,3141.28 
2014/12/18,3153.77 
2014/12/17,3051.99 
2014/12/16,3049.99 
2014/12/15,2982.90 
2014/12/12,3067.32 
2014/12/11,3159.11 
2014/12/10,3150.95 
2014/12/9,3162.77 
2014/12/8,3247.99 
2014/12/5,3277.38 
2014/12/4,3191.25 
2014/12/3,3247.72 
2014/12/2,3238.35 
2014/12/1,3232.91 
2014/11/28,3250.93 
2014/11/27,3244.92 
2014/11/26,3226.08 
2014/11/25,3226.15 
2014/11/24,3211.70 
2014/11/21,3194.22 
2014/11/20,3102.21 
2014/11/19,3123.12 
2014/11/18,3120.42 
2014/11/17,3084.79 
2014/11/14,3059.99 
2014/11/13,3056.80 
2014/11/12,3047.30 
2014/11/11,3104.59 
2014/11/10,3094.60 
2014/11/7,3064.92 
2014/11/6,3102.07 
2014/11/5,3091.54 
2014/11/4,3034.24 
2014/11/3,3082.32 
2014/10/31,3113.32 
2014/10/30,3035.90 
2014/10/29,3022.42 
2014/10/28,3036.15 
2014/10/27,2998.84 
2014/10/24,3030.37 
2014/10/23,3044.30 
2014/10/22,3008.53 
2014/10/21,2991.46 
2014/10/20,2927.30 
2014/10/17,2962.24 
2014/10/16,2874.65 
2014/10/15,2892.55 
2014/10/14,3000.99 
2014/10/13,2998.32 
2014/10/10,2991.50 
2014/10/9,3042.45 
2014/10/8,3053.31 
2014/10/7,3082.10 
2014/10/6,3138.67 
2014/10/3,3133.37 
2014/10/2,3106.42 
2014/10/1,3195.08 
2014/9/30,3225.93 
2014/9/29,3186.95 
2014/9/26,3219.58 
2014/9/25,3202.31 
2014/9/24,3244.01 
2014/9/23,3205.93 
2014/9/22,3257.48 
2014/9/19,3273.25 
2014/9/18,3271.37 
2014/9/17,3237.44 
2014/9/16,3221.73 
2014/9/15,3231.70 
2014/9/12,3235.07 
2014/9/11,3237.76 
2014/9/10,3244.16 
2014/9/9,3245.43 
2014/9/8,3267.54 
2014/9/5,3275.25 
2014/9/4,3277.25 
2014/9/3,3218.84 
2014/9/2,3180.29 
2014/9/1,3175.05 
2014/8/29,3172.63 
2014/8/28,3164.44 
2014/8/27,3194.45 
2014/8/26,3197.54 
2014/8/25,3165.47 
2014/8/22,3098.50 
2014/8/21,3124.56 
2014/8/20,3083.50 
2014/8/19,3091.11 
2014/8/18,3073.45 
2014/8/15,3033.52 
2014/8/14,3058.16 
2014/8/13,3056.17 
2014/8/12,3023.77 
2014/8/11,3047.56 
2014/8/8,3006.83 
2014/8/7,3012.88 
2014/8/6,3050.37 
2014/8/5,3072.20 
2014/8/4,3070.46 
2014/8/1,3072.57 
2014/7/31,3115.51 
2014/7/30,3169.23 
2014/7/29,3190.54 
2014/7/28,3171.55 
2014/7/25,3174.99 
2014/7/24,3220.07 
2014/7/23,3193.13 
2014/7/22,3189.22 
2014/7/21,3137.06 
2014/7/18,3164.21 
2014/7/17,3157.82 
2014/7/16,3202.94 
2014/7/15,3153.75 
2014/7/14,3185.86 
2014/7/11,3157.05 
2014/7/10,3150.59 
2014/7/9,3203.10 
2014/7/8,3184.38 
2014/7/7,3230.92 
2014/7/4,3270.47 
2014/7/3,3289.75 
2014/7/2,3252.25 
2014/7/1,3258.71 
2014/6/30,3228.24 
2014/6/27,3227.85 
2014/6/26,3233.19 
2014/6/25,3252.31 
2014/6/24,3284.81 
2014/6/23,3282.58 
2014/6/20,3302.36 
2014/6/19,3314.80 
2014/6/18,3279.20 
2014/6/17,3275.33 
2014/6/16,3261.42 
2014/6/13,3282.84 
2014/6/12,3284.28 
2014/6/11,3289.09 
2014/6/10,3313.80 
2014/6/9,3305.26 
2014/6/6,3294.28 
2014/6/5,3267.05 
2014/6/4,3237.93 
2014/6/3,3241.04 
2014/6/2,3247.80 
2014/5/30,3244.60 
2014/5/29,3244.66 
2014/5/28,3246.24 
2014/5/27,3244.28 
2014/5/26,3240.39 
2014/5/23,3203.28 
2014/5/22,3187.63 
2014/5/21,3187.08 
2014/5/20,3163.93 
2014/5/19,3169.90 
2014/5/16,3172.72 
2014/5/15,3163.22 
2014/5/14,3210.42 
2014/5/13,3211.78 
2014/5/12,3206.97 
2014/5/9,3184.09 
2014/5/8,3204.30 
2014/5/7,3159.67 
2014/5/6,3149.79 
2014/5/5,3171.29 
2014/5/2,3177.89 
2014/5/1,3198.66 
2014/4/30,3198.39 
2014/4/29,3208.68 
2014/4/28,3165.84 
2014/4/25,3147.40 
2014/4/24,3189.81 
2014/4/23,3175.97 
2014/4/22,3199.69 
2014/4/17,3155.81 
2014/4/16,3139.26 
2014/4/15,3091.52 
2014/4/14,3131.57 
2014/4/11,3116.54 
2014/4/10,3152.86 
2014/4/9,3182.79 
2014/4/8,3177.66 
2014/4/7,3185.97 
2014/4/4,3230.33 
2014/4/3,3206.76 
2014/4/2,3187.45 
2014/4/1,3186.34 
2014/3/31,3161.60 
2014/3/28,3172.43 
2014/3/27,3133.75 
