Date,Price
2017/10/6,263.28 
2017/10/5,263.09 
2017/10/4,263.09 
2017/10/3,262.77 
2017/10/2,263.13 
2017/9/30,262.83 
2017/9/29,262.83 
2017/9/28,262.39 
2017/9/27,262.95 
2017/9/26,264.18 
2017/9/25,264.28 
2017/9/23,263.10 
2017/9/22,263.10 
2017/9/21,263.07 
2017/9/20,263.37 
2017/9/19,263.03 
2017/9/18,262.83 
2017/9/16,263.31 
2017/9/15,263.31 
2017/9/14,264.04 
2017/9/13,264.16 
2017/9/12,264.31 
2017/9/11,266.06 
2017/9/9,266.48 
2017/9/8,266.48 
2017/9/7,266.89 
2017/9/6,265.84 
2017/9/5,266.03 
2017/9/4,265.15 
2017/9/2,264.89 
2017/9/1,264.89 
2017/8/31,265.35 
2017/8/30,265.32 
2017/8/29,265.94 
2017/8/28,265.09 
2017/8/26,264.86 
2017/8/25,264.86 
2017/8/24,264.94 
2017/8/23,264.94 
2017/8/22,264.38 
2017/8/21,264.32 
2017/8/19,263.98 
2017/8/18,263.98 
2017/8/17,263.63 
2017/8/16,263.33 
2017/8/15,263.59 
2017/8/14,264.07 
2017/8/12,264.72 
2017/8/11,264.72 
2017/8/10,263.99 
2017/8/9,263.66 
2017/8/8,262.36 
2017/8/7,262.70 
2017/8/6,262.17 
2017/8/5,262.17 
2017/8/4,262.17 
2017/8/3,262.79 
2017/8/2,262.08 
2017/8/1,261.92 
2017/7/31,260.65 
2017/7/29,260.62 
2017/7/28,260.62 
2017/7/27,260.91 
2017/7/26,260.31 
2017/7/25,260.05 
2017/7/24,261.58 
2017/7/22,261.45 
2017/7/21,261.45 
2017/7/20,260.72 
2017/7/19,260.63 
2017/7/18,260.10 
2017/7/17,259.61 
2017/7/16,259.34 
2017/7/15,259.34 
2017/7/14,259.34 
2017/7/13,259.13 
2017/7/12,259.64 
2017/7/11,258.79 
2017/7/10,259.01 
2017/7/8,258.32 
2017/7/7,258.32 
2017/7/6,258.24 
2017/7/5,260.68 
2017/7/4,260.63 
2017/7/3,260.43 
2017/7/1,260.65 
2017/6/30,260.65 
2017/6/29,261.13 
2017/6/28,263.46 
2017/6/27,263.65 
2017/6/26,266.20 
2017/6/24,265.98 
2017/6/23,265.98 
2017/6/22,266.05 
2017/6/21,265.71 
2017/6/20,265.87 
2017/6/19,265.38 
2017/6/17,265.41 
2017/6/16,265.41 
2017/6/15,265.30 
2017/6/14,266.63 
2017/6/13,265.81 
2017/6/12,265.98 
2017/6/10,265.77 
2017/6/9,265.77 
2017/6/8,265.85 
2017/6/7,265.90 
2017/6/6,266.07 
2017/6/5,265.58 
2017/6/3,265.57 
2017/6/2,265.57 
2017/6/1,264.75 
2017/5/31,264.88 
2017/5/30,265.09 
2017/5/29,264.98 
2017/5/27,264.02 
2017/5/26,264.02 
2017/5/25,263.20 
2017/5/24,262.15 
