"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 24, 2017","3,534.50","3,533.50","3,548.50","3,531.50","0","-0.20"
"Sep 17, 2017","3,541.42","3,523.60","3,553.08","3,520.72","152.05M","0.74"
"Sep 10, 2017","3,515.55","3,456.77","3,532.78","3,456.77","226.50M","1.97"
"Sep 03, 2017","3,447.69","3,436.36","3,467.94","3,396.69","159.39M","0.11"
"Aug 27, 2017","3,443.88","3,432.38","3,454.55","3,363.68","145.45M","0.16"
"Aug 20, 2017","3,438.55","3,436.84","3,467.78","3,411.06","134.91M","-0.22"
"Aug 13, 2017","3,446.03","3,420.90","3,497.29","3,420.50","150.66M","1.17"
"Aug 06, 2017","3,406.34","3,509.59","3,524.94","3,392.87","165.57M","-2.88"
"Jul 30, 2017","3,507.41","3,464.85","3,515.54","3,438.15","182.19M","1.14"
"Jul 23, 2017","3,467.73","3,456.94","3,506.85","3,431.19","193.89M","0.46"
"Jul 16, 2017","3,451.71","3,528.12","3,531.53","3,436.90","219.10M","-2.11"
"Jul 09, 2017","3,525.94","3,470.49","3,539.48","3,460.64","180.79M","1.79"
"Jul 02, 2017","3,463.84","3,449.75","3,494.63","3,435.29","196.00M","0.64"
"Jun 25, 2017","3,441.88","3,554.28","3,581.43","3,439.79","262.71M","-2.87"
"Jun 18, 2017","3,543.68","3,565.05","3,598.06","3,521.91","177.55M","-0.01"
"Jun 11, 2017","3,543.88","3,581.22","3,589.23","3,500.41","262.28M","-1.18"
"Jun 04, 2017","3,586.07","3,591.69","3,597.85","3,540.23","210.20M","-0.16"
"May 28, 2017","3,591.82","3,577.34","3,615.06","3,547.10","210.77M","0.36"
"May 21, 2017","3,579.02","3,589.17","3,605.91","3,546.88","185.55M","-0.22"
"May 14, 2017","3,587.01","3,640.38","3,648.69","3,529.35","239.77M","-1.39"
"May 07, 2017","3,637.52","3,660.39","3,666.80","3,607.87","231.06M","-0.58"
"Apr 30, 2017","3,658.79","3,559.59","3,658.79","3,559.34","187.55M","2.79"
"Apr 23, 2017","3,559.59","3,480.62","3,593.13","3,480.62","307.66M","3.47"
"Apr 16, 2017","3,440.27","3,454.74","3,460.94","3,407.33","198.60M","-0.23"
"Apr 09, 2017","3,448.26","3,494.24","3,497.72","3,442.19","148.13M","-1.36"
"Apr 02, 2017","3,495.80","3,504.26","3,508.11","3,446.15","195.47M","-0.15"
"Mar 26, 2017","3,500.93","3,432.63","3,500.93","3,411.48","193.02M","1.65"
"Mar 19, 2017","3,444.15","3,441.56","3,471.50","3,397.67","230.63M","-0.12"
"Mar 12, 2017","3,448.41","3,417.02","3,457.17","3,390.04","257.60M","0.94"
"Mar 05, 2017","3,416.27","3,397.72","3,441.50","3,374.48","236.19M","0.38"
"Feb 26, 2017","3,403.39","3,311.82","3,407.61","3,303.12","249.17M","3.01"
"Feb 19, 2017","3,304.09","3,321.66","3,355.40","3,280.36","192.88M","-0.14"
"Feb 12, 2017","3,308.81","3,275.22","3,334.12","3,275.22","190.86M","1.16"
"Feb 05, 2017","3,270.83","3,274.87","3,289.93","3,214.31","209.80M","-0.07"
"Jan 29, 2017","3,273.11","3,294.99","3,296.27","3,230.68","221.08M","-0.91"
"Jan 22, 2017","3,303.33","3,284.87","3,342.47","3,262.61","255.69M","0.12"
"Jan 15, 2017","3,299.44","3,313.56","3,313.56","3,266.10","184.63M","-0.75"
"Jan 08, 2017","3,324.34","3,324.45","3,326.97","3,281.37","190.76M","0.10"
"Jan 01, 2017","3,321.17","3,278.84","3,334.44","3,272.76","165.72M","0.93"
"Dec 25, 2016","3,290.52","3,275.30","3,290.52","3,259.62","84.01M","0.51"
"Dec 18, 2016","3,273.97","3,259.23","3,279.59","3,249.59","164.92M","0.45"
"Dec 11, 2016","3,259.24","3,196.40","3,276.56","3,189.67","325.57M","1.93"
"Dec 04, 2016","3,197.54","3,013.89","3,205.37","2,996.30","341.31M","6.05"
"Nov 27, 2016","3,015.13","3,041.31","3,064.28","2,984.48","235.82M","-1.09"
"Nov 20, 2016","3,048.38","3,027.07","3,061.23","3,003.82","179.53M","0.91"
"Nov 13, 2016","3,020.83","3,038.62","3,070.79","3,009.78","267.75M","-0.30"
"Nov 06, 2016","3,030.02","2,962.22","3,105.16","2,937.98","333.56M","2.56"
"Oct 30, 2016","2,954.53","3,074.57","3,075.45","2,939.62","197.75M","-4.05"
"Oct 23, 2016","3,079.24","3,085.36","3,109.61","3,050.24","214.60M","0.05"
"Oct 16, 2016","3,077.65","3,021.19","3,086.46","3,002.65","192.05M","1.73"
"Oct 09, 2016","3,025.19","3,003.26","3,051.12","2,954.45","205.42M","0.82"
"Oct 02, 2016","3,000.57","2,999.19","3,043.67","2,990.26","210.02M","-0.06"
"Sep 25, 2016","3,002.24","3,020.00","3,032.59","2,922.82","225.33M","-0.99"
"Sep 18, 2016","3,032.31","2,946.86","3,063.12","2,946.86","186.51M","3.31"
"Sep 11, 2016","2,935.25","3,041.73","3,041.73","2,929.44","360.49M","-3.86"
"Sep 04, 2016","3,053.20","3,084.82","3,101.75","3,043.13","252.65M","-0.86"
"Aug 28, 2016","3,079.74","3,004.57","3,083.09","2,974.73","254.79M","2.30"
"Aug 21, 2016","3,010.36","2,967.45","3,018.09","2,949.60","216.74M","1.42"
"Aug 14, 2016","2,968.20","3,046.14","3,063.40","2,950.48","197.01M","-2.52"
"Aug 07, 2016","3,044.94","2,977.75","3,050.21","2,976.45","189.95M","2.40"
"Jul 31, 2016","2,973.71","3,001.36","3,018.54","2,892.52","347.00M","-0.57"
"Jul 24, 2016","2,990.76","2,971.74","3,016.82","2,951.11","283.74M","0.62"
"Jul 17, 2016","2,972.23","2,959.74","2,982.42","2,909.12","281.56M","0.46"
"Jul 10, 2016","2,958.65","2,853.12","2,977.61","2,843.11","363.38M","4.25"
"Jul 03, 2016","2,838.01","2,884.97","2,892.52","2,742.66","363.51M","-1.56"
"Jun 26, 2016","2,883.06","2,768.12","2,895.20","2,678.27","576.78M","3.85"
"Jun 19, 2016","2,776.09","2,858.94","3,057.71","2,736.43","479.38M","-2.56"
"Jun 12, 2016","2,849.17","2,904.68","2,904.68","2,784.90","385.90M","-2.13"
"Jun 05, 2016","2,911.11","2,991.69","3,052.45","2,908.61","246.73M","-2.88"
"May 29, 2016","2,997.55","3,077.55","3,097.96","2,980.54","231.14M","-2.63"
"May 22, 2016","3,078.48","2,962.52","3,079.85","2,918.23","275.54M","3.93"
"May 15, 2016","2,962.16","2,947.97","2,991.32","2,916.77","270.80M","0.19"
"May 08, 2016","2,956.63","2,947.01","3,003.40","2,904.09","287.14M","0.67"
"May 01, 2016","2,936.84","3,037.62","3,045.63","2,893.63","270.25M","-3.02"
"Apr 24, 2016","3,028.21","3,141.57","3,148.44","3,028.21","283.37M","-3.59"
"Apr 17, 2016","3,141.12","3,050.00","3,156.86","3,006.03","273.55M","2.84"
"Apr 10, 2016","3,054.34","2,910.75","3,061.99","2,883.46","338.53M","4.89"
"Apr 03, 2016","2,911.98","2,948.62","2,993.71","2,860.32","290.79M","-1.40"
"Mar 27, 2016","2,953.28","2,993.90","3,062.71","2,916.96","230.58M","-1.12"
"Mar 20, 2016","2,986.73","3,049.12","3,088.08","2,985.06","177.62M","-2.39"
"Mar 13, 2016","3,059.77","3,082.09","3,116.32","2,990.37","354.49M","-0.46"
"Mar 06, 2016","3,073.80","3,029.89","3,128.71","2,968.51","372.67M","1.20"
"Feb 28, 2016","3,037.35","2,911.24","3,056.22","2,879.60","290.33M","3.69"
