date,price
2017/6/21,1247.02 
2017/6/20,1246.47 
2017/6/19,1246.70 
2017/6/16,1256.50 
2017/6/15,1254.60 
2017/6/14,1275.90 
2017/6/13,1268.60 
2017/6/12,1268.90 
2017/6/9,1271.40 
2017/6/8,1279.50 
2017/6/7,1293.20 
2017/6/6,1297.50 
2017/6/5,1282.70 
2017/6/2,1280.20 
2017/6/1,1270.10 
2017/5/31,1275.40 
2017/5/30,1265.70 
2017/5/29,1266.69 
2017/5/28,1268.22 
2017/5/26,1271.40 
2017/5/25,1259.80 
2017/5/24,1256.50 
2017/5/23,1258.90 
2017/5/22,1264.80 
2017/5/19,1253.60 
2017/5/18,1252.80 
2017/5/17,1258.70 
2017/5/16,1236.40 
2017/5/15,1230.00 
2017/5/12,1227.70 
2017/5/11,1224.20 
2017/5/10,1218.90 
2017/5/9,1216.10 
2017/5/8,1227.10 
2017/5/5,1226.90 
2017/5/4,1228.60 
2017/5/3,1248.50 
2017/5/2,1257.00 
2017/5/1,1255.50 
2017/4/28,1268.30 
2017/4/27,1265.90 
2017/4/26,1264.20 
2017/4/25,1267.20 
2017/4/24,1277.50 
2017/4/21,1289.10 
2017/4/20,1283.80 
2017/4/19,1283.40 
2017/4/18,1294.10 
2017/4/17,1291.90 
2017/4/14,1289.65 
2017/4/13,1288.50 
2017/4/12,1278.10 
2017/4/11,1274.20 
2017/4/10,1253.90 
2017/4/7,1257.30 
2017/4/6,1253.30 
2017/4/5,1248.50 
2017/4/4,1258.40 
2017/4/3,1254.00 
2017/3/31,1251.20 
2017/3/30,1248.00 
2017/3/29,1256.80 
2017/3/28,1258.80 
2017/3/27,1258.80 
2017/3/24,1251.70 
2017/3/23,1250.10 
2017/3/22,1252.80 
2017/3/21,1249.60 
2017/3/20,1237.20 
2017/3/17,1233.20 
2017/3/16,1230.20 
2017/3/15,1203.80 
2017/3/14,1201.90 
2017/3/13,1202.40 
2017/3/10,1200.70 
2017/3/9,1202.40 
2017/3/8,1208.50 
2017/3/7,1215.10 
2017/3/6,1224.50 
2017/3/3,1225.50 
2017/3/2,1231.90 
2017/3/1,1248.90 
2017/2/28,1252.60 
2017/2/27,1257.40 
2017/2/24,1256.90 
2017/2/23,1250.20 
2017/2/22,1232.00 
2017/2/21,1237.50 
2017/2/20,1238.20 
2017/2/19,1237.30 
2017/2/17,1237.60 
2017/2/16,1240.00 
2017/2/15,1231.70 
2017/2/14,1223.90 
2017/2/13,1224.40 
2017/2/10,1234.40 
2017/2/9,1235.10 
2017/2/8,1237.60 
2017/2/7,1234.20 
2017/2/6,1230.00 
2017/2/3,1218.50 
2017/2/2,1216.70 
2017/2/1,1205.60 
2017/1/31,1208.60 
2017/1/30,1193.20 
2017/1/27,1188.10 
2017/1/26,1189.50 
2017/1/25,1197.30 
2017/1/24,1210.30 
2017/1/23,1215.00 
2017/1/20,1204.30 
2017/1/19,1200.90 
2017/1/18,1211.30 
2017/1/17,1212.00 
2017/1/16,1202.85 
2017/1/15,1203.35 
2017/1/13,1195.30 
2017/1/12,1198.90 
2017/1/11,1195.60 
2017/1/10,1184.20 
2017/1/9,1183.50 
2017/1/6,1171.90 
2017/1/5,1179.70 
2017/1/4,1163.80 
2017/1/3,1160.40 
2017/1/2,1151.05 
2016/12/30,1150.00 
2016/12/29,1156.40 
2016/12/28,1139.40 
2016/12/27,1137.30 
2016/12/26,1134.55 
2016/12/25,1135.00 
2016/12/23,1131.90 
2016/12/22,1128.80 
2016/12/21,1131.10 
2016/12/20,1131.50 
2016/12/19,1140.50 
2016/12/16,1135.30 
2016/12/15,1127.80 
2016/12/14,1161.30 
2016/12/13,1156.70 
2016/12/12,1163.50 
2016/12/9,1159.40 
2016/12/8,1169.80 
2016/12/7,1175.00 
2016/12/6,1167.60 
2016/12/5,1174.00 
2016/12/2,1175.10 
2016/12/1,1166.90 
2016/11/30,1170.80 
2016/11/29,1187.90 
2016/11/28,1190.60 
2016/11/25,1178.20 
2016/11/24,1185.55 
2016/11/23,1189.10 
2016/11/22,1211.00 
2016/11/21,1215.85 
2016/11/20,1205.95 
2016/11/18,1208.50 
2016/11/17,1216.50 
2016/11/16,1223.40 
2016/11/15,1224.00 
2016/11/14,1221.20 
2016/11/11,1223.50 
2016/11/10,1265.50 
2016/11/9,1272.60 
2016/11/8,1273.40 
2016/11/7,1278.30 
2016/11/4,1303.30 
2016/11/3,1302.10 
2016/11/2,1306.80 
2016/11/1,1286.40 
2016/10/31,1271.50 
2016/10/28,1275.50 
2016/10/27,1267.90 
2016/10/26,1264.80 
2016/10/25,1271.90 
2016/10/24,1262.00 
2016/10/21,1267.05 
2016/10/20,1265.60 
2016/10/19,1267.90 
2016/10/18,1260.80 
2016/10/17,1254.40 
2016/10/14,1253.10 
2016/10/13,1255.00 
2016/10/12,1251.10 
2016/10/11,1253.00 
2016/10/10,1257.50 
2016/10/7,1248.90 
2016/10/6,1249.80 
2016/10/5,1265.20 
2016/10/4,1266.30 
2016/10/3,1309.00 
2016/9/30,1313.30 
2016/9/29,1321.70 
2016/9/28,1326.95 
2016/9/27,1325.90 
2016/9/26,1339.70 
