Date,Price
2017/10/6,2282.2429 
2017/10/5,2323.3379 
2017/10/4,2294.2791 
2017/10/3,2294.9099 
2017/10/2,2295.6021 
2017/9/29,2326.4561 
2017/9/28,2331.5869 
2017/9/27,2343.5471 
2017/9/26,2339.4441 
2017/9/25,2354.9719 
2017/9/22,2318.5791 
2017/9/21,2314.0640 
2017/9/20,2322.2830 
2017/9/19,2291.9680 
2017/9/18,2300.2419 
2017/9/15,2305.6340 
2017/9/14,2295.8469 
2017/9/13,2286.2710 
2017/9/12,2265.0491 
2017/9/11,2263.1221 
2017/9/8,2258.3279 
2017/9/7,2289.0750 
2017/9/6,2289.5649 
2017/9/5,2275.1421 
2017/9/1,2253.9280 
2017/8/31,2251.6650 
2017/8/30,2192.3899 
2017/8/29,2201.7949 
2017/8/28,2198.7290 
2017/8/25,2210.7681 
2017/8/24,2210.2881 
2017/8/23,2216.0691 
2017/8/22,2201.1951 
2017/8/21,2195.6230 
2017/8/18,2219.8040 
2017/8/17,2186.0239 
2017/8/16,2182.3889 
2017/8/15,2196.1121 
2017/8/14,2204.0259 
2017/8/11,2232.8560 
2017/8/10,2227.7930 
2017/8/9,2258.0029 
2017/8/8,2247.9280 
2017/8/7,2248.9351 
2017/8/4,2248.7461 
2017/8/3,2240.8721 
2017/8/2,2256.0049 
2017/8/1,2239.5339 
2017/7/31,2269.2939 
2017/7/28,2260.6450 
2017/7/27,2244.8159 
2017/7/26,2229.4580 
2017/7/25,2203.2129 
2017/7/24,2170.2090 
2017/7/21,2169.8181 
2017/7/20,2203.1470 
2017/7/19,2209.0190 
2017/7/18,2183.6589 
2017/7/17,2173.8010 
2017/7/14,2182.7329 
2017/7/13,2163.3291 
2017/7/12,2161.4099 
2017/7/11,2160.2891 
2017/7/10,2139.5801 
2017/7/7,2130.2070 
2017/7/6,2163.9709 
2017/7/5,2155.7949 
2017/7/3,2201.1531 
2017/6/30,2169.8130 
2017/6/29,2128.7161 
2017/6/28,2112.8069 
2017/6/27,2095.4819 
2017/6/26,2071.2590 
2017/6/23,2061.1680 
2017/6/22,2053.6580 
2017/6/21,2054.6460 
2017/6/20,2080.2310 
2017/6/19,2105.0991 
2017/6/16,2121.1531 
2017/6/15,2107.5930 
2017/6/14,2108.7649 
2017/6/13,2154.2300 
2017/6/12,2147.3789 
2017/6/9,2158.1970 
2017/6/8,2149.4270 
2017/6/7,2146.5879 
2017/6/6,2193.3181 
2017/6/5,2176.7351 
2017/6/2,2191.8721 
2017/6/1,2209.4880 
2017/5/31,2212.3279 
2017/5/30,2241.6050 
2017/5/26,2256.8250 
2017/5/25,2242.7380 
2017/5/24,2294.2900 
2017/5/23,2300.7859 
2017/5/22,2304.4121 
2017/5/19,2288.8430 
2017/5/18,2248.1941 
2017/5/17,2249.5569 
2017/5/16,2234.3911 
2017/5/15,2239.3931 
2017/5/12,2220.8689 
2017/5/11,2213.7629 
2017/5/10,2198.9070 
2017/5/9,2161.2229 
2017/5/8,2175.7581 
2017/5/5,2178.1250 
2017/5/4,2159.3911 
2017/5/3,2223.8140 
2017/5/2,2219.8821 
2017/5/1,2240.4021 
2017/4/28,2246.8459 
2017/4/27,2232.7759 
2017/4/26,2249.8401 
2017/4/25,2251.3870 
2017/4/24,2237.6709 
2017/4/21,2248.0459 
2017/4/20,2275.3730 
2017/4/19,2281.9509 
2017/4/18,2327.1909 
2017/4/17,2343.3860 
2017/4/13,2356.5049 
2017/4/12,2351.2900 
2017/4/11,2358.3831 
2017/4/10,2351.4690 
2017/4/7,2333.3521 
2017/4/6,2322.7781 
2017/4/5,2310.1040 
2017/4/4,2302.4121 
2017/4/3,2279.8091 
2017/3/31,2295.1870 
2017/3/30,2288.8450 
2017/3/29,2274.9299 
2017/3/28,2246.6460 
2017/3/27,2226.9280 
2017/3/24,2235.1689 
2017/3/23,2231.0471 
2017/3/22,2235.6211 
2017/3/21,2242.5820 
2017/3/20,2258.7910 
2017/3/17,2264.3210 
2017/3/16,2259.1931 
2017/3/15,2256.9829 
2017/3/14,2229.2419 
2017/3/13,2246.6250 
2017/3/10,2248.1350 
2017/3/9,2265.3440 
2017/3/8,2297.6450 
2017/3/7,2358.0381 
2017/3/6,2368.4780 
2017/3/3,2367.0710 
2017/3/2,2352.5229 
2017/3/1,2394.7461 
2017/2/28,2388.6951 
2017/2/27,2381.8010 
2017/2/24,2386.2461 
2017/2/23,2397.5391 
2017/2/22,2384.6699 
2017/2/21,2402.0581 
2017/2/17,2393.0869 
2017/2/16,2397.1030 
2017/2/15,2407.5601 
2017/2/14,2405.2981 
