"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 06, 2017","4,949.09","4,949.09","4,949.09","4,949.09","0","-0.08"
"Oct 05, 2017","4,952.85","4,952.85","4,952.85","4,952.85","0","0.58"
"Oct 04, 2017","4,924.19","4,924.19","4,924.19","4,924.19","0","0.13"
"Oct 03, 2017","4,917.73","4,917.73","4,917.73","4,917.73","0","0.22"
"Oct 02, 2017","4,906.92","4,906.92","4,906.92","4,906.92","0","0.39"
"Sep 29, 2017","4,887.97","4,887.97","4,887.97","4,887.97","0","0.37"
"Sep 28, 2017","4,869.81","4,869.81","4,869.81","4,869.81","0","0.14"
"Sep 27, 2017","4,862.93","4,862.93","4,862.93","4,862.93","0","0.41"
"Sep 26, 2017","4,843.14","4,843.14","4,843.14","4,843.14","0","0.02"
"Sep 25, 2017","4,842.41","4,842.41","4,842.41","4,842.41","0","-0.22"
"Sep 22, 2017","4,853.20","4,853.20","4,853.20","4,853.20","0","0.07"
"Sep 21, 2017","4,849.95","4,849.95","4,849.95","4,849.95","0","-0.30"
"Sep 20, 2017","4,864.61","4,864.61","4,864.61","4,864.61","0","0.06"
"Sep 19, 2017","4,861.52","4,861.52","4,861.52","4,861.52","0","0.11"
"Sep 18, 2017","4,856.08","4,856.08","4,856.08","4,856.08","0","0.15"
"Sep 15, 2017","4,848.84","4,848.84","4,848.84","4,848.84","0","0.20"
"Sep 14, 2017","4,839.29","4,839.29","4,839.29","4,839.29","0","-0.08"
"Sep 13, 2017","4,843.04","4,843.04","4,843.04","4,843.04","0","0.08"
"Sep 12, 2017","4,839.31","4,839.31","4,839.31","4,839.31","0","0.34"
"Sep 11, 2017","4,822.80","4,822.80","4,822.80","4,822.80","0","1.09"
"Sep 08, 2017","4,771.02","4,771.02","4,771.02","4,771.02","0","-0.14"
"Sep 07, 2017","4,777.93","4,777.93","4,777.93","4,777.93","0","0.01"
"Sep 06, 2017","4,777.69","4,777.69","4,777.69","4,777.69","0","0.31"
"Sep 05, 2017","4,762.75","4,762.75","4,762.75","4,762.75","0","-0.76"
"Sep 01, 2017","4,798.99","4,798.99","4,798.99","4,798.99","0","0.20"
"Aug 31, 2017","4,789.18","4,789.18","4,789.18","4,789.18","0","0.58"
"Aug 30, 2017","4,761.72","4,761.72","4,761.72","4,761.72","0","0.49"
"Aug 29, 2017","4,738.62","4,738.62","4,738.62","4,738.62","0","0.10"
"Aug 28, 2017","4,733.97","4,733.97","4,733.97","4,733.97","0","0.05"
"Aug 25, 2017","4,731.46","4,731.46","4,731.46","4,731.46","0","0.18"
"Aug 24, 2017","4,723.03","4,723.03","4,723.03","4,723.03","0","-0.21"
"Aug 23, 2017","4,732.76","4,732.76","4,732.76","4,732.76","0","-0.34"
"Aug 22, 2017","4,748.73","4,748.73","4,748.73","4,748.73","0","1.00"
"Aug 21, 2017","4,701.82","4,701.82","4,701.82","4,701.82","0","0.12"
"Aug 18, 2017","4,696.22","4,696.22","4,696.22","4,696.22","0","-0.18"
