"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 06, 2017","56,427.55","56,427.55","56,427.55","56,427.55","0","1.04"
"Oct 05, 2017","55,845.47","55,845.47","55,845.47","55,845.47","0","-0.00"
"Oct 04, 2017","55,846.69","55,846.69","55,846.69","55,846.69","0","-0.87"
"Oct 03, 2017","56,334.64","56,334.64","56,334.64","56,334.64","0","-0.49"
"Oct 02, 2017","56,609.49","56,609.49","56,609.49","56,609.49","0","0.84"
"Sep 29, 2017","56,137.99","56,137.99","56,137.99","56,137.99","0","0.20"
"Sep 28, 2017","56,027.08","56,027.08","56,027.08","56,027.08","0","0.11"
"Sep 27, 2017","55,963.33","55,963.33","55,963.33","55,963.33","0","-0.12"
"Sep 26, 2017","56,028.98","56,028.98","56,028.98","56,028.98","0","-0.22"
"Sep 25, 2017","56,153.36","56,153.36","56,153.36","56,153.36","0","0.03"
"Sep 22, 2017","56,136.11","56,136.11","56,136.11","56,136.11","0","0.47"
"Sep 21, 2017","55,872.16","55,872.16","55,872.16","55,872.16","0","-0.92"
"Sep 20, 2017","56,393.21","56,393.21","56,393.21","56,393.21","0","-0.07"
"Sep 19, 2017","56,431.15","56,431.15","56,431.15","56,431.15","0","-0.11"
"Sep 18, 2017","56,496.06","56,496.06","56,496.06","56,496.06","0","0.45"
"Sep 15, 2017","56,243.48","56,243.48","56,243.48","56,243.48","0","-0.76"
"Sep 14, 2017","56,674.61","56,674.61","56,674.61","56,674.61","0","-0.06"
"Sep 13, 2017","56,707.40","56,707.40","56,707.40","56,707.40","0","-0.02"
"Sep 12, 2017","56,718.35","56,718.35","56,718.35","56,718.35","0","0.62"
"Sep 11, 2017","56,370.72","56,370.72","56,370.72","56,370.72","0","0.74"
"Sep 08, 2017","55,954.36","55,954.36","55,954.36","55,954.36","0","-0.28"
"Sep 07, 2017","56,109.82","56,109.82","56,109.82","56,109.82","0","0.18"
"Sep 06, 2017","56,008.40","56,008.40","56,008.40","56,008.40","0","-0.23"
"Sep 05, 2017","56,137.62","56,137.62","56,137.62","56,137.62","0","0.11"
"Sep 04, 2017","56,073.66","56,073.66","56,073.66","56,073.66","0","-0.37"
"Sep 01, 2017","56,279.10","56,279.10","56,279.10","56,279.10","0","0.24"
"Aug 31, 2017","56,146.82","56,146.82","56,146.82","56,146.82","0","0.80"
"Aug 30, 2017","55,700.11","55,700.11","55,700.11","55,700.11","0","0.14"
"Aug 29, 2017","55,619.82","55,619.82","55,619.82","55,619.82","0","-0.70"
"Aug 28, 2017","56,014.04","56,014.04","56,014.04","56,014.04","0","-0.57"
"Aug 25, 2017","56,333.68","56,333.68","56,333.68","56,333.68","0","-0.02"
"Aug 24, 2017","56,345.98","56,345.98","56,345.98","56,345.98","0","0.20"
"Aug 23, 2017","56,233.76","56,233.76","56,233.76","56,233.76","0","-0.17"
"Aug 22, 2017","56,332.08","56,332.08","56,332.08","56,332.08","0","0.52"
"Aug 21, 2017","56,039.07","56,039.07","56,039.07","56,039.07","0","-0.37"
"Aug 18, 2017","56,246.06","56,246.06","56,246.06","56,246.06","0","-0.55"
"Aug 17, 2017","56,558.26","56,558.26","56,558.26","56,558.26","0","-0.09"
"Aug 16, 2017","56,611.46","56,611.46","56,611.46","56,611.46","0","0.78"
"Aug 15, 2017","56,174.93","56,174.93","56,174.93","56,174.93","0","0.48"
"Aug 14, 2017","55,907.37","55,907.37","55,907.37","55,907.37","0","0.65"
"Aug 11, 2017","55,543.78","55,543.78","55,543.78","55,543.78","0","-1.11"
"Aug 10, 2017","56,168.11","56,168.11","56,168.11","56,168.11","0","-0.04"
"Aug 09, 2017","56,192.60","56,192.60","56,192.60","56,192.60","0","0.38"
"Aug 08, 2017","55,979.10","55,979.10","55,979.10","55,979.10","0","-0.52"
"Aug 07, 2017","56,269.57","56,269.57","56,269.57","56,269.57","0","0.93"
"Aug 04, 2017","55,753.27","55,753.27","55,753.27","55,753.27","0","-0.25"
