Date,Price
2017/10/6,4949.09 
2017/10/5,4952.85 
2017/10/4,4924.19 
2017/10/3,4917.73 
2017/10/2,4906.92 
2017/9/29,4887.97 
2017/9/28,4869.81 
2017/9/27,4862.93 
2017/9/26,4843.14 
2017/9/25,4842.41 
2017/9/22,4853.20 
2017/9/21,4849.95 
2017/9/20,4864.61 
2017/9/19,4861.52 
2017/9/18,4856.08 
2017/9/15,4848.84 
2017/9/14,4839.29 
2017/9/13,4843.04 
2017/9/12,4839.31 
2017/9/11,4822.80 
2017/9/8,4771.02 
2017/9/7,4777.93 
2017/9/6,4777.69 
2017/9/5,4762.75 
2017/9/1,4798.99 
2017/8/31,4789.18 
2017/8/30,4761.72 
2017/8/29,4738.62 
2017/8/28,4733.97 
2017/8/25,4731.46 
2017/8/24,4723.03 
2017/8/23,4732.76 
2017/8/22,4748.73 
2017/8/21,4701.82 
2017/8/18,4696.22 
2017/8/17,4704.73 
2017/8/16,4778.28 
2017/8/15,4770.15 
2017/8/14,4771.43 
2017/8/11,4723.73 
2017/8/10,4717.40 
2017/8/9,4784.94 
2017/8/8,4786.12 
2017/8/7,4797.13 
2017/8/4,4789.11 
2017/8/3,4779.99 
2017/8/2,4789.54 
2017/8/1,4786.27 
2017/7/31,4774.56 
2017/7/28,4778.02 
2017/7/27,4784.26 
2017/7/26,4788.41 
2017/7/25,4787.04 
2017/7/24,4773.10 
2017/7/21,4778.07 
2017/7/20,4779.84 
2017/7/19,4780.25 
2017/7/18,4754.27 
2017/7/17,4751.33 
2017/7/14,4751.43 
2017/7/13,4729.25 
2017/7/12,4720.28 
2017/7/11,4685.64 
2017/7/10,4689.25 
2017/7/7,4684.88 
2017/7/6,4655.02 
2017/7/5,4697.34 
2017/7/3,4689.61 
2017/6/30,4678.36 
2017/6/29,4670.96 
2017/6/28,4711.33 
2017/6/27,4669.27 
2017/6/26,4707.27 
2017/6/23,4705.73 
2017/6/22,4698.40 
2017/6/21,4700.50 
2017/6/20,4702.82 
2017/6/19,4734.48 
2017/6/16,4695.23 
2017/6/15,4693.86 
2017/6/14,4703.53 
2017/6/13,4707.88 
2017/6/12,4685.54 
2017/6/9,4689.79 
2017/6/8,4693.67 
2017/6/7,4692.29 
2017/6/6,4683.96 
2017/6/5,4697.00 
2017/6/2,4702.56 
2017/6/1,4685.11 
2017/5/31,4649.34 
2017/5/30,4650.76 
2017/5/26,4655.65 
2017/5/25,4653.59 
2017/5/24,4632.37 
2017/5/23,4620.70 
2017/5/22,4612.12 
2017/5/19,4588.35 
2017/5/18,4557.41 
2017/5/17,4540.58 
2017/5/16,4623.26 
2017/5/15,4625.52 
2017/5/12,4602.96 
2017/5/11,4609.69 
2017/5/10,4618.19 
2017/5/9,4611.21 
2017/5/8,4615.73 
2017/5/5,4615.09 
2017/5/4,4596.24 
2017/5/3,4593.32 
2017/5/2,4598.24 
2017/5/1,4592.78 
2017/4/28,4584.82 
2017/4/27,4593.57 
2017/4/26,4590.56 
2017/4/25,4592.74 
2017/4/24,4564.93 
2017/4/21,4515.90 
2017/4/20,4529.65 
2017/4/19,4495.56 
2017/4/18,4502.66 
2017/4/17,4515.65 
2017/4/13,4477.07 
2017/4/12,4507.76 
2017/4/11,4524.71 
2017/4/10,4530.57 
2017/4/7,4527.20 
2017/4/6,4530.93 
2017/4/5,4520.86 
2017/4/4,4534.25 
2017/4/3,4530.98 
2017/3/31,4538.21 
2017/3/30,4548.46 
2017/3/29,4535.01 
2017/3/28,4529.17 
2017/3/27,4496.53 
2017/3/24,4501.11 
2017/3/23,4504.92 
2017/3/22,4509.65 
2017/3/21,4500.98 
2017/3/20,4557.12 
2017/3/17,4566.17 
2017/3/16,4572.16 
2017/3/15,4579.44 
2017/3/14,4541.26 
2017/3/13,4556.44 
2017/3/10,4553.28 
2017/3/9,4538.36 
2017/3/8,4534.68 
2017/3/7,4543.75 
2017/3/6,4556.72 
