                  十债加权 (TL9)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	  VOL.VOLUME	  VOL.MAVOL1	  VOL.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2015/03/23	  96.991	  97.061	  96.877	  97.028	           1387	           	           	           	           	   1387.000	           	           	      0.000	      0.000	      0.000	
 2015/03/24	  97.062	  97.229	  96.893	  96.932	           1383	           	           	           	           	   1383.000	           	           	     -0.008	     -0.002	     -0.012	
 2015/03/25	  97.030	  97.043	  96.775	  96.863	           1243	           	           	           	           	   1243.000	           	           	     -0.019	     -0.005	     -0.028	
 2015/03/26	  96.848	  96.902	  96.382	  96.382	           1077	           	           	           	           	   1077.000	           	           	     -0.066	     -0.017	     -0.098	
 2015/03/27	  96.082	  96.517	  95.997	  96.497	           1799	     96.740	           	           	           	   1799.000	   1377.800	           	     -0.093	     -0.032	     -0.121	
 2015/03/30	  96.266	  96.411	  96.013	  96.169	           1170	     96.569	           	           	           	   1170.000	   1334.400	           	     -0.139	     -0.054	     -0.171	
 2015/03/31	  95.785	  95.913	  95.580	  95.660	           2336	     96.314	           	           	           	   2336.000	   1525.000	           	     -0.215	     -0.086	     -0.257	
 2015/04/01	  95.689	  96.100	  95.665	  96.100	            673	     96.162	           	           	           	    673.000	   1411.000	           	     -0.236	     -0.116	     -0.240	
 2015/04/02	  96.303	  96.426	  96.204	  96.326	           1012	     96.150	           	           	           	   1012.000	   1398.000	           	     -0.232	     -0.139	     -0.186	
 2015/04/03	  96.321	  96.381	  96.014	  96.019	           1099	     96.055	     96.398	           	           	   1099.000	   1258.000	   1317.900	     -0.251	     -0.162	     -0.179	
 2015/04/07	  96.067	  96.315	  95.864	  95.937	            840	     96.008	     96.288	           	           	    840.000	   1192.000	   1263.200	     -0.269	     -0.183	     -0.172	
 2015/04/08	  96.041	  96.106	  95.141	  95.169	           2944	     95.910	     96.112	           	           	   2944.000	   1313.600	   1419.300	     -0.342	     -0.215	     -0.254	
 2015/04/09	  95.258	  95.407	  95.203	  95.274	           1416	     95.745	     95.953	           	           	   1416.000	   1462.200	   1436.600	     -0.386	     -0.249	     -0.275	
 2015/04/10	  95.353	  95.422	  95.180	  95.199	           1073	     95.520	     95.835	           	           	   1073.000	   1474.400	   1436.200	     -0.423	     -0.284	     -0.278	
 2015/04/13	  95.229	  95.683	  95.229	  95.634	           1905	     95.443	     95.749	           	           	   1905.000	   1635.600	   1446.800	     -0.412	     -0.310	     -0.205	
 2015/04/14	  95.703	  96.005	  95.540	  95.580	           1723	     95.371	     95.690	           	           	   1723.000	   1812.200	   1502.100	     -0.403	     -0.328	     -0.150	
 2015/04/15	  96.015	  96.288	  95.785	  96.155	           2169	     95.568	     95.739	           	           	   2169.000	   1657.200	   1485.400	     -0.346	     -0.332	     -0.028	
