Date,Price
2017/6/23,586.943
2017/6/22,586.385
2017/6/21,586.258
2017/6/20,586.311
2017/6/19,584.482
2017/6/17,586.058
2017/6/16,586.058
2017/6/15,585.678
2017/6/14,586.896
2017/6/13,583.274
2017/6/12,582.969
2017/6/10,583.649
2017/6/9,583.649
2017/6/8,583.807
2017/6/7,584.576
2017/6/6,586.243
2017/6/5,584.503
2017/6/3,585.542
2017/6/2,585.542
2017/6/1,582.473
2017/5/31,583.421
2017/5/30,582.489
2017/5/29,580.659
2017/5/27,580.623
2017/5/26,580.623
2017/5/25,580.243
2017/5/24,579.669
2017/5/23,578.11
2017/5/22,579.595
2017/5/21,580.454
2017/5/20,580.454
2017/5/19,580.454
2017/5/18,580.969
2017/5/17,581.834
2017/5/16,576.205
2017/5/15,575.719
2017/5/13,575.864
2017/5/12,575.864
2017/5/11,572.509
2017/5/10,572.113
2017/5/9,572.438
2017/5/8,573.936
2017/5/6,574.982
2017/5/5,575.073
2017/5/4,574.875
2017/5/3,577.185
2017/5/2,577.781
2017/5/1,576.212
2017/4/28,577.603
2017/4/27,577.603
2017/4/26,576.845
2017/4/25,575.908
2017/4/24,578.669
2017/4/22,580.527
2017/4/21,580.527
2017/4/20,580.149
2017/4/19,582.098
2017/4/18,583.235
2017/4/17,579.501
2017/4/15,580.638
2017/4/14,580.638
2017/4/13,580.531
2017/4/12,577.068
2017/4/11,576.942
2017/4/10,573.749
2017/4/8,573.082
2017/4/7,573.082
2017/4/6,574.509
2017/4/5,573.751
2017/4/4,574.076
2017/4/3,576.118
2017/4/1,573.82
2017/3/31,573.82
2017/3/30,572.535
2017/3/29,574.038
2017/3/28,572.916
2017/3/27,574.601
2017/3/25,573.297
2017/3/24,573.297
2017/3/23,572.284
2017/3/22,573.335
2017/3/21,571.398
2017/3/20,569.461
2017/3/18,567.977
2017/3/17,567.977
2017/3/16,566.692
2017/3/15,567.652
2017/3/14,563.09
2017/3/13,562.42
2017/3/11,561.933
2017/3/10,563.652
2017/3/9,561.825
2017/3/8,564.14
2017/3/7,566.093
2017/3/6,566.961
2017/3/4,567.558
2017/3/3,567.558
2017/3/2,567.631
2017/3/1,568.953
2017/2/28,574.166
2017/2/27,573.678
2017/2/25,576.176
2017/2/24,576.176
2017/2/23,572.448
2017/2/22,570.874
2017/2/21,570.024
2017/2/20,570.169
2017/2/19,570.134
2017/2/18,570.134
2017/2/17,570.134
2017/2/16,568.655
2017/2/15,565.952
2017/2/14,567.577
2017/2/13,569.387
2017/2/11,570.644
2017/2/10,570.644
2017/2/9,571.375
2017/2/8,574.29
2017/2/7,572.324
2017/2/6,571.094
2017/2/4,567.194
2017/2/3,567.194
2017/2/2,568.109
2017/2/1,567.893
2017/1/31,568.966
2017/1/30,567.734
2017/1/28,567.794
2017/1/27,567.794
2017/1/26,566.314
2017/1/25,565.545
2017/1/24,568.093
2017/1/23,571.563
2017/1/21,568.212
2017/1/20,568.212
2017/1/19,568.484
2017/1/18,572.046
2017/1/17,575.054
2017/1/16,572.349
2017/1/14,572.317
2017/1/13,572.317
2017/1/12,573.141
2017/1/11,572.648
2017/1/10,572.155
2017/1/9,572.584
2017/1/7,570.431
2017/1/6,570.431
2017/1/5,572.823
2017/1/4,568.549
2017/1/3,568.424
2017/1/2,569.498
2017/1/1,567.896
2016/12/31,567.896
2016/12/30,569.466
2016/12/29,567.799
2016/12/28,566.197
2016/12/27,563.395
2016/12/26,564.563
2016/12/24,564.53
2016/12/23,564.53
2016/12/22,563.786
2016/12/21,564.123
2016/12/20,562.891
2016/12/19,564.243
2016/12/17,561.349
2016/12/16,561.349
2016/12/15,562.174
2016/12/14,564.911
2016/12/13,567.002
2016/12/12,567.062
2016/12/10,567.768
2016/12/9,567.768
2016/12/8,571.456
2016/12/7,573.547
2016/12/6,571.114
2016/12/5,571.451
2016/12/4,571.234
2016/12/3,571.234
2016/12/2,571.234
2016/12/1,568.551
2016/11/30,571.754
2016/11/29,575.042
2016/11/28,574.087
2016/11/26,571.473
2016/11/25,571.473
2016/11/24,572.113
2016/11/23,572.081
2016/11/22,573.893
2016/11/21,572.939
2016/11/19,571.158
2016/11/18,571.158
2016/11/17,574.095
2016/11/16,576.758
2016/11/15,576.061
2016/11/14,577.092
2016/11/12,577.464
2016/11/11,580.139
2016/11/10,580.064
2016/11/9,582.906
2016/11/8,593.964
2016/11/7,595.755
2016/11/5,598.119
2016/11/4,598.119
2016/11/3,596.516
2016/11/2,597.16
2016/11/1,595.989
2016/10/31,595.2
2016/10/29,594.603
2016/10/28,594.603
2016/10/27,594.623
2016/10/26,597.464
2016/10/25,599.16
2016/10/24,598.848
2016/10/22,600.066
2016/10/21,600.066
2016/10/20,599.609
2016/10/19,599.298
2016/10/18,599.465
2016/10/17,598.484
2016/10/15,597.027
2016/10/14,597.027
2016/10/13,599.914
2016/10/12,597.692
2016/10/11,597.858
2016/10/10,597.166
2016/10/9,599.049
2016/10/7,599.049
2016/10/6,598.593
2016/10/5,600
2016/10/4,601.788
2016/10/3,605.007
2016/10/1,605.937
2016/9/30,605.937
2016/9/29,608.629
2016/9/28,608.032
2016/9/27,608.579
2016/9/26,606.742
2016/9/24,605.286
2016/9/23,605.286
2016/9/22,604.258
2016/9/21,602.229
2016/9/20,601.155
2016/9/19,600.559
2016/9/17,600.344
2016/9/16,600.344
2016/9/15,600.174
2016/9/14,601.008
2016/9/13,598.407
2016/9/12,601.817
2016/9/10,601.316
2016/9/9,601.316
2016/9/8,604.292
2016/9/7,608.558
2016/9/6,608.343
2016/9/5,605.267
2016/9/3,605.242
2016/9/2,605.242
2016/9/1,606.693
2016/8/31,606.764
2016/8/30,606.644
2016/8/29,606.81
2016/8/26,603.067
2016/8/25,606.139
2016/8/24,607.068
2016/8/23,607.424
2016/8/22,608.162
2016/8/20,605.85
2016/8/19,605.85
2016/8/18,608.254
2016/8/17,606.799
2016/8/16,605.917
2016/8/15,607.113
2016/8/13,609.342
2016/8/12,609.342
2016/8/11,606.255
2016/8/10,610.177
2016/8/9,608.177
2016/8/8,605.989
2016/8/6,606.15
2016/8/5,606.15
2016/8/4,610.395
2016/8/3,608.206
2016/8/2,608.462
2016/8/1,610.597
2016/7/30,612.732
2016/7/29,612.732
2016/7/28,609.74
2016/7/27,609.526
2016/7/26,606.961
2016/7/25,606.278
2016/7/23,606.533
2016/7/22,606.533
2016/7/21,606.642
2016/7/20,605.77
2016/7/19,606.965
2016/7/18,605.341
2016/7/16,604.939
2016/7/15,604.939
2016/7/14,608.337
2016/7/13,611.788
2016/7/12,609.224
2016/7/11,613.615
2016/7/10,617.442
2016/7/9,617.442
2016/7/8,617.442
2016/7/7,616.142
2016/7/6,616.773
2016/7/5,616.653
2016/7/4,612.116
2016/7/2,612.75
2016/7/1,612.09
2016/6/30,610.977
2016/6/29,611.797
2016/6/28,612.618
2016/6/27,612.685
2016/6/25,606.071
2016/6/24,606.071
2016/6/23,597.238
2016/6/22,600.035
2016/6/21,599.444
2016/6/20,600.924
2016/6/18,603.721
2016/6/17,603.721
2016/6/16,606.653
2016/6/15,604.933
2016/6/14,603.965
2016/6/13,603.656
2016/6/11,602.407
2016/6/10,602.407
2016/6/9,600.069
2016/6/8,598.819
2016/6/7,598.51
2016/6/6,597.919
2016/6/4,598.928
2016/6/3,598.928
2016/6/2,593.01
2016/6/1,591.101
2016/5/31,591.734
2016/5/30,591.613
2016/5/28,591.587
2016/5/27,591.587
2016/5/26,592.166
2016/5/25,589.597
2016/5/24,590.136
2016/5/23,591.146
2016/5/21,590.757
2016/5/20,590.648
2016/5/19,590.757
2016/5/18,588.659
2016/5/17,595.412
2016/5/16,595.761
2016/5/13,598.364
2016/5/12,595.561
2016/5/11,597.318
2016/5/10,596.071
2016/5/9,596.232
2016/5/7,595.266
2016/5/6,595.266
2016/5/5,596.783
2016/5/4,594.783
2016/5/3,593.912
2016/5/2,590.41
2016/4/30,592.825
2016/4/29,592.825
2016/4/28,591.712
2016/4/27,590.558
2016/4/26,586.774
2016/4/25,588.251
2016/4/23,588.976
2016/4/22,588.976
2016/4/21,589.834
2016/4/20,590.747
2016/4/19,594.384
2016/4/18,595.015
2016/4/16,596.022
2016/4/15,596.022
2016/4/14,594.345
2016/4/13,595.351
2016/4/12,594.761
2016/4/11,594.734
2016/4/8,595.176
2016/4/7,596.686
2016/4/6,593.198
2016/4/5,594.575
2016/4/4,591.742
2016/4/2,591.061
2016/4/1,591.061
2016/3/31,591.355
2016/3/30,588.897
2016/3/29,589.806
2016/3/28,586.599
2016/3/26,585.45
2016/3/25,585.45
2016/3/24,585.37
2016/3/23,586.467
2016/3/22,583.259
2016/3/21,583.98
2016/3/19,586.574
2016/3/18,586.574
2016/3/17,584.81
2016/3/16,582.912
2016/3/15,581.762
2016/3/14,581.549
2016/3/12,580.774
2016/3/11,580.774
2016/3/10,583.221
2016/3/9,586.191
2016/3/8,589.258
2016/3/7,584.359
2016/3/5,585.456
2016/3/4,585.456
2016/3/3,588.182
2016/3/2,587.22
2016/3/1,587.849
2016/2/29,592.969
2016/2/27,591.633
2016/2/26,591.633
2016/2/25,595.202
2016/2/24,592.743
2016/2/23,592.53
2016/2/22,591.38
2016/2/20,592.29
2016/2/19,592.29
2016/2/18,591.555
2016/2/17,588.44
2016/2/16,590.566
2016/2/15,592.292
2016/2/13,592.258
2016/2/12,592.258
2016/2/11,597.526
2016/2/10,594.233
2016/2/9,592.966
2016/2/8,592.667
2016/2/6,586.82
2016/2/5,586.82
2016/2/4,585.923
2016/2/3,585.008
2016/2/2,585.854
2016/2/1,580.623
2016/1/30,582.438
2016/1/29,582.438
2016/1/28,579.516
2016/1/27,578.601
2016/1/26,578.566
2016/1/25,578.355
2016/1/24,575.768
2016/1/23,575.768
2016/1/22,575.767
2016/1/21,577.16
2016/1/20,579.151
2016/1/19,575.682
2016/1/18,576.615
2016/1/15,576.581
2016/1/14,573.747
2016/1/13,573.712
2016/1/12,572.973
2016/1/11,569.416
2016/1/9,571.672
2016/1/8,571.672
2016/1/7,570.511
2016/1/6,569.243
2016/1/5,565.596
2016/1/4,565.826
2016/1/2,562.99
2016/1/1,564.47
2015/12/31,564.366
2015/12/30,563.098
2015/12/29,562.359
2015/12/28,566.112
2015/12/26,564.33
2015/12/25,565.461
2015/12/24,564.226
2015/12/23,563.137
2015/12/22,564.333
2015/12/21,566.408
2015/12/19,566.374
2015/12/18,566.374
2015/12/17,564.248
2015/12/16,561.665
2015/12/15,562.773
2015/12/14,564.76
2015/12/12,569.031
2015/12/11,569.031
2015/12/10,564.006
2015/12/9,565.465
2015/12/8,563.937
2015/12/7,564.518
2015/12/5,562.022
2015/12/4,562.022
2015/12/3,559.282
2015/12/2,566.718
2015/12/1,567.738
2015/11/30,564.628
2015/11/29,564.242
2015/11/28,564.242
2015/11/27,564.242
2015/11/26,564.313
2015/11/25,564.279
2015/11/24,563.717
2015/11/23,563.33
2015/11/22,562.68
2015/11/21,562.68
2015/11/20,562.68
2015/11/19,562.197
2015/11/18,562.197
2015/11/17,562.524
2015/11/16,562.046
2015/11/14,561.657
2015/11/13,561.657
2015/11/12,559.683
2015/11/11,558.13
2015/11/10,559.979
2015/11/9,558.964
2015/11/7,559.381
2015/11/6,559.381
2015/11/5,563.587
2015/11/4,564.272
2015/11/3,564.779
2015/11/2,566.45
2015/10/31,568.121
2015/10/30,568.121
2015/10/29,566.953
2015/10/28,570.953
2015/10/27,574.147
2015/10/26,572.593
2015/10/23,574.171
2015/10/22,574.171
2015/10/21,573.872
2015/10/20,571.781
2015/10/19,573.899
2015/10/18,574.137
2015/10/17,574.137
2015/10/16,574.137
2015/10/15,574.133
2015/10/14,576.073
2015/10/13,572.369
2015/10/12,572.07
2015/10/10,570.069
2015/10/9,570.069
2015/10/8,569.528
2015/10/7,571.915
2015/10/6,573.138
2015/10/5,572.032
2015/10/3,575.406
2015/10/2,575.406
2015/10/1,572.625
2015/9/30,571.699
2015/9/29,572.026
2015/9/28,569.845
2015/9/27,566.142
2015/9/26,566.142
2015/9/25,566.142
2015/9/24,568.468
2015/9/23,567.182
2015/9/22,568.047
2015/9/21,563.627
2015/9/19,567.717
2015/9/18,567.717
2015/9/17,563.324
2015/9/16,558.993
2015/9/15,560.037
2015/9/14,565.112
2015/9/12,564.902
2015/9/11,564.902
2015/9/10,562.838
2015/9/9,564.868
2015/9/8,564.21
2015/9/7,566.328
2015/9/5,567.462
2015/9/4,567.462
2015/9/3,565.308
2015/9/2,564.023
2015/9/1,565.067
2015/8/31,563.603
2015/8/28,564.378
2015/8/27,565.181
2015/8/26,564.882
2015/8/25,566.821
2015/8/24,573.687
2015/8/21,570.97
2015/8/20,569.175
2015/8/19,566.815
2015/8/18,563.38
2015/8/17,565.589
2015/8/14,563.229
2015/8/13,563.749
2015/8/12,566.624
2015/8/11,566.151
2015/8/10,561.272
2015/8/7,564.324
2015/8/6,561.319
2015/8/5,559.612
2015/8/4,562.399
2015/8/3,565.275
2015/7/31,562.599
2015/7/30,559.418
2015/7/29,558.946
2015/7/28,560.235
2015/7/27,561.26
2015/7/24,559.025
2015/7/23,558.663
2015/7/22,556.517
2015/7/21,555.515
2015/7/20,553.897
2015/7/17,555.098
2015/7/16,554.825
2015/7/15,554.969
2015/7/14,552.469
2015/7/13,550.939
2015/7/10,551.611
2015/7/9,557.065
2015/7/8,561.702
2015/7/7,560.437
2015/7/6,558.114
2015/7/3,554.909
2015/7/2,552.432
2015/7/1,551.078
2015/6/30,555.188
2015/6/29,555.243
2015/6/26,548.162
2015/6/25,552.118
2015/6/24,553.143
2015/6/23,551.26
2015/6/22,553.519
2015/6/19,558.157
2015/6/18,553.917
2015/6/17,556
2015/6/16,555.527
2015/6/15,553.468
2015/6/12,552.114
2015/6/11,552.017
2015/6/10,547.402
2015/6/9,550.366
2015/6/8,552.096
2015/6/5,551.094
2015/6/4,555.579
2015/6/3,552.638
2015/6/2,557.541
2015/6/1,561.209
2015/5/29,566.023
2015/5/28,564.164
2015/5/27,563.867
2015/5/26,563.835
2015/5/25,559.133
2015/5/22,559.1
2015/5/21,561.117
2015/5/20,557.913
2015/5/19,557.264
2015/5/18,558.918
2015/5/15,563.144
2015/5/14,558.173
2015/5/13,557.432
2015/5/12,557.401
2015/5/11,556.838
2015/5/8,562.838
2015/5/7,561.059
2015/5/6,558.278
2015/5/5,561.351
2015/5/4,563.36
2015/5/1,564.216
2015/4/30,567.758
2015/4/29,568.17
2015/4/28,571.243
2015/4/27,573.695
2015/4/24,574.019
