date,price
2007/3/1,20.48
2007/3/2,20.29
2007/3/5,19.28
2007/3/6,19.71
2007/3/7,20.33
2007/3/8,20.05
2007/3/9,19.85
2007/3/12,19.44
2007/3/13,19.53
2007/3/14,19.56
2007/3/15,19.57
2007/3/16,19.69
2007/3/20,19.98
2007/3/21,19.64
2007/3/22,19.77
2007/3/23,19.67
2007/3/26,20.06
2007/3/27,20.04
2007/3/28,20.38
2007/3/29,20.79
2007/3/30,20.61
2007/4/2,21.28
2007/4/3,21.19
2007/4/4,20.98
2007/4/5,21.05
2007/4/6,21.09
2007/4/9,22.89
2007/4/10,23.5
2007/4/11,23.86
2007/4/12,23.81
2007/4/13,24.6
2007/4/16,25.3
2007/4/17,24.66
2007/4/18,24.04
2007/4/19,23.08
2007/4/20,24.76
2007/4/23,25.58
2007/4/24,25
2007/4/25,25.44
2007/4/26,26.34
2007/4/27,28.89
2007/4/30,30.01
2007/5/8,29.95
2007/5/9,29.95
2007/5/10,29.33
2007/5/11,28.49
2007/5/14,29.09
2007/5/15,27.85
2007/5/16,28.25
2007/5/17,28.51
2007/5/18,28.19
2007/5/21,28.82
2007/5/22,29.09
2007/5/23,29.19
2007/5/24,28.3
2007/5/25,28.05
2007/5/28,29.33
2007/5/29,29.58
2007/5/30,26.57
2007/5/31,27.56
2007/6/1,27.36
2007/6/4,25.59
2007/6/5,25.58
2007/6/6,25.94
2007/6/8,26.68
2007/6/11,28.35
2007/6/12,29.29
2007/6/13,28.84
2007/6/14,29.3
2007/6/15,29.78
2007/6/18,33.05
2007/6/19,32.67
2007/6/20,32.42
2007/6/21,34.04
2007/6/22,34.59
2007/6/25,34.33
2007/6/26,33.79
2007/6/27,35.29
2007/6/28,33.75
2007/6/29,32.95
2007/7/2,32.04
2007/7/3,33.14
2007/7/4,32.35
2007/7/5,32.26
2007/7/6,33.61
2007/7/9,34.87
2007/7/10,35.86
2007/7/11,35.66
2007/7/12,37.15
2007/7/13,36.96
2007/7/16,38.29
2007/7/17,38.18
2007/7/18,38.05
2007/7/19,36.7
2007/7/20,39.28
2007/7/23,38.93
2007/7/24,38.46
2007/7/25,38.31
2007/7/26,37.71
2007/7/27,37.25
2007/7/30,37.86
2007/7/31,38.95
2007/8/1,37.26
2007/8/2,38.11
2007/8/3,41.59
2007/8/6,42.33
2007/8/7,41.54
2007/8/8,41.4
2007/8/9,44.67
2007/8/10,44.89
2007/8/13,44.44
2007/8/14,46.19
2007/8/15,46.19
2007/8/16,43.78
