date,price
2007/9/28,348.56
2007/10/1,348.9
2007/10/2,349.5
2007/10/3,349.24
2007/10/4,349.64
2007/10/5,347.22
2007/10/8,347.27
2007/10/9,347.04
2007/10/10,347.11
2007/10/11,346.98
2007/10/12,346.45
2007/10/15,346.78
2007/10/16,347.41
2007/10/17,349.82
2007/10/18,350.99
2007/10/19,353.18
2007/10/22,353.17
2007/10/23,353.18
2007/10/24,354.79
2007/10/25,354.32
2007/10/26,353.71
2007/10/29,353.83
2007/10/30,353.86
2007/10/31,351.92
2007/11/1,354.47
2007/11/2,356.23
2007/11/5,355.73
2007/11/6,354.9
2007/11/7,355.7
2007/11/8,357.25
2007/11/9,358.42
2007/11/13,357.49
2007/11/14,357.26
2007/11/15,359.83
2007/11/16,360.14
2007/11/19,361.95
2007/11/20,362.29
2007/11/21,363.42
2007/11/23,363.4
2007/11/26,366.93
2007/11/27,365.1
2007/11/28,363.27
2007/11/29,365.04
2007/11/30,364.74
2007/12/3,366.85
2007/12/4,366.94
2007/12/5,366.74
2007/12/6,364.89
2007/12/7,362.28
2007/12/10,361.74
2007/12/11,365.48
2007/12/12,363.56
2007/12/13,361.6
2007/12/14,360.37
2007/12/17,361.47
2007/12/18,363.07
2007/12/19,364.23
2007/12/20,365.21
2007/12/21,362.17
2007/12/24,361.17
2007/12/26,359.56
2007/12/27,361.42
2007/12/28,363.91
2007/12/31,365.4
2008/1/2,368.58
2008/1/3,368.62
2008/1/4,370.27
2008/1/7,370.73
2008/1/8,370.81
2008/1/9,372.05
2008/1/10,370.04
2008/1/11,372.03
2008/1/14,372.39
2008/1/15,374.13
2008/1/16,374.28
2008/1/17,375.91
2008/1/18,376.23
2008/1/22,380.34
2008/1/23,381.72
2008/1/24,376.6
2008/1/25,378.12
2008/1/28,378.04
2008/1/29,376.33
2008/1/30,374.62
2008/1/31,377.12
2008/2/1,378.29
2008/2/4,377.51
2008/2/5,379.14
2008/2/6,378.81
2008/2/7,376.29
2008/2/8,378.29
2008/2/11,379.06
2008/2/12,377.61
2008/2/13,377.63
2008/2/14,375.2
2008/2/15,376.11
2008/2/19,373.85
2008/2/20,372.61
2008/2/21,376.11
2008/2/22,376.24
2008/2/25,373.42
2008/2/26,374.58
2008/2/27,374.89
2008/2/28,378.12
2008/2/29,382.64
2008/3/3,382.81
2008/3/4,382.03
2008/3/5,379.89
2008/3/6,381.7
2008/3/7,383.98
2008/3/10,386.25
2008/3/11,382.18
2008/3/12,385.07
2008/3/13,384.48
2008/3/14,388.24
2008/3/17,390.98
2008/3/18,387.77
2008/3/19,389.86
2008/3/20,390.59
2008/3/24,385.57
2008/3/25,385.88
2008/3/27,385.21
2008/3/28,386.59
2008/3/31,387.66
2008/4/1,384.22
2008/4/2,382.98
2008/4/3,382.76
2008/4/4,385.43
2008/4/7,383.33
2008/4/8,383.31
2008/4/9,385.77
2008/4/10,384.11
2008/4/11,385.76
2008/4/14,385.08
2008/4/15,383.83
2008/4/16,380.46
2008/4/17,379.49
2008/4/18,378.94
2008/4/21,379.64
2008/4/22,379.25
2008/4/23,379.13
