Date,Price
2017/10/25,0.482
2017/10/24,0.473
2017/10/23,0.435
2017/10/22,0.449
2017/10/21,0.449
2017/10/20,0.455
2017/10/19,0.396
2017/10/18,0.406
2017/10/17,0.367
2017/10/16,0.37
2017/10/13,0.405
2017/10/12,0.446
2017/10/11,0.466
2017/10/10,0.442
2017/10/9,0.444
2017/10/6,0.46
2017/10/5,0.458
2017/10/4,0.453
2017/10/3,0.463
2017/10/2,0.453
2017/9/29,0.464
2017/9/28,0.476
2017/9/27,0.466
2017/9/26,0.407
2017/9/25,0.401
2017/9/22,0.447
2017/9/21,0.454
2017/9/20,0.442
2017/9/19,0.45
2017/9/18,0.456
2017/9/15,0.432
2017/9/14,0.415
2017/9/13,0.403
2017/9/12,0.402
2017/9/11,0.337
2017/9/8,0.312
2017/9/7,0.305
2017/9/6,0.347
2017/9/5,0.335
2017/9/4,0.368
2017/9/1,0.379
2017/8/31,0.359
2017/8/30,0.359
2017/8/29,0.343
2017/8/28,0.374
2017/8/25,0.38
2017/8/24,0.375
2017/8/23,0.377
2017/8/22,0.402
2017/8/21,0.404
2017/8/18,0.416
2017/8/17,0.423
2017/8/16,0.445
2017/8/15,0.432
2017/8/14,0.405
2017/8/11,0.385
2017/8/10,0.414
2017/8/9,0.425
2017/8/8,0.472
2017/8/7,0.458
2017/8/6,0.468
2017/8/4,0.471
2017/8/3,0.451
2017/8/2,0.488
2017/8/1,0.489
2017/7/31,0.533
2017/7/28,0.542
2017/7/27,0.535
2017/7/26,0.559
2017/7/25,0.563
2017/7/24,0.507
2017/7/21,0.505
2017/7/20,0.531
2017/7/19,0.541
2017/7/18,0.554
2017/7/17,0.579
2017/7/16,0.594
2017/7/14,0.594
2017/7/13,0.604
2017/7/12,0.579
2017/7/11,0.552
2017/7/10,0.543
2017/7/8,0.572
2017/7/7,0.573
2017/7/6,0.56
2017/7/5,0.469
2017/7/4,0.475
2017/7/3,0.474
2017/7/2,0.467
2017/7/1,0.467
2017/6/30,0.465
2017/6/29,0.451
2017/6/28,0.368
2017/6/27,0.368
2017/6/26,0.244
2017/6/25,0.258
2017/6/23,0.256
2017/6/22,0.254
2017/6/21,0.264
2017/6/20,0.259
2017/6/19,0.283
2017/6/18,0.277
2017/6/17,0.277
2017/6/16,0.277
2017/6/15,0.286
2017/6/14,0.227
2017/6/13,0.266
2017/6/12,0.245
2017/6/9,0.263
2017/6/8,0.256
2017/6/7,0.272
2017/6/6,0.258
2017/6/5,0.287
2017/6/2,0.273
2017/6/1,0.308
2017/5/31,0.311
2017/5/30,0.298
2017/5/29,0.301
2017/5/26,0.333
2017/5/25,0.366
2017/5/24,0.407
2017/5/23,0.412
2017/5/22,0.396
2017/5/19,0.376
2017/5/18,0.343
2017/5/17,0.378
2017/5/16,0.431
2017/5/15,0.419
2017/5/12,0.394
2017/5/11,0.431
2017/5/10,0.42
2017/5/9,0.431
2017/5/8,0.419
2017/5/7,0.424
2017/5/5,0.415
2017/5/4,0.399
2017/5/3,0.327
2017/5/2,0.328
2017/5/1,0.318
2017/4/28,0.324
2017/4/27,0.3
2017/4/26,0.358
2017/4/25,0.378
2017/4/24,0.332
2017/4/22,0.253
2017/4/21,0.253
2017/4/20,0.248
2017/4/19,0.207
2017/4/18,0.154
2017/4/17,0.188
2017/4/14,0.188
2017/4/13,0.189
2017/4/12,0.202
2017/4/11,0.206
2017/4/10,0.209
2017/4/7,0.228
2017/4/6,0.263
2017/4/5,0.26
2017/4/4,0.262
2017/4/3,0.279
2017/3/31,0.331
2017/3/30,0.342
2017/3/29,0.346
2017/3/28,0.389
