Date,Price
2017/10/26,2.428
2017/10/25,2.43
2017/10/24,2.421
2017/10/23,2.37
2017/10/22,2.394
2017/10/20,2.383
2017/10/19,2.318
2017/10/18,2.345
2017/10/17,2.302
2017/10/16,2.305
2017/10/15,2.289
2017/10/13,2.275
2017/10/12,2.321
2017/10/11,2.353
2017/10/10,2.355
2017/10/9,2.361
2017/10/6,2.361
2017/10/5,2.348
2017/10/4,2.323
2017/10/3,2.325
2017/10/2,2.341
2017/10/1,2.342
2017/9/29,2.339
2017/9/28,2.308
2017/9/27,2.31
2017/9/26,2.236
2017/9/25,2.222
2017/9/24,2.262
2017/9/22,2.253
2017/9/21,2.278
2017/9/20,2.273
2017/9/19,2.246
2017/9/18,2.234
2017/9/17,2.202
2017/9/15,2.202
2017/9/14,2.187
2017/9/13,2.193
2017/9/12,2.167
2017/9/11,2.134
2017/9/10,2.089
2017/9/8,2.054
2017/9/7,2.042
2017/9/6,2.106
2017/9/5,2.063
2017/9/3,2.166
2017/9/1,2.166
2017/8/31,2.12
2017/8/30,2.136
2017/8/29,2.129
2017/8/28,2.159
2017/8/27,2.175
2017/8/25,2.169
2017/8/24,2.196
2017/8/23,2.169
2017/8/22,2.217
2017/8/21,2.183
2017/8/20,2.21
2017/8/18,2.197
2017/8/17,2.185
2017/8/16,2.225
2017/8/15,2.273
2017/8/14,2.224
2017/8/13,2.199
2017/8/11,2.191
2017/8/10,2.201
2017/8/9,2.249
2017/8/8,2.262
2017/8/7,2.257
2017/8/6,2.273
2017/8/4,2.264
2017/8/3,2.219
2017/8/2,2.271
2017/8/1,2.253
2017/7/31,2.296
2017/7/30,2.282
2017/7/28,2.291
2017/7/27,2.319
2017/7/26,2.292
2017/7/25,2.332
2017/7/24,2.257
2017/7/23,2.232
2017/7/21,2.237
2017/7/20,2.257
2017/7/19,2.271
2017/7/18,2.261
2017/7/17,2.314
2017/7/16,2.332
2017/7/14,2.332
2017/7/13,2.348
2017/7/12,2.32
2017/7/11,2.361
2017/7/10,2.373
2017/7/9,2.386
2017/7/7,2.386
2017/7/6,2.368
2017/7/5,2.327
2017/7/4,2.334
2017/7/3,2.348
2017/7/2,2.316
2017/7/1,2.304
2017/6/30,2.304
2017/6/29,2.267
2017/6/28,2.226
2017/6/27,2.203
2017/6/26,2.135
2017/6/25,2.146
2017/6/23,2.144
2017/6/22,2.148
2017/6/21,2.165
2017/6/20,2.156
2017/6/19,2.191
2017/6/18,2.157
2017/6/16,2.153
2017/6/15,2.164
2017/6/14,2.127
2017/6/13,2.211
2017/6/12,2.215
2017/6/11,2.211
2017/6/9,2.202
2017/6/8,2.192
2017/6/7,2.176
2017/6/6,2.145
2017/6/5,2.183
2017/6/4,2.159
2017/6/2,2.159
2017/6/1,2.213
2017/5/31,2.206
2017/5/30,2.208
2017/5/29,2.243
2017/5/26,2.25
