date,price
2009/12/31,100
2010/1/1,100
2010/1/4,99.98
2010/1/5,100.04
2010/1/6,100.06
2010/1/7,100.02
2010/1/8,100.07
2010/1/11,99.88
2010/1/12,100.09
2010/1/13,100.12
2010/1/14,99.91
2010/1/15,99.64
2010/1/18,99.67
2010/1/19,99.71
2010/1/20,100.19
2010/1/21,99.46
2010/1/22,99.92
2010/1/25,99.94
2010/1/26,99.64
2010/1/27,99.96
2010/1/28,99.85
2010/1/29,100
2010/2/1,99.66
2010/2/2,100.02
2010/2/3,99.72
2010/2/4,100.04
2010/2/5,99.98
2010/2/8,100.21
2010/2/9,100.03
2010/2/10,100.34
2010/2/11,100.16
2010/2/12,99.97
2010/2/15,100
2010/2/16,100.01
2010/2/17,100.02
2010/2/18,100.03
2010/2/19,100.04
2010/2/22,100.27
2010/2/23,100.22
2010/2/24,100.28
2010/2/25,100.31
2010/2/26,100.26
2010/3/1,100.79
2010/3/2,100.28
2010/3/3,100.75
2010/3/4,100.9
2010/3/5,100.82
2010/3/8,100.81
2010/3/9,101.13
2010/3/10,101.09
2010/3/11,101.1
2010/3/12,100.78
2010/3/15,101.09
2010/3/16,101.09
2010/3/17,101.3
2010/3/18,101.32
2010/3/19,101.12
2010/3/22,101.36
2010/3/23,101.27
2010/3/24,101.27
2010/3/25,101.36
2010/3/26,101.07
2010/3/29,101.29
2010/3/30,101.37
2010/3/31,101.12
2010/4/1,100.94
2010/4/2,101.23
2010/4/5,101.25
2010/4/6,101.3
2010/4/7,101.12
2010/4/8,101.14
2010/4/9,101.28
2010/4/12,101.07
2010/4/13,100.91
2010/4/14,101.02
2010/4/15,100.93
2010/4/16,101.26
2010/4/19,100.86
2010/4/20,100.99
2010/4/21,100.99
2010/4/22,101
2010/4/23,101
2010/4/26,101.11
2010/4/27,101.57
2010/4/28,101.38
2010/4/29,101.6
2010/4/30,101.7
2010/5/3,101.71
2010/5/4,101.57
2010/5/5,101.56
2010/5/6,101.24
2010/5/7,101.57
2010/5/10,101.56
2010/5/11,101.61
2010/5/12,101.48
2010/5/13,101.86
2010/5/14,101.78
2010/5/17,101.94
2010/5/18,102.02
2010/5/19,102.21
2010/5/20,101.9
2010/5/21,102.21
2010/5/24,102.01
2010/5/25,102
2010/5/26,102.19
2010/5/27,102.01
2010/5/28,102.22
2010/5/31,102.01
2010/6/1,101.9
2010/6/2,101.87
2010/6/3,102.16
2010/6/4,101.99
2010/6/7,102.18
