Date,Price
2000/1/4,96.97
2000/1/5,96.79
2000/1/6,97.08
2000/1/7,97.39
2000/1/11,97.75
2000/1/12,97.58
2000/1/13,98.13
2000/1/14,98.62
2000/1/17,98.69
2000/1/18,99.26
2000/1/19,100.11
2000/1/20,100.03
2000/1/21,100.26
2000/1/24,100.5
2000/1/25,99.91
2000/1/26,99.95
2000/1/27,100.38
2000/1/28,101.23
2000/1/31,100.71
2000/2/1,101.09
2000/2/2,101.56
2000/2/14,102.6
2000/2/15,102.24
2000/2/16,101.12
2000/2/17,101.39
2000/2/18,101.39
2000/2/21,101.87
2000/2/22,101.43
2000/2/23,101.5
2000/2/24,101.14
2000/2/25,100.75
2000/2/28,100.5
2000/2/29,99.01
2000/3/1,99.16
2000/3/2,99.37
2000/3/3,99.42
2000/3/6,99.05
2000/3/7,99.27
2000/3/8,98.34
2000/3/9,98.31
2000/3/10,98.61
2000/3/13,98.46
2000/3/14,98.64
2000/3/15,98.89
2000/3/16,99.77
2000/3/17,99.81
2000/3/20,99.27
2000/3/21,99.11
2000/3/22,98.98
2000/3/23,98.11
2000/3/24,97.99
2000/3/27,98.1
2000/3/28,97.7
2000/3/29,97.73
2000/3/30,97.37
2000/3/31,97.37
2000/4/3,97.54
2000/4/4,97.25
2000/4/5,96.47
2000/4/6,96.47
2000/4/7,95.4
2000/4/10,95.57
2000/4/11,95.51
2000/4/12,95.45
2000/4/13,95.49
2000/4/14,95.35
2000/4/17,94.73
2000/4/18,95.19
2000/4/19,95.26
2000/4/20,95.08
2000/4/21,95.33
2000/4/24,95.43
2000/4/25,95.63
2000/4/26,96.65
2000/4/27,96.4
2000/4/28,96.41
2000/5/8,97.26
2000/5/9,96.75
2000/5/10,96.73
2000/5/11,96.28
2000/5/12,96.6
2000/5/15,96.39
2000/5/16,96.49
2000/5/17,96.62
2000/5/18,96.47
2000/5/19,96.5
2000/5/22,96.64
2000/5/23,96.4
2000/5/24,96.91
2000/5/25,96.46
2000/5/26,95.93
2000/5/29,95.11
2000/5/30,94.41
2000/5/31,94.24
2000/6/1,94.53
2000/6/2,94.86
2000/6/5,94.43
2000/6/6,94.55
2000/6/7,94.49
2000/6/8,94.16
2000/6/9,94.3
2000/6/12,93.73
2000/6/13,93.59
2000/6/14,93.9
2000/6/15,94.11
2000/6/16,94.21
2000/6/19,94.18
2000/6/20,94.44
2000/6/21,94.14
2000/6/22,94.55
2000/6/23,94.32
2000/6/26,94.04
2000/6/27,94.39
2000/6/28,94.14
2000/6/29,94.34
2000/6/30,94.33
2000/7/3,93.76
2000/7/4,93.67
2000/7/5,93.77
2000/7/6,93.81
2000/7/7,93.32
2000/7/10,93.52
2000/7/11,93.92
2000/7/12,93.93
2000/7/13,94.41
2000/7/14,94.6
2000/7/17,94.39
2000/7/18,95.56
2000/7/19,95.57
2000/7/20,95.03
2000/7/21,94.6
2000/7/24,94.71
2000/7/25,94.31
2000/7/26,94.68
2000/7/27,94.3
2000/7/28,94.35
2000/7/31,94.17
2000/8/1,93.21
2000/8/2,93.7
2000/8/3,93.98
2000/8/4,93.3
2000/8/7,93.32
2000/8/8,93.26
2000/8/9,93.23
2000/8/10,92.68
2000/8/11,92.95
2000/8/14,93
2000/8/15,93.23
2000/8/16,92.75
2000/8/17,92.68
2000/8/18,92.78
2000/8/21,92.67
2000/8/22,92.29
2000/8/23,92.16
2000/8/24,92.08
2000/8/25,92.15
2000/8/28,93.24
2000/8/29,93.51
2000/8/30,94.66
2000/8/31,94.06
2000/9/1,95.44
2000/9/4,95.62
2000/9/5,96.09
2000/9/6,95.96
2000/9/7,95.47
2000/9/8,95.83
2000/9/11,95.7
2000/9/12,95.61
2000/9/13,96.05
2000/9/14,95.7
2000/9/15,95.65
2000/9/18,95.51
