"Index","price"
2001-01-03,49434.649712
2001-01-04,50093.460586
2001-01-05,50600.230142
2001-01-08,50140.18148
2001-01-09,50105.76222
2001-01-10,48983.702535
2001-01-11,50984.64606
2001-01-12,51116.774286
2001-01-15,50867.297121
2001-01-16,50667.917724
2001-01-17,51497.826538
2001-01-18,51844.529304
2001-01-19,51395.042004
2001-01-22,51902.7975
2001-01-23,52179.34642
2001-01-24,51135.676082
2001-01-25,51472.698739
2001-01-26,51203.55056
2001-01-29,51205.356504
2001-01-30,51691.10493
2001-01-31,52662.335
2001-02-01,52099.386408
2001-02-02,51430.11832
2001-02-05,51459.009866
2001-02-06,51556.41009
2001-02-07,50519.175944
2001-02-08,50462.321154
2001-02-09,49712.331105
2001-02-12,50591.165933
2001-02-13,49966.836049
2001-02-14,49237.940182
2001-02-15,49344.582453
2001-02-16,48649.897152
2001-02-19,49373.253985
2001-02-20,48704.192244
2001-02-21,47772.433544
2001-02-22,47015.239311
2001-02-23,46123.98128
2001-02-26,46691.581894
2001-02-27,47240.191264
2001-02-28,47436.541016
2001-03-01,47109.611692
2001-03-02,47646.17872
2001-03-05,47824.476254
2001-03-06,48590.237138
2001-03-07,48508.657956
2001-03-08,48355.381548
2001-03-09,47899.983726
2001-03-12,46476.88344
2001-03-13,45137.591221
2001-03-14,43679.553032
2001-03-15,43791.189255
2001-03-16,42585.469638
2001-03-19,42082.883123
2001-03-20,43514.223296
2001-03-21,41685.548514
2001-03-22,39605.179812
2001-03-23,40837.049017
2001-03-26,42458.610186
2001-03-27,43892.873036
2001-03-28,42646.493864
2001-03-29,42949.46236
2001-03-30,42342.343855
2001-04-02,41934.300268
2001-04-03,41273.870066
2001-04-04,41750.14711
2001-04-05,42839.337468
2001-04-06,42630.47184
2001-04-09,42911.281028
2001-04-10,43485.648288
2001-04-11,43740.430884
2001-04-12,44336.58918
2001-04-17,43412.83212
2001-04-18,45008.555904
2001-04-19,45940.245974
2001-04-20,45753.262411
2001-04-23,44888.668344
2001-04-24,45318.755715
2001-04-25,45410.789421
2001-04-26,45758.436984
2001-04-27,45594.267016
2001-04-30,46046.027853
2001-05-02,45961.910328
2001-05-03,44827.860623
2001-05-04,45342.246704
2001-05-07,45099.831182
2001-05-08,44760.424056
2001-05-09,44452.318564
2001-05-10,44967.589884
2001-05-11,44481.250166
2001-05-14,43877.9598
2001-05-15,44114.058498
2001-05-16,44946.326088
2001-05-17,45089.803954
2001-05-18,45123.936345
2001-05-21,45340.931889
2001-05-22,44886.764397
2001-05-23,44051.827425
2001-05-24,44518.02889
2001-05-25,44342.313893
2001-05-28,44251.39594
2001-05-29,43331.9364
2001-05-30,42826.20858
2001-05-31,42856.69674
2001-06-01,42965.004965
2001-06-04,43273.833152
2001-06-05,44116.877988
2001-06-06,43444.920552
2001-06-07,43527.843625
2001-06-08,43559.195842
2001-06-11,42999.285802
2001-06-12,42780.02266
2001-06-13,43232.80759
2001-06-14,43038.539593
2001-06-15,42159.262414
2001-06-18,41806.345728
2001-06-19,41853.335004
2001-06-20,41554.767276
2001-06-21,41895.358134
2001-06-22,42150.91638
2001-06-25,41944.83708
2001-06-26,41794.15513
2001-06-27,41466.92459
2001-06-28,41697.884025
2001-06-29,42611.61573
2001-07-02,42892.3557
2001-07-03,42525.679324
2001-07-04,42143.728032
2001-07-05,41599.583298
2001-07-06,41105.63141
2001-07-09,41324.988372
2001-07-10,41141.73952
2001-07-11,41274.0052
2001-07-12,41588.44268
2001-07-13,41935.335541
2001-07-16,41318.179584
2001-07-17,41603.078562
2001-07-18,41410.959567
2001-07-19,42022.154427
2001-07-20,41549.073698
2001-07-23,41653.542987
2001-07-24,40946.502452
2001-07-25,40691.062812
2001-07-26,41247.450648
2001-07-27,41792.944292
2001-07-30,41914.024497
2001-07-31,42502.419285
2001-08-01,42545.245453
2001-08-02,42241.738176
2001-08-03,41976.890604
2001-08-06,41928.85388
2001-08-07,41772.426616
2001-08-08,40905.635507
2001-08-09,40708.1878
2001-08-10,40164.35808
2001-08-13,40455.520483
2001-08-14,41259.578256
2001-08-15,41267.130336
2001-08-16,40466.41024
2001-08-17,39674.012276
2001-08-20,39418.586053
2001-08-21,39611.13934
2001-08-22,39508.637364
2001-08-23,39790.421132
2001-08-24,40794.68875
2001-08-27,40775.59674
2001-08-28,40090.844804
2001-08-29,39913.2285
2001-08-30,39151.12536
2001-08-31,39171.721134
2001-09-03,38238.35224
2001-09-04,38295.68011
2001-09-05,36998.892744
2001-09-06,36147.943328
2001-09-07,35520.708762
2001-09-10,34706.538108
2001-09-11,32329.681803
2001-09-12,32795.807635
2001-09-13,33108.59348
2001-09-14,31361.298012
2001-09-17,32465.000736
2001-09-18,32195.893235
2001-09-19,30996.96838
2001-09-20,29248.360458
2001-09-21,28671.982161
2001-09-24,30647.195196
2001-09-25,30629.275888
2001-09-26,31286.606672
2001-09-27,31798.0155
2001-09-28,32498.529525
2001-10-01,32191.124231
2001-10-02,32732.14974
2001-10-03,33577.973878
2001-10-04,34549.414732
2001-10-05,34109.136614
2001-10-08,34265.62942
