"Index","price"
2000-09-07,697.292336
2000-09-08,693.4824
2000-09-11,685.291278
2000-09-12,690.278472
2000-09-13,687.32919
2000-09-14,692.000568
2000-09-15,683.03664
2000-09-18,679.168464
2000-09-19,678.38535
2000-09-20,677.038984
2000-09-21,688.94891
2000-09-22,703.2985
2000-09-25,701.198064
2000-09-26,708.277203
2000-09-27,707.835996
2000-09-28,705.31098
2000-09-29,710.031976
2000-10-02,705.522219
2000-10-03,704.146844
2000-10-04,703.251997
2000-10-05,697.177145
2000-10-06,698.007258
2000-10-09,698.929812
2000-10-10,702.101381
2000-10-11,699.18662
2000-10-12,695.792744
2000-10-13,693.111003
2000-10-16,685.812903
2000-10-17,689.234802
2000-10-18,677.427372
2000-10-19,680.681376
2000-10-20,680.393233
2000-10-23,675.50757
2000-10-24,675.760806
2000-10-25,668.17936
2000-10-26,669.6764
2000-10-27,678.102936
2000-10-30,679.478706
2000-10-31,685.612656
2000-11-01,696.515964
2000-11-02,695.450472
2000-11-03,701.25209
2000-11-06,696.204432
2000-11-07,695.034876
2000-11-08,690.91992
2000-11-09,700.499321
2000-11-10,696.2648
2000-11-13,697.201656
2000-11-14,696.475888
2000-11-15,695.84292
2000-11-16,692.580438
2000-11-17,689.81572
2000-11-20,692.764349
2000-11-21,685.842912
2000-11-22,688.968348
2000-11-23,684.33505
2000-11-24,684.988174
2000-11-27,695.671326
2000-11-28,702.23634
2000-11-29,703.24173
2000-11-30,715.698774
2000-12-01,724.77328
2000-12-04,733.548927
2000-12-05,729.277668
2000-12-06,739.721871
2000-12-07,737.535579
2000-12-08,734.136663
2000-12-11,725.147479
2000-12-12,726.880827
2000-12-13,727.73668
2000-12-14,740.661545
2000-12-15,747.386178
2000-12-18,747.56055
2000-12-19,746.225863
2000-12-20,760.60335
2000-12-21,765.655685
2000-12-22,772.202656
2000-12-25,773.213958
2000-12-26,778.037059
2000-12-27,778.483981
2000-12-28,775.217212
2000-12-29,789.18081
2001-01-02,802.498863
2001-01-03,785.658594
2001-01-04,803.108657
