"Index","price"
2007-09-28,1650.704534
2007-10-01,1647.348325
2007-10-02,1639.327716
2007-10-03,1635.686946
2007-10-04,1641.38247
2007-10-05,1636.032995
2007-10-08,1626.892672
2007-10-09,1638.66489
2007-10-10,1637.692902
2007-10-11,1638.619251
2007-10-12,1635.443715
2007-10-15,1641.043296
2007-10-16,1633.754238
2007-10-17,1640.703048
2007-10-18,1660.58442
2007-10-19,1667.632134
2007-10-22,1661.9967
2007-10-23,1669.068324
2007-10-24,1671.556012
2007-10-25,1677.905298
2007-10-26,1684.77654
2007-10-29,1687.015995
2007-10-30,1684.030905
2007-10-31,1684.442032
2007-11-01,1678.69719
2007-11-02,1693.523748
2007-11-05,1688.3829
2007-11-06,1695.591116
2007-11-07,1709.196072
2007-11-08,1709.12272
2007-11-09,1714.011876
2007-11-12,1696.595032
2007-11-13,1708.825584
2007-11-14,1707.27597
2007-11-15,1706.690874
2007-11-16,1714.2114
2007-11-19,1718.890182
2007-11-20,1740.382314
2007-11-21,1745.869733
2007-11-22,1746.437924
2007-11-23,1739.511635
2007-11-26,1742.298756
2007-11-27,1738.591771
2007-11-28,1728.275031
2007-11-29,1718.889128
2007-11-30,1705.124505
2007-12-03,1714.022262
2007-12-04,1732.468878
2007-12-05,1710.908466
2007-12-06,1712.26209
2007-12-07,1701.808104
2007-12-10,1700.608275
2007-12-11,1689.391872
2007-12-12,1686.164658
2007-12-13,1677.47118
2007-12-14,1657.633563
2007-12-17,1656.21795
2007-12-18,1656.863397
2007-12-19,1654.6452
2007-12-20,1646.53408
2007-12-21,1649.985546
2007-12-24,1647.7292
2007-12-25,1644.415362
2007-12-26,1657.9899
2007-12-27,1661.952686
2007-12-28,1674.70978
2007-12-31,1662.871468
2008-01-01,1662.54912
2008-01-02,1681.857096
2008-01-03,1690.689
2008-01-04,1698.034555
2008-01-07,1691.99248
2008-01-08,1692.013256
2008-01-09,1691.247095
2008-01-10,1710.517968
2008-01-11,1706.229
2008-01-14,1718.910488
2008-01-15,1712.912574
2008-01-16,1694.94174
2008-01-17,1700.892214
2008-01-18,1698.157728
2008-01-21,1679.0392
2008-01-22,1704.24448
2008-01-23,1709.046921
2008-01-24,1711.84016
2008-01-25,1693.23297
2008-01-28,1714.57154
2008-01-29,1708.391804
2008-01-30,1714.985162
2008-01-31,1722.14556
2008-02-01,1713.188749
2008-02-04,1719.857664
2008-02-05,1707.16744
2008-02-06,1704.47269
2008-02-07,1691.760964
2008-02-08,1694.968275
2008-02-11,1702.201592
2008-02-12,1698.772056
2008-02-13,1690.915875
2008-02-14,1692.113032
2008-02-15,1702.3715
2008-02-18,1688.081769
2008-02-19,1691.822966
2008-02-20,1687.784841
2008-02-21,1694.050685
2008-02-22,1701.566584
2008-02-25,1704.801975
2008-02-26,1715.813896
2008-02-27,1731.240702
2008-02-28,1738.59136
2008-02-29,1749.481064
2008-03-03,1757.070783
2008-03-04,1760.024943
2008-03-05,1767.41103
2008-03-06,1780.934589
2008-03-07,1780.72708
2008-03-10,1783.692581
2008-03-11,1774.612128
2008-03-12,1800.136962
2008-03-13,1812.738708
2008-03-14,1814.880361
2008-03-17,1823.25738
2008-03-18,1802.42334
2008-03-19,1798.116714
2008-03-20,1769.498112
2008-03-21,1771.909134
2008-03-24,1772.364918
2008-03-25,1780.57179
2008-03-26,1796.75296
2008-03-27,1781.131014
2008-03-28,1781.285104
2008-03-31,1780.93161
2008-04-01,1759.956
2008-04-02,1769.7891
2008-04-03,1769.236686
2008-04-04,1779.64391
2008-04-07,1765.271998
2008-04-08,1765.260864
2008-04-09,1777.54389
