"Index","EUStoxx50.eur"
2011-08-15,21459.831808
2011-08-16,21370.79299
2011-08-17,21486.865488
2011-08-18,20198.645957
2011-08-19,19867.978047
2011-08-22,20065.572439
2011-08-23,20323.41524
2011-08-24,20614.17347
2011-08-25,20369.47797
2011-08-26,20285.226752
2011-08-29,20736.36586
2011-08-30,20636.138154
2011-08-31,21114.907968
2011-09-01,20981.633275
2011-09-02,20136.156528
2011-09-05,18963.32273
2011-09-06,18609.40664
2011-09-07,19386.684152
2011-09-08,19173.99786
2011-09-09,18086.342373
2011-09-12,17425.015843
2011-09-13,17833.023504
2011-09-14,18306.243384
2011-09-15,19120.780524
2011-09-16,19019.370096
2011-09-19,18320.12361
2011-09-20,18730.513869
2011-09-21,18175.231739
2011-09-22,17162.6517
2011-09-23,17470.051484
2011-09-26,18045.14436
2011-09-27,19077.09085
2011-09-28,18842.737152
2011-09-29,19240.705704
2011-09-30,18621.489278
2011-10-03,17950.952448
2011-10-04,17791.830156
2011-10-05,18545.338606
2011-10-06,19266.647528
2011-10-07,19352.106158
2011-10-10,20100.21672
2011-10-11,20145.233448
2011-10-12,20798.06234
2011-10-13,20510.314864
2011-10-14,20851.180056
2011-10-17,20272.837882
2011-10-18,20221.727141
2011-10-19,20440.859808
2011-10-20,19982.48892
2011-10-21,20735.817459
2011-10-24,21032.129646
2011-10-25,20732.3262
2011-10-26,20627.453028
2011-10-27,22350.48762
2011-10-28,22153.114212
2011-10-31,21006.63254
2011-11-01,19668.237974
2011-11-02,20025.159686
2011-11-03,20601.99953
2011-11-04,20045.77956
2011-11-07,19904.05836
2011-11-08,20227.39336
2011-11-09,19321.585283
2011-11-10,19472.587152
2011-11-11,20277.225301
2011-11-14,19820.28368
2011-11-15,19362.0854
2011-11-16,19370.873156
2011-11-17,19172.180552
2011-11-18,19211.739192
2011-11-21,18549.460248
2011-11-22,18367.377717
2011-11-23,17780.359842
2011-11-24,17752.49325
2011-11-25,17830.435204
2011-11-28,18882.960416
2011-11-29,18990.891834
2011-11-30,19982.505078
2011-12-01,19837.244472
2011-12-02,19969.10975
2011-12-05,20208.52731
2011-12-06,20102.7363
2011-12-07,20015.768136
2011-12-08,19426.230915
2011-12-09,19942.46867
2011-12-12,19038.49994
2011-12-13,18759.577158
2011-12-14,18240.449199
2011-12-15,18459.244863
2011-12-16,18229.930992
2011-12-19,18141.73384
2011-12-20,18782.135541
2011-12-21,18556.510235
2011-12-22,18806.285574
2011-12-23,18932.885531
2011-12-27,18921.854127
2011-12-28,18439.605813
2011-12-29,18774.002428
2011-12-30,18874.78609
2012-01-02,19287.73952
2012-01-03,19629.286794
2012-01-04,19142.908907
2012-01-05,18651.0505
2012-01-06,18448.50517
2012-01-09,18432.216675
2012-01-10,18934.69302
2012-01-11,18772.22824
2012-01-12,19009.126305
2012-01-13,18690.519542
2012-01-16,18890.590752
2012-01-17,19278.252057
2012-01-18,19400.0436
2012-01-19,19938.838032
2012-01-20,19884.08328
2012-01-23,20151.401616
2012-01-24,20060.199774
2012-01-25,20102.317248
2012-01-26,20416.89128
2012-01-27,20414.733346
2012-01-30,20000.42685
2012-01-31,19938.169998
2012-02-01,20506.568684
2012-02-02,20531.224935
2012-02-03,20835.5026
2012-02-06,20786.646265
2012-02-07,21025.58556
2012-02-08,20969.563524
2012-02-09,21095.842824
2012-02-10,20594.02914
2012-02-13,20701.707552
2012-02-14,20563.477389
2012-02-15,20534.518452
2012-02-16,20611.32013
2012-02-17,20879.004133
2012-02-20,21279.53632
2012-02-21,21189.06504
2012-02-22,21010.2233
2012-02-23,21124.052992
2012-02-24,21388.020381
2012-02-27,21220.781252
2012-02-28,21375.540676
2012-02-29,21070.322625
2012-03-01,21378.16008
2012-03-02,21173.611944
2012-03-05,21085.877128
2012-03-06,20212.79744
2012-03-07,20419.961614
2012-03-08,21078.717636
2012-03-09,20824.769745
2012-03-12,20927.316867
2012-03-13,21165.35596
2012-03-14,21242.274979
2012-03-15,21478.330997
2012-03-16,21727.92149
2012-03-19,21835.605504
2012-03-20,21547.931769
2012-03-21,21451.103868
2012-03-22,21037.008146
2012-03-23,21138.354186
2012-03-26,21425.581359
2012-03-27,21211.006437
2012-03-28,20963.123952
2012-03-29,20571.375654
2012-03-30,20819.308848
2012-04-02,20986.901144
2012-04-03,20494.36881
2012-04-04,19850.134652
2012-04-05,19734.387682
2012-04-10,19165.158762
2012-04-11,19365.622696
2012-04-12,19562.40396
2012-04-13,18889.833534
2012-04-16,19095.734858
2012-04-17,19582.60465
2012-04-18,19255.426912
2012-04-19,18920.951539
2012-04-20,19281.076594
2012-04-23,18627.59934
2012-04-24,19008.11376
2012-04-25,19366.332961
2012-04-26,19347.078624
2012-04-27,19604.21127
2012-04-30,19269.300078
2012-05-01,19269.396253
2012-05-02,19006.824628
2012-05-03,18965.54804
2012-05-04,18549.92917
2012-05-07,18800.104605
2012-05-08,18340.350609
2012-05-09,18162.253615
2012-05-10,18356.375102
2012-05-11,18376.530086
2012-05-14,17852.750015
2012-05-15,17524.567879
2012-05-16,17487.340726
2012-05-17,17239.472609
2012-05-18,17349.255286
2012-05-21,17435.64744
2012-05-22,17582.70987
2012-05-23,17014.78065
2012-05-24,17154.03834
2012-05-25,17167.40967
2012-05-28,17092.717776
2012-05-29,17141.627788
2012-05-30,16642.274374
2012-05-31,16678.600528
2012-06-01,16383.994066
2012-06-04,16535.632048
2012-06-05,16552.577031
