Date,Price
2008/1/9,223.8
2008/1/10,215.54
2008/1/11,218.27
2008/1/14,220.31
2008/1/15,223.96
2008/1/16,216.11
2008/1/17,216.65
2008/1/18,214.79
2008/1/21,214.27
2008/1/22,206.54
2008/1/23,212.62
2008/1/24,216.73
2008/1/25,219.81
2008/1/28,220.37
2008/1/29,222.61
2008/1/30,220.16
2008/1/31,219.46
2008/2/1,218.83
2008/2/4,215.75
2008/2/5,215.49
2008/2/13,213.95
2008/2/14,216.29
2008/2/15,216.47
2008/2/18,215.64
2008/2/19,218.43
2008/2/20,219.88
2008/2/21,223.63
2008/2/22,222.53
2008/2/25,225.78
2008/2/26,219.55
2008/2/27,224.7
2008/2/28,223.65
2008/2/29,225.5
2008/3/3,228.53
2008/3/4,227.21
2008/3/5,224.76
2008/3/6,227.94
2008/3/7,227.55
2008/3/10,225.16
2008/3/11,224.45
2008/3/12,224.2
2008/3/13,226.29
2008/3/14,227.76
2008/3/17,232.41
2008/3/18,227.36
2008/3/19,226
2008/3/20,214.38
2008/3/21,209.93
2008/3/24,206.85
2008/3/25,210.33
2008/3/26,211.82
2008/3/27,213.39
2008/3/28,211.85
2008/3/31,209.01
2008/4/1,203.01
2008/4/2,198.93
2008/4/3,202.27
2008/4/7,205.09
2008/4/8,204.73
2008/4/9,203.21
2008/4/10,207.13
2008/4/11,204.21
2008/4/14,204.95
2008/4/15,207.73
2008/4/16,206.41
2008/4/17,210.01
2008/4/18,209.58
2008/4/21,203.69
2008/4/22,203.01
2008/4/23,203.86
2008/4/24,201.92
2008/4/25,198.76
2008/4/28,200.3
2008/4/29,198.99
2008/4/30,196.36
2008/5/5,194.75
2008/5/6,196.02
2008/5/7,195.03
2008/5/8,194.09
2008/5/9,197.48
2008/5/12,197.36
2008/5/13,196.58
2008/5/14,194.6
2008/5/15,195.23
2008/5/16,197.8
2008/5/19,203.33
2008/5/20,203.22
2008/5/21,204.62
2008/5/22,207.89
2008/5/23,204.59
2008/5/26,207.06
2008/5/27,206.74
2008/5/28,203.31
2008/5/29,200.3
2008/5/30,194.99
2008/6/2,196.33
2008/6/3,199.8
2008/6/4,196.13
2008/6/5,196.62
2008/6/6,197.2
2008/6/10,198.35
2008/6/11,195.56
2008/6/12,194.15
2008/6/13,194.7
2008/6/16,193.89
2008/6/17,197.55
2008/6/18,196.81
2008/6/19,198.28
2008/6/20,199.86
2008/6/23,200.95
2008/6/24,196.61
2008/6/25,196.93
2008/6/26,197.26
2008/6/27,202.53
2008/6/30,205.66
2008/7/1,205.51
2008/7/2,208.02
2008/7/3,208.28
2008/7/4,206.3
2008/7/7,203.64
2008/7/8,205.73
2008/7/9,204.2
2008/7/10,205.58
2008/7/11,208.39
2008/7/14,212.17
2008/7/15,213.91
2008/7/16,211.62
2008/7/17,211.02
2008/7/18,211.35
2008/7/21,211.93
2008/7/22,214.15
2008/7/23,206.62
2008/7/24,203.38
2008/7/25,205.23
2008/7/28,204.36
2008/7/29,204.65
2008/7/30,202.09
2008/7/31,202.88
2008/8/1,201.57
2008/8/4,203.39
2008/8/5,196.54
2008/8/6,196.97
2008/8/7,197.43
2008/8/8,194.13
2008/8/11,191.52
2008/8/12,182.86
2008/8/13,184.47
2008/8/14,186.03
2008/8/15,176.19
2008/8/18,181.48
2008/8/19,176.44
2008/8/20,182.31
2008/8/21,184.38
2008/8/22,186.57
2008/8/25,182.81
2008/8/26,182.27
2008/8/27,184.85
2008/8/28,185.57
2008/8/29,185.44
2008/9/1,184.92
2008/9/2,179.54
2008/9/3,178.79
2008/9/4,180.33
2008/9/5,178.02
2008/9/8,181.27
2008/9/9,178.6
2008/9/10,173.32
2008/9/11,168.89
2008/9/12,170.07
2008/9/16,172.94
2008/9/17,174.64
2008/9/18,182.98
2008/9/19,187.28
2008/9/22,191.85
2008/9/23,195.92
2008/9/24,196.39
2008/9/25,197.24
2008/9/26,193.82
2008/10/6,184.4
2008/10/7,192.13
2008/10/8,199.18
2008/10/9,194.69
2008/10/10,202.72
2008/10/13,191.58
2008/10/14,186.71
2008/10/15,186.74
2008/10/16,179.1
2008/10/17,176.74
2008/10/20,177.44
2008/10/21,172.86
2008/10/22,165.64
2008/10/23,159.83
2008/10/24,149.15
2008/10/27,156.55
2008/10/28,164.2
2008/10/29,163.95
2008/10/30,168.49
2008/10/31,159.12
2008/11/3,160.93
2008/11/4,158.73
2008/11/5,164.23
2008/11/6,159.92
2008/11/7,159.94
2008/11/10,163.45
2008/11/11,160.24
2008/11/12,160.41
2008/11/13,153.5
2008/11/14,158.37
2008/11/17,161.02
2008/11/18,159.91
2008/11/19,161.12
2008/11/20,161.61
2008/11/21,164.96
2008/11/24,171.65
2008/11/25,177.73
2008/11/26,177.38
2008/11/27,177.55
