"Index","price"
2000-05-23,28148.403584
2000-05-24,28829.104852
2000-05-25,29161.341765
2000-05-26,28999.895873
2000-05-30,29023.919028
2000-05-31,28448.335143
2000-06-01,28833.608934
2000-06-02,28972.33313
2000-06-05,28849.15242
2000-06-06,28851.522426
2000-06-07,28642.023963
2000-06-08,28707.611625
2000-06-09,28936.180708
2000-06-12,29484.933933
2000-06-13,29820.54114
2000-06-14,29761.055296
2000-06-15,29797.804288
2000-06-16,29332.15152
2000-06-19,28896.709072
2000-06-20,29423.41068
2000-06-21,29941.363876
2000-06-22,30499.789164
2000-06-23,30424.063482
2000-06-26,30200.887872
2000-06-27,30500.97739
2000-06-28,30289.607425
2000-06-29,30747.3893
2000-06-30,30479.09067
2000-07-03,30454.734178
2000-07-05,29339.795587
2000-07-06,28972.793241
2000-07-07,29221.044213
2000-07-10,29024.532405
2000-07-11,29122.623912
2000-07-12,29219.266245
2000-07-13,29769.822198
2000-07-14,29671.354132
2000-07-17,29320.846605
2000-07-18,29872.38282
2000-07-19,29588.80652
2000-07-20,29344.392728
2000-07-21,28763.893745
2000-07-24,28296.2165
2000-07-25,28206.867975
2000-07-26,28260.675884
2000-07-27,28444.694252
2000-07-28,28552.587222
2000-07-31,28141.745928
2000-08-01,28408.039896
2000-08-02,28833.207615
2000-08-03,28999.381796
2000-08-04,29595.979504
2000-08-07,29088.447886
2000-08-08,29264.726957
2000-08-09,29837.335674
2000-08-10,30346.992686
2000-08-11,30314.09948
2000-08-14,30467.483665
2000-08-15,30350.825892
2000-08-16,30517.401057
2000-08-17,30750.389414
2000-08-18,30950.512164
2000-08-21,31418.660143
2000-08-22,30882.205422
2000-08-23,31456.703592
2000-08-24,31292.888462
2000-08-25,31572.749082
2000-08-28,32011.500983
2000-08-29,32125.680804
2000-08-30,32512.751724
2000-08-31,32475.70601
2000-09-01,32602.762405
2000-09-05,33035.85928
2000-09-06,33605.091072
2000-09-07,33926.43131
2000-09-08,33004.503396
2000-09-11,33929.42817
2000-09-12,33500.835781
2000-09-13,33092.58906
2000-09-14,33276.898098
2000-09-15,33995.870662
2000-09-18,34447.140468
2000-09-19,34111.321983
2000-09-20,34139.638225
2000-09-21,33611.013564
2000-09-22,32876.539014
2000-09-25,32493.934296
2000-09-26,32495.219127
2000-09-27,32590.844235
2000-09-28,31699.59715
2000-09-29,32035.705372
2000-10-02,32865.39467
2000-10-03,32859.68216
2000-10-04,32511.88137
2000-10-05,31960.41718
2000-10-06,31969.85524
2000-10-09,32601.79131
2000-10-10,33470.599232
2000-10-11,33854.341268
2000-10-12,35317.74939
2000-10-13,34227.0448
2000-10-16,33201.720699
2000-10-17,33167.82352
2000-10-18,33019.602499
2000-10-19,32502.57364
2000-10-20,32963.937938
2000-10-23,33419.652448
2000-10-24,33122.954592
2000-10-25,32671.075248
2000-10-26,32838.739875
2000-10-27,32213.887044
2000-10-30,32168.7219
2000-10-31,32098.98615
2000-11-01,32467.295385
2000-11-02,32242.2258
2000-11-03,32496.289392
2000-11-06,32570.057416
2000-11-07,33047.923551
2000-11-08,33198.60762
2000-11-09,33675.81616
2000-11-10,33662.296364
2000-11-13,33988.6792
2000-11-14,34491.922965
2000-11-15,35193.864048
2000-11-16,34677.996669
2000-11-17,35194.785873
2000-11-20,35528.250126
2000-11-21,35636.972206
2000-11-22,35867.039922
2000-11-24,35913.503592
2000-11-27,35799.70104
2000-11-28,34863.023536
2000-11-29,35039.393036
2000-11-30,35057.880594
2000-12-01,34181.191275
2000-12-04,34532.806139
2000-12-05,33661.48299
2000-12-06,34694.03874
2000-12-07,34312.13796
2000-12-08,33965.500685
2000-12-11,35141.194377
2000-12-12,34190.465283
2000-12-13,33236.21073
2000-12-14,32522.85792
2000-12-15,33543.883968
2000-12-18,34051.485346
2000-12-19,33988.086956
2000-12-20,32902.912263
2000-12-21,33278.446992
2000-12-22,33169.902778
2000-12-26,33555.131983
2000-12-27,33742.26651
2000-12-28,33439.302169
2000-12-29,34333.82746
2001-01-02,33297.273297
2001-01-03,33477.53985
2001-01-04,34146.33469
2001-01-05,34273.899275
2001-01-08,34239.215806
2001-01-09,34427.604198
2001-01-10,34833.913033
2001-01-11,34566.892647
2001-01-12,34594.209888
2001-01-16,34223.989298
2001-01-17,32971.770612
2001-01-18,33618.819564
2001-01-19,34538.65866
2001-01-22,34416.20259
2001-01-23,33936.713338
2001-01-24,33649.694276
2001-01-25,33883.564726
2001-01-26,34085.89371
2001-01-29,33078.38809
2001-01-30,33049.164632
2001-01-31,32514.307275
2001-02-01,33699.79208
2001-02-02,34808.701898
2001-02-05,33660.73806
2001-02-06,33680.38221
2001-02-07,34550.41478
2001-02-08,34664.951498
2001-02-09,34358.978016
2001-02-12,33780.0694
2001-02-13,33893.75727
2001-02-14,33307.378632
2001-02-15,32860.235684
2001-02-16,33005.3652
2001-02-20,32696.855049
2001-02-21,32428.083072
2001-02-22,32486.584193
2001-02-23,32626.779258
2001-02-26,32306.065608
2001-02-27,32346.924093
2001-02-28,32061.276419
2001-03-01,32181.851394
2001-03-02,32396.570136
2001-03-05,32946.239324
2001-03-06,32827.437016
2001-03-07,33163.333542
2001-03-08,32765.16666
2001-03-09,32360.4953
2001-03-12,32410.267136
2001-03-13,32050.597412
2001-03-14,31250.019448
2001-03-15,31174.352136
2001-03-16,31232.395285
2001-03-19,30963.929164
2001-03-20,31038.67228
2001-03-21,31208.80555
2001-03-22,31100.986448
2001-03-23,31672.177947
2001-03-26,31844.735143
2001-03-27,32348.598903
2001-03-28,31399.054417
2001-03-29,31158.346716
2001-03-30,30802.397801
2001-04-02,30533.831448
2001-04-03,30977.338228
2001-04-04,31731.835499
2001-04-05,32039.244496
2001-04-06,31803.468051
2001-04-09,32077.34796
2001-04-10,32914.003309
2001-04-11,32715.27494
2001-04-12,32832.424292
2001-04-16,33313.943117
2001-04-17,32983.768125
2001-04-18,32770.374175
2001-04-19,32535.252018
2001-04-20,32252.61655
2001-04-23,32204.31714
2001-04-24,31815.244834
2001-04-25,31972.229964
2001-04-26,32565.380281
2001-04-27,32426.074431
2001-04-30,32455.437078
2001-05-01,32706.738942
2001-05-02,32013.25837
2001-05-03,32482.918046
2001-05-04,32457.589202
2001-05-07,31969.80202
2001-05-08,31774.70427
2001-05-09,32023.578125
2001-05-10,32259.16954
2001-05-11,32091.558265
2001-05-14,32152.808805
2001-05-15,32484.266661
2001-05-16,32177.028133
2001-05-17,32265.721746
2001-05-18,32930.407552
2001-05-21,32807.901408
2001-05-22,32603.768086
2001-05-23,32464.689933
2001-05-24,31863.80136
2001-05-25,31621.998382
2001-05-29,31610.837328
2001-05-30,31638.031616
2001-05-31,31529.41056
2001-06-01,31421.818092
2001-06-04,31497.21303
2001-06-05,31476.471317
2001-06-06,31122.023684
2001-06-07,31063.944906
2001-06-08,31494.829908
2001-06-11,31966.187973
2001-06-12,32200.898756
2001-06-13,31911.883953
2001-06-14,31905.515034
2001-06-15,31529.16225
2001-06-18,30976.42419
2001-06-19,31008.930621
2001-06-20,30021.83778
2001-06-21,30023.130446
2001-06-22,30083.569791
2001-06-25,30076.980752
2001-06-26,29971.53432
2001-06-27,29040.146016
2001-06-28,28932.58458
2001-06-29,29247.457557
2001-07-02,29040.6822
2001-07-03,29152.772109
2001-07-05,29467.617777
2001-07-06,30174.72976
2001-07-09,29866.720251
2001-07-10,29865.81633
2001-07-11,29808.262122
2001-07-12,29957.742936
2001-07-13,29553.198855
2001-07-16,29214.681825
2001-07-17,29302.543532
2001-07-18,28782.02595
2001-07-19,28517.879936
2001-07-20,28935.444496
2001-07-23,29030.91534
2001-07-24,29109.029229
2001-07-25,29674.20378
2001-07-26,29579.789499
2001-07-27,29682.72909
2001-07-30,29527.872153
2001-07-31,29318.54109
2001-08-01,29291.286948
2001-08-02,29908.134032
2001-08-03,29620.846304
2001-08-06,29716.33371
2001-08-07,29860.992264
2001-08-08,29706.484743
2001-08-09,29723.287662
2001-08-10,30034.603536
2001-08-13,30018.889654
2001-08-14,30123.743436
2001-08-15,30134.520741
2001-08-16,29905.29762
2001-08-17,29309.638624
2001-08-20,29381.39848
2001-08-21,29663.802896
2001-08-22,29333.416369
2001-08-23,29507.785216
2001-08-24,29655.331029
2001-08-27,29473.73484
2001-08-28,29618.280496
2001-08-29,29611.189133
2001-08-30,29200.114833
2001-08-31,29598.442707
2001-09-04,29377.839456
2001-09-05,29491.11654
2001-09-06,29754.516624
2001-09-07,30134.802564
2001-09-10,29888.736273
2001-09-11,30197.690267
2001-09-14,31178.945392
2001-09-17,30560.473245
2001-09-18,29605.865296
2001-09-19,28694.14454
2001-09-20,28557.746172
2001-09-21,28114.625628
2001-09-24,25652.24394
2001-09-25,25587.556676
2001-09-26,25958.427625
2001-09-27,26093.589402
2001-09-28,26355.317632
2001-10-01,26184.318944
2001-10-02,25885.27816
2001-10-03,25600.721776
2001-10-04,26028.135728
2001-10-05,25710.554912
2001-10-08,25692.614907
2001-10-09,25743.145456
2001-10-10,25821.795104
2001-10-11,26240.877534
2001-10-12,25535.98204
2001-10-15,25224.842118
2001-10-16,25310.562435
2001-10-17,25096.057414
2001-10-18,24811.9629
2001-10-19,25356.473408
2001-10-22,25329.19263
2001-10-23,25077.959088
2001-10-24,25498.85736
2001-10-25,25314.733112
2001-10-26,25363.95603
2001-10-29,25546.79496
2001-10-30,25305.653856
2001-10-31,25026.311856
2001-11-01,24553.010005
2001-11-02,24355.771478
2001-11-05,24011.41064
2001-11-06,23861.312265
2001-11-07,23986.083396
2001-11-08,24694.560356
2001-11-09,25323.168126
2001-11-12,24585.757075
2001-11-13,24952.48879
2001-11-14,23861.395032
2001-11-15,22601.83836
2001-11-16,23028.630391
2001-11-19,23168.23347
2001-11-20,23612.671396
2001-11-21,23494.063419
2001-11-23,23610.105557
2001-11-26,23246.28558
2001-11-27,23722.54416
2001-11-28,23365.625108
2001-11-29,23045.192114
2001-11-30,23683.386816
2001-12-03,23912.50131
2001-12-04,23546.362996
2001-12-05,23399.147768
2001-12-06,22844.934135
2001-12-07,23057.051092
2001-12-10,22741.63689
2001-12-11,22657.32616
2001-12-12,22686.460496
2001-12-13,22593.73566
2001-12-14,23300.764592
2001-12-17,23213.476509
2001-12-18,23247.379232
2001-12-19,23348.901768
2001-12-20,23057.862706
2001-12-21,23389.12653
2001-12-24,23428.98545
2001-12-26,24136.386452
2001-12-27,23936.299167
2001-12-28,23819.885488
2001-12-31,23367.73861
2002-01-02,23929.885282
2002-01-03,23532.360184
2002-01-04,24249.948016
2002-01-07,24244.10964
2002-01-08,24118.84006
2002-01-09,23539.431402
2002-01-10,23615.291716
2002-01-11,23359.61264
2002-01-14,22854.037875
2002-01-15,22921.852688
2002-01-16,23086.447611
2002-01-17,22496.507936
2002-01-18,22423.070106
2002-01-22,22408.585881
2002-01-23,22690.35581
2002-01-24,22816.213356
2002-01-25,22954.624455
2002-01-28,22839.801951
2002-01-29,22613.32652
2002-01-30,22309.554045
2002-01-31,22638.37939
2002-02-01,23214.373212
2002-02-04,23007.70651
2002-02-05,22967.2875
2002-02-06,22777.4784
2002-02-07,22715.294232
2002-02-08,23107.801497
2002-02-11,23734.303376
2002-02-12,23463.155408
2002-02-13,23634.567936
2002-02-14,23533.756512
2002-02-15,23556.021104
2002-02-19,23313.49482
2002-02-20,22970.60304
2002-02-21,23278.847926
2002-02-22,23299.423445
2002-02-25,22820.545155
2002-02-26,23308.097637
2002-02-27,23416.818848
2002-02-28,23627.25561
2002-03-01,24133.655174
2002-03-04,24239.888523
2002-03-05,24671.170555
2002-03-06,24765.904648
2002-03-07,25339.348398
2002-03-08,25422.616024
2002-03-11,25924.326797
2002-03-12,25832.904972
2002-03-13,25764.294712
2002-03-14,25984.331306
2002-03-15,26060.05325
2002-03-18,26510.867532
2002-03-19,26427.160375
2002-03-20,26186.134318
2002-03-21,26657.467548
2002-03-22,26384.34459
2002-03-25,26229.578869
2002-03-26,26423.731269
2002-03-27,26686.023888
2002-03-28,26815.547814
2002-04-01,27270.390944
2002-04-02,28002.760864
2002-04-03,27648.416871
2002-04-04,27019.268614
2002-04-05,26584.8963
2002-04-08,26824.34991
2002-04-09,26370.120631
2002-04-10,26391.119495
2002-04-11,25632.998504
2002-04-12,24745.93098
2002-04-15,25586.99923
2002-04-16,25737.870628
2002-04-17,26414.531728
2002-04-18,26498.876396
2002-04-19,26563.739125
2002-04-22,26580.075728
2002-04-23,26672.357655
2002-04-24,26365.505576
2002-04-25,26444.058102
2002-04-26,26683.118145
2002-04-29,27025.81209
2002-04-30,27112.047831
2002-05-01,26737.665552
2002-05-02,26349.625728
2002-05-03,26564.007798
2002-05-06,26303.50785
