"Index","SP500.usd"
2006-01-04,10274.27528
2006-01-05,10271.507636
2006-01-06,10367.796975
2006-01-09,10403.898615
2006-01-10,10400.705005
2006-01-11,10441.44424
2006-01-12,10373.231354
2006-01-13,10390.755178
2006-01-17,10350.459616
2006-01-18,10312.128342
2006-01-19,10368.602248
2006-01-20,10167.735549
2006-01-23,10190.686188
2006-01-24,10213.678692
2006-01-25,10196.988372
2006-01-26,10270.254375
2006-01-27,10349.607384
2006-01-30,10361.458818
2006-01-31,10320.260976
2006-02-01,10339.449012
2006-02-02,10245.766248
2006-02-03,10190.862666
2006-02-06,10192.519144
2006-02-07,10110.38985
2006-02-08,10194.81075
2006-02-09,10180.632546
2006-02-10,10199.396199
2006-02-13,10161.729276
2006-02-14,10264.827675
2006-02-15,10311.296
2006-02-16,10377.961744
2006-02-17,10360.99476
2006-02-21,10328.3915
2006-02-22,10402.891092
2006-02-23,10363.490025
2006-02-24,10370.88549
2006-02-27,10405.630684
2006-02-28,10297.018664
2006-03-01,10377.69588
2006-03-02,10360.302524
2006-03-03,10345.724956
2006-03-06,10273.37562
2006-03-07,10261.137312
2006-03-08,10289.12656
2006-03-09,10240.560939
2006-03-10,10316.07171
2006-03-13,10337.888565
2006-03-14,10441.859544
2006-03-15,10474.32627
2006-03-16,10493.54787
2006-03-17,10499.701275
2006-03-20,10481.75002
2006-03-21,10414.16244
2006-03-22,10477.905152
2006-03-23,10450.197261
2006-03-24,10462.558205
2006-03-27,10440.734454
2006-03-28,10373.256476
2006-03-29,10456.864851
2006-03-30,10434.896325
2006-03-31,10381.620225
2006-04-03,10409.73401
2006-04-04,10469.771403
2006-04-05,10506.90716
2006-04-06,10482.79232
2006-04-07,10379.41645
2006-04-10,10381.258368
2006-04-11,10306.71227
2006-04-12,10320.288628
2006-04-13,10336.80872
2006-04-17,10308.989265
2006-04-18,10489.61472
2006-04-19,10497.124055
2006-04-20,10509.38471
2006-04-21,10512.53176
2006-04-24,10486.463815
2006-04-25,10429.54088
2006-04-26,10467.169003
2006-04-27,10500.287184
2006-04-28,10503.097479
2006-05-01,10459.662141
2006-05-02,10523.933619
2006-05-03,10483.142868
2006-05-04,10516.240275
2006-05-05,10624.508064
2006-05-08,10606.55262
2006-05-09,10608.010728
2006-05-10,10587.429975
2006-05-11,10452.58368
2006-05-12,10338.31306
2006-05-15,10366.356
2006-05-16,10340.51624
2006-05-17,10163.83032
2006-05-18,10107.602824
2006-05-19,10161.5806
2006-05-22,10129.37382
2006-05-23,10077.7716
2006-05-24,10093.7314
2006-05-25,10214.862
2006-05-26,10273.284
2006-05-30,10119.27584
2006-05-31,10191.20216
2006-06-01,10311.908484
2006-06-02,10335.38906
2006-06-05,10132.062733
2006-06-06,10126.598125
2006-06-07,10070.55455
2006-06-08,10086.711705
2006-06-09,10032.42576
2006-06-12,9919.31904
2006-06-13,9817.66487
2006-06-14,9840.93502
2006-06-15,10050.410544
2006-06-16,10010.192382
2006-06-19,9930.589001
2006-06-20,9924.556348
2006-06-21,10018.8522
2006-06-22,9960.4404
2006-06-23,9955.7511
2006-06-26,10006.98112
2006-06-27,9911.7412
2006-06-28,9966.131
2006-06-29,10177.86852
2006-06-30,10152.0735
2006-07-03,10241.776038
2006-07-05,10162.19636
2006-07-06,10187.54368
2006-07-07,10105.49054
2006-07-10,10125.032728
2006-07-11,10168.624345
2006-07-12,10063.7656
2006-07-13,9928.798672
2006-07-14,9886.88036
2006-07-17,9874.068265
2006-07-18,9893.02471
2006-07-19,10082.889335
2006-07-20,9984.29609
2006-07-21,9900.987012
2006-07-24,10071.644716
2006-07-25,10135.432776
2006-07-26,10127.5398
2006-07-27,10074.02
2006-07-28,10191.32205
2006-07-31,10174.9802
2006-08-01,10134.95154
2006-08-02,10181.596405
2006-08-03,10210.15325
2006-08-04,10206.73408
2006-08-07,10165.973245
2006-08-08,10137.382892
2006-08-09,10098.48315
2006-08-10,10137.343148
2006-08-11,10105.671698
2006-08-14,10125.38864
2006-08-15,10286.56837
2006-08-16,10348.153926
2006-08-17,10352.59292
2006-08-18,10386.49365
2006-08-21,10339.158368
2006-08-22,10349.517288
2006-08-23,10305.001001
2006-08-24,10332.060714
2006-08-25,10330.026367
2006-08-28,10374.145176
2006-08-29,10385.068644
2006-08-30,10389.048219
2006-08-31,10371.757718
2006-09-01,10426.724732
2006-09-05,10428.51825
2006-09-06,10329.655518
2006-09-07,10275.81282
2006-09-08,10323.81616
2006-09-11,10336.801068
2006-09-12,10435.0675
2006-09-13,10476.02036
