"Index","price"
2001-08-13,13830.703016
2001-08-14,13778.476353
2001-08-15,13679.645941
2001-08-16,13722.18999
2001-08-17,13493.998112
2001-08-20,13603.665712
2001-08-21,13439.371232
2001-08-22,13534.055804
2001-08-23,13496.646688
2001-08-24,13762.997802
2001-08-27,13696.11744
2001-08-28,13490.439088
2001-08-29,13342.776645
2001-08-30,13116.665859
2001-08-31,13170.037742
2001-09-04,13162.512272
2001-09-05,13151.57361
2001-09-06,12857.263888
2001-09-07,12617.580849
2001-09-10,12696.292266
2001-09-11,12696.599062
2001-09-12,12696.599062
2001-09-13,12696.445664
2001-09-14,12696.138868
2001-09-17,12075.7053
2001-09-18,12005.829472
2001-09-19,11812.77735
2001-09-20,11445.958438
2001-09-21,11228.253987
2001-09-24,11666.4315
2001-09-25,11769.433452
2001-09-26,11711.896269
2001-09-27,11846.644201
2001-09-28,12106.392592
2001-10-01,12078.582544
2001-10-02,12227.233872
2001-10-03,12473.385904
2001-10-04,12442.596208
2001-10-05,12465.771248
2001-10-08,12361.582518
2001-10-09,12296.410947
2001-10-10,12578.832336
2001-10-11,12770.628268
2001-10-12,12703.26879
2001-10-15,12684.055032
2001-10-16,12772.189605
2001-10-17,12535.36505
2001-10-18,12437.10297
2001-10-19,12493.498528
2001-10-22,12684.91635
2001-10-23,12625.01688
2001-10-24,12629.913132
2001-10-25,12803.53661
2001-10-26,12856.33302
2001-10-29,12551.16003
2001-10-30,12336.073792
2001-10-31,12337.232544
2001-11-01,12621.941424
2001-11-02,12658.277015
2001-11-05,12840.544752
2001-11-06,13026.946431
2001-11-07,12995.586256
2001-11-08,13028.113294
2001-11-09,13048.970326
2001-11-12,13025.72123
2001-11-13,13269.464155
2001-11-14,13297.677288
2001-11-15,13310.16093
2001-11-16,13269.598407
2001-11-19,13414.20282
2001-11-20,13316.70441
2001-11-21,13251.482438
2001-11-23,13406.757082
2001-11-26,13489.52352
2001-11-27,13397.31774
2001-11-28,13155.533364
2001-11-29,13293.421626
2001-11-30,13284.243824
2001-12-03,13172.67996
2001-12-04,13346.492666
2001-12-05,13649.1028
2001-12-06,13611.854304
2001-12-07,13509.21812
2001-12-10,13294.76571
2001-12-11,13257.447168
2001-12-12,13263.15816
2001-12-13,13057.156386
2001-12-14,13100.601808
2001-12-17,13232.611106
2001-12-18,13332.517744
2001-12-19,13410.488709
2001-12-20,13299.834072
2001-12-21,13358.097198
2001-12-24,13355.12176
2001-12-26,13410.243916
2001-12-27,13505.008623
2001-12-28,13551.025264
2001-12-31,13399.649868
2002-01-02,13478.525866
2002-01-03,13602.426568
2002-01-04,13687.261392
2002-01-07,13598.204265
2002-01-08,13552.766968
2002-01-09,13488.53799
2002-01-10,13505.093752
2002-01-11,13378.20568
2002-01-14,13294.03554
2002-01-15,13385.075424
2002-01-16,13168.560768
2002-01-17,13300.983136
2002-01-18,13168.891836
2002-01-22,13072.302747
2002-01-23,13175.69141
2002-01-24,13222.442085
2002-01-25,13235.28221
2002-01-28,13233.284562
2002-01-29,12855.463418
2002-01-30,13008.092285
2002-01-31,13203.914275
2002-02-01,13110.630996
2002-02-04,12786.436574
2002-02-05,12735.05055
2002-02-06,12660.619689
2002-02-07,12623.966916
2002-02-08,12811.834998
2002-02-11,12996.314128
2002-02-12,12944.50136
2002-02-13,13077.592304
2002-02-14,13054.913872
2002-02-15,12911.642464
2002-02-19,12668.61066
2002-02-20,12840.379216
2002-02-21,12641.182244
2002-02-22,12745.065115
2002-02-25,12974.158635
2002-02-26,12974.968755
2002-02-27,12986.068166
2002-02-28,12949.329135
2002-03-01,13242.725532
2002-03-04,13501.366875
2002-03-05,13410.992305
2002-03-06,13608.38572
2002-03-07,13548.453906
2002-03-08,13627.748524
2002-03-11,13673.769876
2002-03-12,13642.319076
2002-03-13,13512.034666
2002-03-14,13500.4394
2002-03-15,13654.2329
2002-03-18,13647.032829
2002-03-19,13702.9046
2002-03-20,13487.443882
2002-03-21,13507.810996
2002-03-22,13450.29054
2002-03-25,13253.055049
2002-03-26,13332.835451
2002-03-27,13404.51154
2002-03-28,13437.779482
2002-04-01,13427.846602
2002-04-02,13312.965708
2002-04-03,13182.42798
2002-04-04,13193.366316
2002-04-05,13151.15976
2002-04-08,13184.26776
2002-04-09,13097.035484
2002-04-10,13246.339756
2002-04-11,12933.290544
2002-04-12,13019.125108
2002-04-15,12919.890932
2002-04-16,13222.661456
2002-04-17,13196.505504
2002-04-18,13177.964576
2002-04-19,13186.636925
2002-04-22,12982.953744
2002-04-23,12902.572467
2002-04-24,12811.263076
2002-04-25,12791.89396
2002-04-26,12615.267384
2002-04-29,12487.92375
2002-04-30,12622.8825
2002-05-01,12735.867645
2002-05-02,12715.257168
2002-05-03,12585.138012
2002-05-06,12342.01727
2002-05-07,12304.934518
2002-05-08,12768.292075
2002-05-09,12584.572108
2002-05-10,12373.188477
2002-05-13,12604.06332
2002-05-14,12871.06608
2002-05-15,12802.129537
2002-05-16,12886.398224
2002-05-17,12987.706256
2002-05-20,12815.207039
2002-05-21,12674.582508
2002-05-22,12747.57324
2002-05-23,12877.52214
2002-05-24,12722.068242
2002-05-28,12612.627974
2002-05-29,12533.352245
2002-05-30,12499.584125
2002-05-31,12528.717405
2002-06-03,12218.561142
2002-06-04,12218.874304
2002-06-05,12331.587772
2002-06-06,12088.5585
2002-06-07,12069.60417
2002-06-10,12107.43006
2002-06-11,11905.928496
2002-06-12,11986.275504
2002-06-13,11860.880469
2002-06-14,11834.28906
2002-06-17,12174.583932
2002-06-18,12186.549375
2002-06-19,11985.509652
2002-06-20,11824.39406
2002-06-21,11622.786591
2002-06-24,11664.7761
2002-06-25,11470.156867
2002-06-26,11445.546616
2002-06-27,11646.790181
2002-06-28,11637.105974
2002-07-01,11388.15876
2002-07-02,11148.653224
2002-07-03,11218.37472
2002-07-05,11630.27832
2002-07-08,11491.701348
2002-07-09,11208.420018
2002-07-10,10828.27578
2002-07-11,10910.312224
2002-07-12,10839.828456
2002-07-15,10799.237568
2002-07-16,10600.887982
2002-07-17,10660.481662
2002-07-18,10372.568528
2002-07-19,9974.988804
2002-07-22,9646.67796
2002-07-23,9386.03523
2002-07-24,9924.085869
2002-07-25,9868.382332
2002-07-26,10034.875088
2002-07-29,10578.45027
2002-07-30,10624.009292
2002-07-31,10729.417278
2002-08-01,10413.783652
2002-08-02,10173.759792
2002-08-05,9825.022269
2002-08-06,10119.132912
2002-08-07,10323.611832
2002-08-08,10661.382804
2002-08-09,10701.147204
2002-08-12,10644.709712
2002-08-13,10415.068212
2002-08-14,10834.400464
2002-08-15,10961.131776
2002-08-16,10944.909248
2002-08-19,11203.589421
2002-08-20,11047.04496
2002-08-21,11188.473412
2002-08-22,11345.97711
2002-08-23,11089.039893
2002-08-26,11172.416808
2002-08-27,11017.94304
2002-08-28,10820.095104
2002-08-29,10819.964376
2002-08-30,10800.065248
2002-09-03,10351.87836
2002-09-04,10536.996613
2002-09-05,10369.427844
2002-09-06,10543.90476
2002-09-09,10650.76083
2002-09-10,10728.89571
2002-09-11,10729.06125
2002-09-12,10465.351456
2002-09-13,10499.700176
2002-09-16,10515.26056
2002-09-17,10307.968491
2002-09-18,10260.87293
2002-09-19,9952.520928
2002-09-20,9977.140798
2002-09-23,9839.485396
2002-09-24,9669.35694
2002-09-25,9912.084364
2002-09-26,10094.75116
2002-09-27,9769.413616
2002-09-30,9626.830992
