"Index","price"
2001-12-04,2300.2723068
2001-12-05,2259.2037996
2001-12-06,2240.5409505
2001-12-07,2216.2368544
2001-12-10,2221.29849
2001-12-11,2230.8624576
2001-12-12,2245.6448224
2001-12-13,2225.9108679
2001-12-14,2214.4247328
2001-12-17,2206.4725558
2001-12-18,2224.3403392
2001-12-19,2239.7826171
2001-12-20,2236.6104478
2001-12-21,2233.05366
2001-12-24,2224.6921438
2001-12-25,2225.0169843
2001-12-26,2217.011459
2001-12-27,2232.8550192
2001-12-28,2227.2289424
2001-12-31,2242.9917064
2002-01-02,2223.9389732
2002-01-03,2230.088487
2002-01-04,2227.2620496
2002-01-07,2243.0601903
2002-01-08,2240.5666626
2002-01-09,2241.2227629
2002-01-10,2258.7586294
2002-01-11,2275.91308
2002-01-14,2275.1489562
2002-01-15,2281.6820096
2002-01-16,2279.1962625
2002-01-17,2264.6814624
2002-01-18,2273.1459948
2002-01-21,2273.471424
2002-01-22,2272.0203636
2002-01-23,2253.988904
2002-01-24,2250.5423271
2002-01-25,2245.8696575
2002-01-28,2244.8562342
2002-01-29,2261.6802692
2002-01-30,2261.603284
2002-01-31,2253.972351
2002-02-01,2262.4665462
2002-02-04,2275.8829148
2002-02-05,2279.265335
2002-02-06,2270.9857761
2002-02-07,2267.126272
2002-02-08,2274.5861406
2002-02-11,2271.8243408
2002-02-12,2260.7334288
2002-02-13,2254.476168
2002-02-14,2262.008056
2002-02-15,2278.520272
2002-02-18,2278.8265136
2002-02-19,2276.001183
2002-02-20,2276.6248848
2002-02-21,2279.003193
2002-02-22,2286.979033
2002-02-25,2282.691806
2002-02-26,2271.043713
2002-02-27,2287.23841
2002-02-28,2281.49999
2002-03-01,2262.532759
2002-03-04,2257.88376
2002-03-05,2257.067762
2002-03-06,2251.7152428
2002-03-07,2222.6579401
2002-03-08,2205.0773797
2002-03-11,2205.3303436
2002-03-12,2207.0151618
2002-03-13,2215.2333814
2002-03-14,2194.2890756
2002-03-15,2201.632895
2002-03-18,2210.4198558
2002-03-19,2207.228485
2002-03-20,2196.8302374
2002-03-21,2198.5153692
2002-03-22,2197.245528
2002-03-25,2195.3815098
2002-03-26,2207.1218234
2002-03-27,2208.15003
2002-03-28,2196.0687166
2002-03-29,2196.9792306
2002-04-01,2194.4463462
2002-04-02,2207.5044084
2002-04-03,2219.9221962
2002-04-04,2221.242556
2002-04-05,2233.507065
2002-04-08,2227.762827
2002-04-09,2233.3890346
2002-04-10,2230.9019317
2002-04-11,2234.7860596
2002-04-12,2243.162586
2002-04-15,2248.06036
2002-04-16,2241.2919388
2002-04-17,2233.767964
2002-04-18,2235.8455412
2002-04-19,2238.980975
2002-04-22,2243.824762
2002-04-23,2244.8617011
2002-04-24,2256.9324388
2002-04-25,2260.0861282
