"Index","price"
2007-09-28,2616.29136
2007-10-01,2618.8434
2007-10-02,2623.347
2007-10-03,2621.39544
2007-10-04,2624.39784
2007-10-05,2606.23332
2007-10-08,2605.775172
2007-10-09,2608.69968
2007-10-10,2607.316765
2007-10-11,2604.43188
2007-10-12,2602.012725
2007-10-15,2610.55984
2007-10-16,2611.82838
2007-10-17,2629.24712
2007-10-18,2636.28589
2007-10-19,2651.781394
2007-10-22,2652.130115
2007-10-23,2650.08613
2007-10-24,2658.725302
2007-10-25,2651.02224
2007-10-26,2648.58048
2007-10-29,2644.87925
2007-10-30,2643.86499
2007-10-31,2629.37028
2007-11-01,2644.70067
2007-11-02,2655.872765
2007-11-05,2651.61142
2007-11-06,2645.4246
2007-11-07,2647.29725
2007-11-08,2651.045075
2007-11-09,2656.42983
2007-11-13,2657.401915
2007-11-14,2652.6555
2007-11-15,2670.65826
2007-11-16,2673.85943
2007-11-19,2687.8407
2007-11-20,2690.111937
2007-11-21,2693.30562
2007-11-23,2688.90562
2007-11-26,2714.144517
2007-11-27,2697.06672
2007-11-28,2686.38165
2007-11-29,2694.72528
2007-11-30,2698.34652
2007-12-03,2715.607125
2007-12-04,2714.80559
2007-12-05,2711.418842
2007-12-06,2705.112015
2007-12-07,2681.95884
2007-12-10,2675.42904
2007-12-11,2697.42514
2007-12-12,2680.89144
2007-12-13,2664.088
2007-12-14,2656.28727
2007-12-17,2667.504012
2007-12-18,2681.27195
2007-12-19,2686.92471
2007-12-20,2691.23249
2007-12-21,2667.38205
2007-12-24,2653.768809
2007-12-26,2640.896288
2007-12-27,2644.835418
2007-12-28,2658.035031
2007-12-31,2668.91814
2008-01-02,2688.348804
2008-01-03,2680.936398
2008-01-04,2692.97371
2008-01-07,2694.984662
2008-01-08,2693.823407
2008-01-09,2702.42238
2008-01-10,2690.708856
2008-01-11,2701.867875
2008-01-14,2700.386085
2008-01-15,2709.486873
2008-01-16,2706.942672
2008-01-17,2724.821226
2008-01-18,2724.770529
2008-01-22,2753.357328
2008-01-23,2760.675384
2008-01-24,2720.1818
2008-01-25,2726.472072
2008-01-28,2720.640468
2008-01-29,2707.656717
2008-01-30,2693.89242
2008-01-31,2708.551264
2008-02-01,2717.25707
2008-02-04,2715.014169
2008-02-05,2723.74176
2008-02-06,2723.492376
2008-02-07,2705.374584
2008-02-08,2719.753784
2008-02-11,2726.19952
2008-02-12,2715.0159
2008-02-13,2718.067451
2008-02-14,2697.688
2008-02-15,2700.4698
2008-02-19,2673.0275
2008-02-20,2661.92584
2008-02-21,2685.80151
2008-02-22,2687.181328
2008-02-25,2670.69984
2008-02-26,2680.86906
