"Index","equity.value","market.value","loan"
2006-08-01,9980,20000,10000
2006-08-02,10005.7612230517,20025.7612230517,10000
2006-08-03,10016.8901788894,20036.8901788894,10000
2006-08-04,10032.45784243,20052.45784243,10000
2006-08-07,9996.46661380613,20016.4666138061,10000
2006-08-08,10011.2848003728,20031.2848003728,10000
2006-08-09,10022.6244665662,20042.6244665662,10000
2006-08-10,10015.3551422693,20035.3551422693,10000
2006-08-11,9990.56458667623,20010.5645866762,10000
2006-08-14,9947.62550900271,19882.4942893469,9914.78356390807
2006-08-15,10024.8362766313,19959.7050569755,9914.78356390807
2006-08-16,10084.1221618167,20131.5497656978,10027.2299410679
2006-08-17,10056.7571453086,20141.6683464658,10064.6760921928
2006-08-18,10074.1414514587,20159.0526526159,10064.6760921928
2006-08-21,10066.4403710608,20151.351572218,10064.6760921928
2006-08-22,10090.5791481784,20175.4903493356,10064.6760921928
2006-08-23,10078.1740600457,20200.4137791347,10101.9673188979
2006-08-24,10080.4256774504,20202.6653965395,10101.9673188979
2006-08-25,10097.7939364714,20220.0336555604,10101.9673188979
2006-08-28,10086.1308131887,20250.9440202808,10144.498275944
2006-08-29,10078.6081954152,20243.4214025074,10144.498275944
2006-08-30,10091.0659218624,20255.8791289546,10144.498275944
2006-08-31,10123.2364278495,20288.0496349417,10144.498275944
2006-09-01,10128.9449959855,20293.7582030777,10144.498275944
2006-09-05,10132.0284057207,20296.8416128129,10144.498275944
2006-09-06,10109.3442526198,20274.157459712,10144.498275944
2006-09-07,10053.1455698832,20217.9587769754,10144.498275944
2006-09-08,10060.0195954941,20224.8328025862,10144.498275944
2006-09-11,10006.8115887954,20084.2959175245,10057.0819812863
2006-09-12,10027.3036512273,20115.1260138016,10067.3422828555
2006-09-13,10046.1215699083,20133.9439324826,10067.3422828555
2006-09-14,10040.1727988155,20171.353324446,10110.6571310634
2006-09-15,10043.4893033336,20118.7908095677,10054.7221767127
2006-09-18,10095.0453639194,20170.3468701535,10054.7221767127
2006-09-19,10074.1032236272,20149.4047298613,10054.7221767127
2006-09-20,10058.8838011386,20134.1853073727,10054.7221767127
2006-09-21,10116.5914834561,20191.8929896902,10054.7221767127
2006-09-22,10110.2124263438,20095.7610267685,9964.87942815482
2006-09-25,10135.5617998349,20203.7357568373,10047.4222419187
2006-09-26,10125.7612805282,20193.9352375306,10047.4222419187
2006-09-27,10164.0262952307,20232.2002522331,10047.4222419187
2006-09-28,10179.1676821649,20247.3416391673,10047.4222419187
2006-09-29,10208.3893604968,20276.5633174992,10047.4222419187
2006-10-09,10201.0295659054,20354.8502392307,10132.9833970865
2006-10-10,10184.8783094629,20378.6614761752,10172.9059679026
2006-10-11,10180.2459321387,20374.029098851,10172.9059679026
2006-10-12,10213.5817002257,20376.9486308926,10142.4592851746
2006-10-13,10228.5768344731,20391.9437651401,10142.4592851746
2006-10-16,10278.0209407843,20533.5135733943,10234.4929534493
2006-10-17,10273.9353795492,20529.4280121592,10234.4929534493
2006-10-18,10294.0141433044,20549.5067759143,10234.4929534493
2006-10-19,10326.368173863,20669.7399148168,10322.2842704762
2006-10-20,10331.2806984539,20674.6524394078,10322.2842704762
2006-10-23,10283.6861126563,20627.0578536101,10322.2842704762
2006-10-24,10312.4556855215,20655.8274264753,10322.2842704762
2006-10-25,10372.2465266989,20715.6182676528,10322.2842704762
2006-10-26,10433.1096790615,20897.7814926858,10443.4631642529
2006-10-27,10424.0744793004,20888.7462929247,10443.4631642529
2006-10-30,10412.3629105008,20841.6783308062,10408.0713791489
2006-10-31,10443.5726269623,20830.629866666,10365.7708980661
2006-11-01,10482.7396381202,20869.7968778239,10365.7708980661
2006-11-02,10468.5107681673,20855.5680078711,10365.7708980661
2006-11-03,10438.4207230928,20825.4779627966,10365.7708980661
2006-11-06,10490.4658858835,20877.5231255873,10365.7708980661
2006-11-07,10529.467995124,21024.744538136,10473.8820901822
2006-11-08,10508.2544500686,21003.5309930805,10473.8820901822
2006-11-09,10555.9833977046,21051.2599407166,10473.8820901822
2006-11-10,10560.0359201189,21055.3124631308,10473.8820901822
2006-11-13,10520.1386887074,21015.4152317193,10473.8820901822
2006-11-14,10545.4159477587,21040.6924907707,10473.8820901822
2006-11-15,10558.4984050899,21004.1993647809,10424.2568816528
2006-11-16,10542.064378038,20987.765337729,10424.2568816528
2006-11-17,10578.5092601608,21024.2102198518,10424.2568816528
2006-11-20,10594.5475888779,21040.248548569,10424.2568816528
2006-11-21,10624.2046012171,21160.9278340755,10515.1882234783
2006-11-22,10658.0646409092,21287.6888953683,10607.9964368656
2006-11-24,10658.6338975977,21288.2581520568,10607.9964368656
2006-11-27,10647.8996481216,21277.5239025807,10607.9964368656
2006-11-28,10660.0506102344,21289.6748646935,10607.9964368656
2006-11-29,10682.9228548415,21312.5471093006,10607.9964368656
2006-11-30,10766.208955491,21480.2428859643,10692.2212896817
2006-12-01,10755.4087786725,21511.6733418748,10734.4097339664
2006-12-04,10783.668419013,21539.9329822153,10734.4097339664
2006-12-05,10778.2587715861,21534.5233347884,10734.4097339664
2006-12-06,10735.4000340199,21491.6645972223,10734.4097339664
2006-12-07,10738.739170966,21495.0037341683,10734.4097339664
2006-12-08,10649.8030746426,21406.0676378449,10734.4097339664
2006-12-11,10734.1797496452,21441.2790105154,10685.1952171175
2006-12-12,10755.0467641947,21462.146025065,10685.1952171175
2006-12-13,10711.8168394094,21384.9738770645,10651.2190177029
2006-12-14,10732.7496766606,21405.9067143157,10651.2190177029
2006-12-15,10746.4737911957,21419.6308288508,10651.2190177029
2006-12-18,10738.9572931349,21412.1143307899,10651.2190177029
2006-12-19,10752.3882790584,21425.5453167135,10651.2190177029
2006-12-20,10773.3290183723,21482.2074114133,10686.8072885639
2006-12-21,10764.2956636731,21473.1740567141,10686.8072885639
2006-12-22,10714.2008545875,21423.0792476285,10686.8072885639
2006-12-27,10771.5683672451,21535.7100716267,10742.0153918012
2006-12-28,10785.5470542397,21549.6887586212,10742.0153918012
2006-12-29,10814.0482551072,21523.9594604927,10687.7306080215
2007-01-04,10755.8323581813,21465.7435635669,10687.7306080215
2007-01-05,10690.0484318367,21399.9596372223,10687.7306080215
2007-01-08,10700.0755500432,21409.9867554288,10687.7306080215
2007-01-09,10745.9162303609,21412.3848440577,10644.2445302549
2007-01-10,10730.6748415458,21397.1434552426,10644.2445302549
2007-01-11,10706.1329485824,21423.9683509199,10695.5600034225
2007-01-12,10706.7330445967,21424.5684469342,10695.5600034225
2007-01-16,10757.9141861662,21475.7495885037,10695.5600034225
2007-01-17,10728.6159149481,21446.4513172856,10695.5600034225
2007-01-18,10728.9429587062,21446.7783610437,10695.5600034225
2007-01-19,10773.0887042004,21490.9241065379,10695.5600034225
2007-01-22,10803.5919953449,21566.9267206909,10740.9242572752
2007-01-23,10843.8419708922,21607.1766962382,10740.9242572752
2007-01-24,10864.0625990855,21627.3973244315,10740.9242572752
2007-01-25,10789.7526845173,21553.0874098633,10740.9242572752
2007-01-29,10829.9659421627,21593.3006675087,10740.9242572752
2007-01-30,10866.9198662584,21630.2545916044,10740.9242572752
2007-01-31,10884.1026066283,21738.3309356005,10831.7270581007
2007-02-01,10873.363027526,21727.5913564983,10831.7270581007
2007-02-02,10837.9351065499,21692.1634355221,10831.7270581007
2007-02-05,10837.8162452958,21743.4929759097,10883.1240627376
2007-02-06,10889.0922995535,21794.7690301674,10883.1240627376
2007-02-07,10915.8637554115,21786.0670429045,10847.6151106647
2007-02-08,10929.9839158294,21800.1872033224,10847.6151106647
2007-02-09,10922.6065404348,21749.6962157927,10804.4583417607
2007-02-12,10902.8125295154,21673.0210119768,10747.5202107331
2007-02-13,10934.2485919421,21797.4524562633,10840.4226901136
2007-02-14,11026.978762304,22047.5273717371,10997.6102476679
2007-02-15,11068.3934165908,22088.9420260239,10997.6102476679
2007-02-16,11093.5193623586,22114.0679717917,10997.6102476679
2007-02-26,11216.4691471361,22440.0137139474,11200.403411882
2007-02-27,11108.9290082435,22235.9694510627,11103.8026871651
2007-02-28,11055.5308444936,22182.5712873128,11103.8026871651
2007-03-01,11018.8087675406,22054.7359153888,11012.5981876946
2007-03-02,11001.7883701567,21939.1537536458,10913.9377629107
2007-03-05,10917.9519289699,21745.0619135462,10803.5719982333
2007-03-06,10992.0491161448,21819.1591007211,10803.5719982333
2007-03-07,11044.2877285633,21995.2866277334,10927.3371476777
2007-03-08,11071.3922285191,22022.3911276892,10927.3371476777
2007-03-09,11030.6252524408,21981.6241516109,10927.3371476777
2007-03-12,11067.0256699093,22018.0245690794,10927.3371476777
2007-03-13,11048.5420665448,22041.8462664225,10969.6001853475
2007-03-14,10982.0031753266,21975.3073752043,10969.6001853475
2007-03-15,11031.1095904249,22024.4137903026,10969.6001853475
2007-03-16,11025.1922255979,22018.4964254756,10969.6001853475
2007-03-19,11064.2273605615,22057.5315604392,10969.6001853475
2007-03-20,11103.5442705557,22096.8484704333,10969.6001853475
2007-03-21,11151.2844654731,22219.9152076162,11044.7748230324
2007-03-22,11153.1702752106,22331.7292616877,11154.5932489405
2007-03-23,11154.59551707,22333.1545035471,11154.5932489405
2007-03-26,11196.2072084693,22374.7661949464,11154.5932489405
2007-03-27,11177.2994456327,22355.8584321098,11154.5932489405
2007-03-28,11170.1154916512,22348.6744781282,11154.5932489405
2007-03-29,11192.3180098287,22324.2010770973,11107.8706070901
2007-03-30,11214.6860160152,22346.5690832837,11107.8706070901
2007-04-02,11239.9861124927,22371.8691797613,11107.8706070901
2007-04-03,11271.559364142,22514.4877684181,11218.805009695
2007-04-04,11329.1327896459,22628.4062938861,11275.0035806363
2007-04-05,11324.0525877514,22623.3260919916,11275.0035806363
2007-04-10,11360.647120609,22771.9777919173,11386.9488024826
2007-04-11,11340.4209116786,22751.7515829869,11386.9488024826
2007-04-12,11379.2096443379,22738.8751819764,11335.2319519623
2007-04-13,11381.7923044728,22704.5879807287,11298.3251838116
2007-04-16,11460.9771239979,22985.5482886304,11499.8990982736
2007-04-17,11471.467502941,22996.0386675735,11499.8990982736
2007-04-18,11449.275861915,22973.8470265475,11499.8990982736
2007-04-19,11361.2371639882,22885.8083286206,11499.8990982736
2007-04-20,11412.3756516364,22936.9468162689,11499.8990982736
2007-04-23,11456.4642878112,22981.0354524437,11499.8990982736
2007-04-24,11471.8607876325,22996.431952265,11499.8990982736
2007-04-26,11466.0996218363,22990.6707864687,11499.8990982736
2007-04-27,11451.3516790614,22975.9228436939,11499.8990982736
2007-04-30,11494.5155476844,23019.0867123168,11499.8990982736
2007-05-08,11542.8979226802,23104.1469441762,11536.4249095682
2007-05-09,11518.4597954583,23079.7088169543,11536.4249095682
2007-05-10,11484.9400146516,23046.1890361476,11536.4249095682
2007-05-11,11470.4369422912,23031.6859637872,11536.4249095682
2007-05-14,11475.7784521278,23037.0274736237,11536.4249095682
2007-05-15,11436.6679822651,22997.9170037611,11536.4249095682
2007-05-16,11434.5576652679,22995.8066867639,11536.4249095682
2007-05-17,11405.6210262619,22858.8507703283,11428.2975047337
2007-05-18,11393.307467694,22804.6456938176,11386.3640533396
2007-05-21,11411.0184698001,22822.3566959237,11386.3640533396
2007-05-22,11356.2381552844,22732.4706476179,11351.2231786749
2007-05-23,11346.1044742167,22722.3369665502,11351.2231786749
2007-05-24,11283.2127725965,22659.44526493,11351.2231786749
2007-05-25,11308.741692377,22684.9741847105,11351.2231786749
2007-05-29,11333.0219129498,22650.4743232994,11292.3842577701
2007-05-30,11272.4494401429,22549.1603032603,11251.5091762118
2007-05-31,11344.8683347384,22621.5791978559,11251.5091762118
2007-06-01,11353.2330460783,22682.4856888512,11303.9231797675
2007-06-04,11342.3011857273,22671.5538285002,11303.9231797675
2007-06-05,11306.762832863,22636.0154756359,11303.9231797675
2007-06-07,11184.1123688998,22371.9864798732,11162.4031279162
2007-06-08,11156.6547626999,22344.5288736733,11162.4031279162
2007-06-12,11082.2937649336,22129.9057227304,11022.0005721838
2007-06-13,11120.0809621443,22167.692919941,11022.0005721838
2007-06-14,11125.661067424,22258.6887868494,11107.3310033812
2007-06-15,11182.1455126394,22411.3016866178,11203.2849261924
2007-06-18,11237.1288183984,22466.2849923768,11203.2849261924
2007-06-19,11242.4596386374,22471.6158126158,11203.2849261924
2007-06-20,11192.7416992924,22421.8978732708,11203.2849261924
2007-06-21,11176.5921113979,22405.7482853764,11203.2849261924
2007-06-22,11162.6887704528,22391.8449444313,11203.2849261924
2007-06-25,11146.0117456471,22375.1679196255,11203.2849261924
2007-06-26,11090.1580258891,22319.3141998675,11203.2849261924
2007-06-27,11094.3687454897,22323.5249194681,11203.2849261924
2007-06-28,11102.2388372118,22331.3950111903,11203.2849261924
2007-06-29,11142.5890699224,22371.7452439008,11203.2849261924
2007-07-02,11221.9208079804,22451.0769819588,11203.2849261924
2007-07-03,11214.623885699,22443.7800596774,11203.2849261924
2007-07-05,11145.8087259923,22336.3458898024,11164.6272583563
2007-07-06,11171.5525294611,22362.0896932713,11164.6272583563
2007-07-09,11239.518662949,22430.0558267591,11164.6272583563
2007-07-10,11236.0246549504,22426.5618187606,11164.6272583563
2007-07-11,11191.1190370902,22381.6562009004,11164.6272583563
2007-07-12,11249.0057111609,22439.542874971,11164.6272583563
2007-07-13,11276.9956741964,22562.4529235241,11259.4525186136
2007-07-16,11279.1118878453,22564.569137173,11259.4525186136
2007-07-17,11259.9244635682,22545.381712896,11259.4525186136
2007-07-18,11306.2802984502,22591.737547778,11259.4525186136
2007-07-19,11331.8620287249,22617.3192780527,11259.4525186136
2007-07-20,11411.751596015,22817.2917290076,11379.4154393576
2007-07-23,11393.2389113361,22798.7790443286,11379.4154393576
2007-07-24,11352.6303394955,22712.7635004148,11333.9630148598
2007-07-25,11360.1013995446,22720.2345604638,11333.9630148598
2007-07-26,11355.5602455492,22835.1105280725,11453.1594883764
2007-07-27,11272.2959765995,22587.12970924,11288.1737439926
2007-07-30,11352.5578306908,22667.3915633313,11288.1737439926
2007-07-31,11379.8781581161,22791.9773099022,11385.3419948874
2007-08-01,11324.5288751567,22736.6280269428,11385.3419948874
2007-08-02,11374.7389410729,22786.8380928591,11385.3419948874
2007-08-03,11390.2895445821,22752.9035995038,11335.7147730942
2007-08-06,11381.3609568856,22743.9750118073,11335.7147730942
2007-08-07,11404.9343974159,22729.0073943061,11297.1351354251
2007-08-08,11414.9132496739,22738.9862465641,11297.1351354251
2007-08-09,11376.0508182995,22700.1238151897,11297.1351354251
2007-08-10,11345.6872022746,22669.7601991648,11297.1351354251
2007-08-13,11379.8215076754,22703.8945045656,11297.1351354251
2007-08-14,11354.9800922937,22679.0530891839,11297.1351354251
2007-08-15,11320.4482133724,22760.7684205574,11413.2662146406
2007-08-16,11284.3065592946,22509.2918301367,11197.7157278109
2007-08-17,11273.5666091738,22455.7518208505,11154.8728257434
2007-08-20,11393.7933493761,22526.6705707281,11105.515478071
2007-08-21,11429.5127701212,22673.4779379421,11216.4924475704
2007-08-22,11466.8319223385,22809.520561507,11315.1172940716
2007-08-23,11515.9234843245,22816.007762151,11272.4702857212
2007-08-24,11539.0198765656,22944.4410035862,11377.7019032977
2007-08-27,11551.490237113,22956.9113641336,11377.7019032977
2007-08-28,11522.048603464,22973.8455401134,11424.0313834464
2007-08-29,11531.0534481008,22982.8503847501,11424.0313834464
2007-08-30,11560.0088535407,23011.8057901901,11424.0313834464
2007-08-31,11618.9849460144,23070.7818826637,11424.0313834464
2007-09-04,11666.0870641144,23354.664542683,11660.5753813677
2007-09-05,11681.8190917218,23370.3965702905,11660.5753813677
2007-09-06,11702.1895919903,23390.7670705589,11660.5753813677
2007-09-07,11727.4060645814,23415.9835431501,11660.5753813677
2007-09-10,11728.8367453828,23455.0161175491,11698.1397106361
2007-09-11,11720.4430536998,23446.6224258661,11698.1397106361
2007-09-12,11728.5930542315,23454.7724263979,11698.1397106361
2007-09-13,11693.2056253184,23419.3849974847,11698.1397106361
2007-09-14,11723.0305410153,23540.1885778937,11789.0274875713
2007-09-17,11735.1988702761,23552.3569071545,11789.0274875713
2007-09-18,11814.268549011,23683.8108518459,11841.2747154393
2007-09-19,11823.9827615326,23614.7300244729,11762.4008016309
2007-09-20,11790.4871483834,23709.8290985776,11890.8670226637
2007-09-21,11784.0077089728,23703.349659167,11890.8670226637
2007-09-24,11807.1556887084,23726.4976389026,11890.8670226637
2007-09-25,11801.5518714236,23720.8938216178,11890.8670226637
2007-09-26,11819.1030423648,23700.4218983358,11852.8058672851
2007-09-27,11896.5398709734,23881.6999714346,11956.5433742684
2007-09-28,11960.1635859496,23945.3236864108,11956.5433742684
2007-10-08,11937.9326782991,23870.2602290211,11903.657939094
2007-10-09,11995.0209586378,23927.3485093597,11903.657939094
2007-10-10,12018.2085959383,24003.3966543339,11956.3859369162
2007-10-11,12080.8262282885,24193.5240412685,12083.7683091284
2007-10-12,12081.4492988046,24194.1471117846,12083.7683091284
2007-10-15,12135.2353168765,24207.1986350397,12042.9930390416
2007-10-16,12103.7160999398,24175.6794181031,12042.9930390416
2007-10-17,12145.4581999641,24217.4215181274,12042.9930390416
2007-10-18,12161.4603977534,24330.7469203174,12140.2190174639
2007-10-19,12142.0243930351,24366.0886048296,12194.9419837281
2007-10-22,12057.4877319545,24173.913226871,12087.1955203868
2007-10-23,12108.0362667933,24224.4617617098,12087.1955203868
2007-10-24,12131.9996981874,24248.425193104,12087.1955203868
2007-10-25,12114.4683576139,24230.8938525305,12087.1955203868
2007-10-26,12197.0838132578,24268.675173072,12042.3165062704
2007-10-29,12281.0791153007,24616.1067050263,12305.4895631249
2007-10-30,12248.7288597864,24583.756449512,12305.4895631249
2007-10-31,12271.1366153399,24606.1642050654,12305.4895631249
2007-11-01,12242.0366223994,24577.064212125,12305.4895631249
2007-11-02,12260.5040330698,24595.5316227954,12305.4895631249
2007-11-05,12207.3122045219,24502.0799305201,12265.1893992336
2007-11-06,12273.3184180879,24568.0861440861,12265.1893992336
2007-11-07,12256.6084330008,24597.4837135,12311.2508922416
2007-11-08,12201.7542570654,24486.6770433504,12255.1419194314
2007-11-09,12181.8834395382,24466.8062258232,12255.1419194314
2007-11-12,12070.4332574775,24146.104316216,12045.5465548543
2007-11-13,12116.2861091124,24191.9571678509,12045.5465548543
2007-11-14,12166.6527524829,24341.8027618907,12144.9261259525
