"Index","value"
2007-10-19,1e+05
2007-10-22,99731.8079768051
2007-10-23,99890.3762820962
2007-10-24,99930.1978045587
2007-10-25,99985.3346801722
2007-10-26,100220.903869516
2007-10-29,100497.954339871
2007-10-30,100426.987876695
2007-10-31,100577.44679168
2007-11-01,100375.647438564
2007-11-02,100515.192293576
2007-11-05,100417.210002808
2007-11-06,100708.469133535
2007-11-07,100730.485344844
2007-11-08,100653.953033306
2007-11-09,100543.985285028
2007-11-12,100136.769972092
2007-11-13,100304.235447546
2007-11-14,100381.417607237
2007-11-15,100134.691862997
2007-11-16,100175.755737344
2007-11-19,100180.410115519
2007-11-20,100371.001780471
2007-11-21,100167.838691592
2007-11-23,100397.200945743
2007-11-26,100507.7764308
2007-11-27,100334.52295928
2007-11-28,100278.992029806
2007-11-29,100386.784958925
2007-11-30,100268.585624868
2007-12-03,100324.511865501
2007-12-04,100317.009804807
2007-12-05,100310.457971159
2007-12-06,100408.05721685
2007-12-07,100303.936754682
2007-12-10,100347.057075076
2007-12-11,100272.515447712
2007-12-12,100301.729026461
2007-12-13,100048.202611483
2007-12-14,99727.5349561501
2007-12-17,99652.5921091315
2007-12-18,99739.2175502648
2007-12-19,99852.3978929664
2007-12-20,99890.3488081098
2007-12-21,100104.610792108
2007-12-27,100504.865800542
2007-12-28,100599.975206863
2008-01-02,100802.749369125
2008-01-03,100863.33741945
2008-01-04,100808.63846054
2008-01-07,100779.289467125
2008-01-08,100861.379212072
2008-01-09,100976.06711594
2008-01-10,101008.381218825
2008-01-11,101081.424739395
2008-01-14,101345.604081438
2008-01-15,101233.790594857
2008-01-16,100887.624040597
2008-01-17,100857.880388511
2008-01-18,100752.306987924
2008-01-22,100348.962253692
2008-01-23,100622.737888548
2008-01-24,100779.097513058
2008-01-25,100846.982977411
2008-01-29,101092.88461058
2008-01-30,101172.779548704
2008-01-31,101335.996947028
2008-02-01,101624.486232211
2008-02-04,101756.28187644
2008-02-05,101707.328757288
2008-02-13,101715.307202361
2008-02-14,101643.867265173
2008-02-15,101690.214099333
2008-02-19,101678.143491401
2008-02-20,101594.104027929
2008-02-21,101798.284277034
2008-02-22,101832.192096923
2008-02-25,101946.794237509
2008-02-26,102083.280882108
2008-02-27,102278.617638671
2008-02-28,102342.982805602
2008-02-29,102461.746495008
2008-03-03,102646.826482929
2008-03-04,102389.168638543
2008-03-05,102346.200574546
2008-03-06,102392.349839169
2008-03-07,102369.489296663
2008-03-10,102241.542355509
2008-03-11,102239.197978443
2008-03-12,102476.262495401
2008-03-13,102489.06175354
2008-03-14,102516.818437934
2008-03-17,102349.724446369
2008-03-18,102188.079531952
2008-03-19,101989.837046674
2008-03-20,101675.583333496
2008-03-25,102135.619694678
2008-03-26,102271.841177886
2008-03-27,102059.615030535
2008-03-28,102052.337666487
2008-03-31,101995.539581713
2008-04-01,101632.635554937
2008-04-02,101744.597043576
2008-04-03,101886.39164434
2008-04-07,102115.353644122
2008-04-08,102043.821965292
2008-04-09,102109.730025978
2008-04-10,102112.980225079
2008-04-11,102104.796221665
2008-04-14,102089.676365551
2008-04-15,102138.093889606
2008-04-16,102266.874975714
2008-04-17,102174.966923601
2008-04-18,102119.213613151
2008-04-21,102120.9761243
2008-04-22,102137.962645472
2008-04-23,102231.976010933
2008-04-24,102094.876984605
2008-04-28,102183.764209729
2008-04-29,101970.549691964
2008-04-30,102137.349519611
2008-05-05,102353.302051722
2008-05-06,102456.204453633
2008-05-07,102159.796762337
2008-05-08,102332.916046628
2008-05-09,102444.161148663
2008-05-12,102625.172668732
2008-05-13,102458.439833918
2008-05-14,102419.470482827
2008-05-15,102425.820070483
2008-05-16,102698.605607782
2008-05-19,102690.751457779
2008-05-20,102720.162162675
2008-05-21,102747.780881347
2008-05-22,102584.716576753
2008-05-23,102565.802152693
2008-05-27,102558.67628762
2008-05-28,102460.412912789
2008-05-29,102162.379042223
2008-05-30,102202.831768168
2008-06-02,102264.380224061
2008-06-03,102222.119476544
2008-06-04,102150.386156859
2008-06-05,102248.913825561
2008-06-06,102407.395126947
2008-06-10,101799.977435187
2008-06-11,101833.281584749
2008-06-12,101570.243157677
2008-06-13,101528.398768114
2008-06-16,101629.497620947
2008-06-17,101719.072555663
2008-06-18,101825.903955182
2008-06-19,101667.622369339
2008-06-20,101751.268458704
2008-06-23,101721.057994135
2008-06-24,101710.983352152
2008-06-25,101830.025592017
2008-06-26,101902.748954852
2008-06-27,102007.108901214
2008-06-30,101935.163694978
2008-07-01,101890.403370945
2008-07-02,101946.527180282
2008-07-03,101836.849523422
2008-07-07,101864.206621574
2008-07-08,101752.034621824
2008-07-09,101872.594139782
2008-07-10,101947.927256374
2008-07-11,102018.241004432
2008-07-14,102127.452501645
2008-07-15,102001.856407896
2008-07-16,101768.352054277
2008-07-17,101707.63517579
2008-07-18,101582.636822096
