"Index","value"
2007-10-12,1e+05
2007-10-15,99998.3767733054
2007-10-16,99835.4431297405
2007-10-17,99997.7804008045
2007-10-18,100099.588599396
2007-10-19,100135.837860133
2007-10-22,100007.609040636
2007-10-23,100080.940066285
2007-10-24,100124.04453567
2007-10-25,100145.407241971
2007-10-26,100173.556286711
2007-10-29,100314.286012205
2007-10-30,100361.090127032
2007-10-31,100393.361960704
2007-11-01,100296.584054649
2007-11-02,100429.380820051
2007-11-05,100410.734902642
2007-11-06,100554.214134354
2007-11-07,100578.768469594
2007-11-08,100615.84098035
2007-11-09,100546.415335499
2007-11-12,100373.271902498
2007-11-13,100504.425335292
2007-11-14,100440.855575939
2007-11-15,100403.208807267
2007-11-16,100486.401199869
2007-11-19,100575.818424534
2007-11-20,100744.20644804
2007-11-21,100603.293935719
2007-11-22,100671.778485976
2007-11-23,100654.041346596
2007-11-26,100824.196006105
2007-11-27,100736.553620374
2007-11-28,100694.807579071
2007-11-29,100743.992485947
2007-11-30,100678.945473074
2007-12-03,100739.595821659
2007-12-04,100728.435610505
2007-12-05,100671.391546166
2007-12-06,100677.674534743
2007-12-07,100535.903946216
2007-12-10,100488.152225503
2007-12-11,100458.163414177
2007-12-12,100446.251332817
2007-12-13,100282.419777945
2007-12-14,100013.254577093
2007-12-17,100054.519831519
2007-12-18,100169.688407293
2007-12-19,100262.036790747
2007-12-20,100287.566850567
2007-12-21,100334.286135314
2007-12-24,100318.966536897
2007-12-25,100358.365690205
2007-12-26,100481.108519023
2007-12-27,100565.114249692
2007-12-28,100665.389484353
2008-01-02,100838.592843944
2008-01-03,100877.114976357
2008-01-04,100881.488982307
2008-01-07,100942.247193284
2008-01-08,100969.610428369
2008-01-09,101045.102233764
2008-01-10,101190.037624012
2008-01-11,101272.026996887
2008-01-14,101430.999067097
2008-01-15,101475.742632503
2008-01-16,101395.556416549
2008-01-17,101415.131393022
2008-01-18,101416.957445179
2008-01-21,101247.410719737
2008-01-22,101585.029259396
