"Index","value"
2003-05-16,1e+05
2003-05-19,100567.194137035
2003-05-20,100404.164253507
2003-05-21,101501.264706621
2003-05-22,100973.696522463
2003-05-23,101032.617542022
2003-05-27,100857.201015565
2003-05-28,100243.031410121
2003-05-29,100268.192370226
2003-05-30,100224.748109564
2003-06-02,101018.349775628
2003-06-03,100720.904224596
2003-06-04,100169.840475106
2003-06-05,101279.520075472
2003-06-06,101076.173211174
2003-06-09,100754.842212109
2003-06-10,99983.4137535959
2003-06-11,100491.411926181
2003-06-12,99639.3882760376
2003-06-13,99253.9410571509
2003-06-16,99108.5666039119
2003-06-17,99421.6599505746
2003-06-18,98606.0749072462
2003-06-19,99003.5666412278
2003-06-20,98734.2030936958
2003-06-23,98234.1636785872
2003-06-24,97041.0225677806
2003-06-25,97988.2797683497
2003-06-26,96797.8354137114
2003-06-27,96992.912722793
2003-06-30,97470.790228269
2003-07-01,97937.092296802
2003-07-02,97916.3474713612
2003-07-03,97980.9210931267
2003-07-07,97578.0426229553
2003-07-08,97700.2329894198
2003-07-09,97959.610286892
2003-07-10,98070.9564747632
2003-07-11,98008.5723891325
2003-07-14,98333.5670322622
2003-07-15,97687.4748092319
2003-07-16,97309.7234579869
2003-07-17,97585.4812502204
2003-07-18,98057.9009426415
2003-07-21,98322.4473396615
2003-07-22,97636.0699236321
2003-07-23,98442.0705869806
2003-07-24,99063.3538306062
2003-07-25,99238.9940713562
2003-07-28,99901.4888551531
2003-07-29,99533.0465332538
2003-07-30,99270.7084680012
2003-07-31,99221.2498556444
2003-08-01,99540.5712001531
2003-08-04,99872.2179569192
2003-08-05,100222.699891064
2003-08-06,100197.315660548
2003-08-07,101218.515975325
2003-08-08,101905.801152504
2003-08-11,102425.600848089
2003-08-12,102084.519340413
2003-08-13,102098.498587855
2003-08-14,102761.298170342
2003-08-15,102661.057926931
2003-08-18,102642.933460913
2003-08-19,102902.256528771
2003-08-20,103702.351606825
2003-08-21,103738.591936624
2003-08-22,103708.822138091
2003-08-25,103180.558471254
2003-08-26,103311.260255196
2003-08-27,103859.895456381
2003-08-28,103614.865059414
2003-08-29,104048.037446811
2003-09-02,103007.692220341
2003-09-03,103149.803402371
2003-09-04,103012.740722451
2003-09-05,103389.294756839
2003-09-08,103336.595840624
2003-09-09,104295.092907721
2003-09-10,104142.303808403
2003-09-11,103968.865913215
2003-09-12,103827.884083262
2003-09-15,104053.200082819
2003-09-16,103724.646092884
2003-09-17,103696.071665179
2003-09-18,104046.982419565
2003-09-19,104290.966649496
2003-09-22,105028.282857566
2003-09-23,104760.332475034
2003-09-24,105620.490136977
2003-09-25,105604.725019325
2003-09-26,105165.933486963
2003-09-29,105788.104774925
2003-09-30,106863.636260695
2003-10-08,107597.081072306
2003-10-09,108008.64545265
2003-10-10,109284.96952204
2003-10-13,110632.072438105
2003-10-14,111779.358365529
2003-10-15,111876.786979097
2003-10-16,112100.761258094
2003-10-17,111190.237420341
2003-10-20,111594.550710532
2003-10-21,111749.129247121
2003-10-22,113113.596129432
2003-10-23,113475.671745518
2003-10-24,113295.755985067
2003-10-27,114244.416790803
2003-10-28,113237.044294309
2003-10-29,113949.790017704
2003-10-30,113892.495390475
2003-10-31,114365.58350958
2003-11-03,114045.647281564
2003-11-04,113361.430326464
2003-11-05,114125.741377363
2003-11-06,113165.207675304
2003-11-07,112712.781036548
2003-11-10,113320.928571569
2003-11-11,113767.744232605
2003-11-12,114093.471777788
2003-11-13,114630.142413847
2003-11-14,114987.916863725
2003-11-17,114224.452702564
2003-11-18,114839.656158169
2003-11-19,113765.787896659
2003-11-20,112591.394889366
2003-11-21,113263.416853333
2003-11-24,111834.55709926
2003-11-26,112697.986091648
2003-12-01,114748.449311994
2003-12-02,115097.879765568
2003-12-03,116523.150519127
2003-12-04,117122.111282015
2003-12-05,116761.238363143
2003-12-08,117902.366512628
2003-12-09,118175.59328065
2003-12-10,118031.097656567
2003-12-11,117341.001693807
2003-12-12,118370.375422883
2003-12-15,118682.463391428
2003-12-16,117960.672222416
2003-12-17,118930.130366663
2003-12-18,118903.018834657
2003-12-19,118723.965505234
2003-12-22,117525.513732253
2003-12-23,117263.718827955
2003-12-24,117287.516457029
2003-12-29,119159.212719924
2003-12-30,119358.363400586
2003-12-31,119246.33548207
2004-01-05,122238.685469463
2004-01-06,122034.186206749
2004-01-07,121197.31429457
2004-01-08,122048.930384793
2004-01-09,123122.984357052
2004-01-12,122722.065943267
2004-01-13,122362.296801696
2004-01-14,122202.489115775
2004-01-15,120100.470911228
2004-01-16,120906.274474902
2004-01-29,118983.719576246
2004-01-30,119545.020382017
2004-02-02,119927.141522747
2004-02-03,119533.092369391
2004-02-04,119762.603212459
2004-02-05,119570.795527878
2004-02-06,119861.028224545
2004-02-09,120153.419721009
2004-02-10,120298.536475619
2004-02-11,121240.721139764
2004-02-12,122712.643082219
2004-02-13,122703.63754382
2004-02-17,124351.831754657
2004-02-18,125046.47459212
2004-02-19,124279.842562814
2004-02-20,123735.894767613
2004-02-23,124272.161189861
2004-02-24,125009.429269706
2004-02-25,125832.046204734
2004-02-26,125724.651201839
