"Index","value"
2004-01-09,1e+05
2004-01-12,100469.837534833
2004-01-13,100085.961586361
2004-01-14,100130.607632218
2004-01-15,99936.988211237
2004-01-16,99911.884889355
2004-01-29,99700.2308688596
2004-01-30,99132.8349984798
2004-02-02,99491.6657698072
2004-02-03,99919.20360198
2004-02-04,99755.269641585
2004-02-05,99722.9660448497
2004-02-06,100916.611856633
2004-02-09,101580.575158064
2004-02-10,101741.556098541
2004-02-11,102732.131796855
2004-02-12,102430.14312531
2004-02-13,101877.198616791
2004-02-17,103350.458869659
2004-02-18,102834.49343137
2004-02-19,102973.558733979
2004-02-20,101500.021192764
2004-02-23,100976.374371375
2004-02-24,100960.164895979
2004-02-25,100206.162697851
2004-02-26,100467.947676327
2004-02-27,100934.832331948
2004-03-01,101580.731358503
2004-03-02,101033.936651859
2004-03-03,100199.571811922
2004-03-04,100724.017503888
2004-03-05,101441.283971562
2004-03-08,101072.271646614
2004-03-09,100505.073793525
2004-03-10,99584.7687698711
2004-03-11,98351.7165753594
2004-03-12,98386.7475541403
2004-03-15,98102.4654270115
2004-03-16,98576.8920399347
2004-03-17,99532.3231762833
2004-03-18,99327.477059215
2004-03-19,98839.69326427
2004-03-22,98007.8207896529
2004-03-23,97632.0898586404
2004-03-24,96835.8876802699
2004-03-25,97801.6523323223
2004-03-26,98281.4393816691
2004-03-29,98896.8105931835
2004-03-30,99262.468258222
2004-03-31,99905.267253186
2004-04-01,101028.656061112
2004-04-02,101132.476013277
2004-04-05,101231.58564627
2004-04-06,101607.898255688
2004-04-07,101355.521657516
2004-04-08,101012.761077313
2004-04-13,99787.8565283561
2004-04-14,98713.8769968655
2004-04-15,98709.8912801595
2004-04-16,99391.9677865125
2004-04-19,99332.6401941739
2004-04-20,98288.2253198472
2004-04-21,98004.3565423834
2004-04-22,99094.3491363179
2004-04-23,99107.4178559225
2004-04-26,99082.3263291297
2004-04-27,99253.1474237972
2004-04-28,97756.0604649493
2004-04-29,96868.6724553573
2004-04-30,96673.2772409603
2004-05-10,93151.145953208
2004-05-11,94056.8388465843
2004-05-12,94275.9465573792
2004-05-13,93910.1848217204
2004-05-14,93595.5412538305
2004-05-17,92683.3939752173
2004-05-18,93325.4027137543
2004-05-19,94178.0526999784
2004-05-20,93824.6839878281
2004-05-21,94338.2406081759
2004-05-24,94551.3556394179
2004-05-25,95183.7643305192
2004-05-26,95753.3071093981
2004-05-27,97248.1322995135
2004-05-28,96864.2597901181
2004-06-01,96814.3225490726
2004-06-02,96616.4014698498
2004-06-03,95938.3170703915
