"Index","equity.value","market.value","loan"
2016-06-06,9980,20000,10000
2016-06-07,9976.08129229877,19996.1327222448,9978.06636112242
2016-06-08,10124.1660066541,20144.2174366001,9978.06636112242
2016-06-13,10094.8672716628,20114.9187016088,9978.06636112242
2016-06-14,10084.1699199801,20104.2213499261,9978.06636112242
2016-06-15,10065.7971073784,20085.8485373245,9978.06636112242
2016-06-16,10174.2595134765,20194.3109434225,9978.06636112242
2016-06-17,10112.9878544759,20133.039284422,9978.06636112242
2016-06-20,10157.2699205117,20177.3213504577,9978.06636112242
2016-06-21,10045.0165747977,20065.0680047438,9978.06636112242
2016-06-22,10008.9612148484,20029.0126447944,9978.06636112242
2016-06-23,10104.2298132828,20124.2812432288,9978.06636112242
2016-06-24,10136.6396124125,20697.5278911884,10518.3629134
2016-06-27,9953.05937361183,19907.4052524903,9911.21336395318
2016-06-28,10098.014083081,20052.3599619596,9911.21336395318
2016-06-29,10345.6817637007,20300.0276425792,9911.21336395318
2016-06-30,10461.0178200182,20902.6402140868,10398.0030894178
2016-07-01,10614.547150305,21056.1695443736,10398.0030894178
2016-07-05,10677.2531456017,21118.8755396702,10398.0030894178
2016-07-06,10799.1879551741,21240.8103492427,10398.0030894178
2016-07-07,10754.7874116618,21196.4098057304,10398.0030894178
2016-07-08,10904.2491687972,21345.8715628658,10398.0030894178
2016-07-11,10932.3793979798,21374.0017920484,10398.0030894178
2016-07-12,10864.2327713466,21305.8551654151,10398.0030894178
2016-07-13,10925.3291561178,21366.9515501864,10398.0030894178
2016-07-14,10907.4875085868,21349.1099026554,10398.0030894178
2016-07-15,10862.10507513,21303.7274691985,10398.0030894178
2016-07-18,10903.8218274138,21345.4442214824,10398.0030894178
2016-07-19,10909.0852400668,21350.7076341354,10398.0030894178
2016-07-20,10868.4246434845,21310.0470375531,10398.0030894178
2016-07-21,10909.4971966367,21351.1195907053,10398.0030894178
2016-07-22,10910.2218690515,21351.84426312,10398.0030894178
2016-07-25,10847.2444049952,21288.8667990638,10398.0030894178
2016-07-26,10861.1014479823,21302.7238420508,10398.0030894178
2016-07-27,10889.224046328,21330.8464403966,10398.0030894178
2016-07-28,10949.0786218671,21390.7010159357,10398.0030894178
2016-07-29,11088.1350676313,21529.7574616999,10398.0030894178
2016-08-01,11090.2884196863,21531.9108137548,10398.0030894178
2016-08-02,11108.1710462992,21549.7934403678,10398.0030894178
2016-08-03,11085.5320176894,21527.154411758,10398.0030894178
2016-08-04,11107.4014145974,21549.023808666,10398.0030894178
2016-08-05,11048.3551609511,21489.9775550197,10398.0030894178
2016-08-08,11016.0431242219,21457.6655182905,10398.0030894178
2016-08-09,11060.8341551043,21502.4565491728,10398.0030894178
2016-08-10,11064.7439578844,21506.366351953,10398.0030894178
2016-08-11,11108.0231340857,21549.6455281543,10398.0030894178
2016-08-12,11050.4897455642,21492.1121396328,10398.0030894178
2016-08-15,11116.0317758049,21557.6541698735,10398.0030894178
2016-08-16,11123.7106871215,21565.3330811901,10398.0030894178
2016-08-17,11089.9830666747,21531.6054607433,10398.0030894178
2016-08-18,11177.115332657,21618.7377267256,10398.0030894178
2016-08-19,11082.4917682064,21524.114162275,10398.0030894178
2016-08-22,11056.4220643134,21498.0444583819,10398.0030894178
2016-08-23,11100.4543320956,21542.0767261642,10398.0030894178
2016-08-24,10921.779936661,21363.4023307296,10398.0030894178
2016-08-25,10874.7459647231,21316.3683587917,10398.0030894178
2016-08-26,10866.074088427,21307.6964824955,10398.0030894178
2016-08-29,10937.9717370252,21379.5941310938,10398.0030894178
2016-08-30,10834.4250182712,21276.0474123398,10398.0030894178
2016-08-31,10771.8049613434,21213.427355412,10398.0030894178
2016-09-01,10809.3172200037,21250.9396140723,10398.0030894178
2016-09-02,10930.0534267469,21371.6758208154,10398.0030894178
2016-09-06,11161.2629144199,21602.8853084885,10398.0030894178
2016-09-07,11122.9482118196,21564.5706058882,10398.0030894178
2016-09-08,11042.6590649689,21484.2814590374,10398.0030894178
2016-09-09,10702.8323173894,21144.454711458,10398.0030894178
2016-09-12,10807.9394391732,21249.5618332418,10398.0030894178
2016-09-13,10618.9312963667,21060.5536904353,10398.0030894178
2016-09-14,10630.0386556455,21071.6610497141,10398.0030894178
2016-09-19,10671.6708512245,21113.293245293,10398.0030894178
2016-09-20,10690.2198886092,21131.8422826778,10398.0030894178
