"Index","value"
2011-08-05,1e+05
2011-08-08,96144.280662892
2011-08-09,95764.3832989363
2011-08-10,97359.6335315705
2011-08-11,99155.8982283187
2011-08-12,99318.8812929718
2011-08-15,101019.966915116
2011-08-16,100364.703380623
2011-08-17,100907.309834982
2011-08-18,98254.2572900932
2011-08-19,98402.3281198155
2011-08-22,98545.4318013731
2011-08-23,100104.596969062
2011-08-24,99756.8379812303
2011-08-25,101097.458947431
2011-08-26,101644.837642428
2011-08-29,101433.472798096
2011-08-30,101671.006332316
2011-08-31,101618.112322072
2011-09-01,101198.246031414
2011-09-02,100051.347106654
2011-09-05,98760.605421184
2011-09-06,98385.4156262009
2011-09-07,100592.773433566
2011-09-08,99964.5809477264
2011-09-09,98833.3515436958
2011-09-12,98241.5766232782
2011-09-13,98328.5943038681
2011-09-14,98448.9491642864
2011-09-15,98575.0147764483
2011-09-16,98169.5224370716
2011-09-19,96093.3334365196
2011-09-20,96601.8988239224
2011-09-21,97570.8379952701
2011-09-22,93696.9388604095
2011-09-23,92670.0678433207
2011-09-26,91747.3223029873
2011-09-27,93631.3167178859
2011-09-28,91767.8974833061
2011-09-29,91335.8286643124
2011-09-30,89934.1160838096
2011-10-03,89400.0514566072
2011-10-04,88646.4252987708
2011-10-05,89867.3584968199
2011-10-06,90998.5988019034
2011-10-07,90953.0268995349
2011-10-10,91631.7564493661
2011-10-11,92256.9695531445
2011-10-12,93896.0624503134
2011-10-13,94448.5357581424
2011-10-14,95471.6342204097
2011-10-17,95255.3799099102
2011-10-18,94300.989480313
2011-10-19,93401.8541475477
2011-10-20,92148.1301956456
2011-10-21,92233.487007787
2011-10-24,94308.5220731978
2011-10-25,95499.5050146207
2011-10-26,95164.022405154
2011-10-27,96795.4621983918
2011-10-28,97506.0814881089
2011-10-31,97407.4875813278
2011-11-01,96997.8482200751
2011-11-02,98265.6132468574
2011-11-03,98666.3880365757
2011-11-04,99094.1307356888
2011-11-07,99239.2289444676
2011-11-08,99194.471560645
2011-11-09,99173.1255865202
2011-11-10,99251.1493070862
2011-11-11,99415.8906488874
2011-11-14,100303.696360668
2011-11-15,100669.989989182
2011-11-16,99676.3178143618
2011-11-17,98294.2376459834
2011-11-18,96805.2697642823
2011-11-21,96212.3274036204
2011-11-22,96823.2349794528
2011-11-23,95635.6803678663
2011-11-24,95779.2237091116
2011-11-25,95467.1523692294
2011-11-28,96262.0579856155
2011-11-29,97534.8085092713
2011-11-30,96020.5470600967
2011-12-01,96819.9728116733
2011-12-02,96333.78523361
2011-12-05,95249.0475603734
2011-12-06,95476.7460237697
2011-12-07,95349.1676679926
2011-12-08,94932.5779189402
2011-12-09,94587.5755767978
2011-12-12,93531.3820375125
2011-12-13,93150.2894101189
2011-12-14,90783.8547931145
2011-12-15,89702.0164100487
2011-12-16,90809.6213543481
2011-12-19,91178.4090937836
2011-12-20,92007.6673156318
2011-12-21,91573.5145801602
2011-12-22,91850.1374136305
2011-12-23,92139.2287686389
2011-12-26,91983.5454049811
2011-12-27,91246.3969207496
2011-12-28,90480.3588498585
2011-12-29,90490.2507322566
2011-12-30,90935.4000929386
2012-01-03,91679.3151202242
2012-01-04,91740.8418952853
2012-01-05,90090.2665409552
2012-01-06,90432.4013061732
2012-01-09,91976.1746904817
2012-01-10,93787.4298355275
2012-01-11,93306.4970314098
2012-01-12,92609.9834692706
2012-01-13,90741.7673418421
2012-01-16,89920.7229099031
2012-01-17,92079.6403297383
2012-01-18,90408.3042994018
2012-01-19,91392.2962277891
2012-01-20,91768.2819357935
2012-01-23,92162.2998387937
2012-01-24,92130.6076569846
2012-01-25,92289.6623100623
2012-01-26,92501.5767862199
2012-01-27,92592.5344430165
2012-01-30,92113.1629738432
2012-01-31,91838.2385834175
2012-02-01,91457.2209553944
2012-02-02,92342.310840103
2012-02-03,93568.4127882009
2012-02-06,93884.0611024379
2012-02-07,93233.478820556
2012-02-08,94570.4888589735
2012-02-09,95019.3206568929
2012-02-10,94562.7442908563
2012-02-13,95324.5807537886
2012-02-14,95011.9879514371
2012-02-15,95901.4179502013
2012-02-16,95904.7832137816
2012-02-17,95958.7087902873
2012-02-20,96702.0194420857
2012-02-21,97532.8616183021
2012-02-22,98674.0752172187
2012-02-23,99009.3076819165
2012-02-24,100115.246216994
2012-02-27,99840.5319489457
2012-02-28,99044.0982666962
2012-02-29,98403.9834541514
2012-03-01,99298.0635806271
2012-03-02,99462.5106697846
2012-03-05,99266.6566589517
2012-03-06,97753.1721392093
2012-03-07,97781.0985883097
2012-03-08,98876.3916040676
2012-03-09,99761.3797928457
2012-03-12,99667.3436527055
2012-03-13,100403.276236234
2012-03-14,98443.6139955208
2012-03-15,97737.4575742718
2012-03-16,99208.5879869711
2012-03-19,99725.614979943
2012-03-20,97938.6426970149
2012-03-21,97967.5854362779
2012-03-22,97258.2831166011
2012-03-23,97301.0685419895
2012-03-26,97522.1538014889
2012-03-27,97326.5822568561
2012-03-28,95034.454615859
2012-03-29,93465.9564447908
2012-03-30,93858.6626608108
2012-04-02,95182.6090397903
2012-04-03,95154.3498931522
2012-04-04,94356.725540824
2012-04-05,95033.8915937941
2012-04-06,95108.9256604898
2012-04-09,94250.1238689138
2012-04-10,93994.0621932537
2012-04-11,94353.2869306634
2012-04-12,95883.8341780168
2012-04-13,95768.686180973
2012-04-16,95220.335914548
2012-04-17,94820.5449399457
2012-04-18,95340.2098077793
2012-04-19,95488.416100641
2012-04-20,96258.7638341354
2012-04-23,94767.770657835
2012-04-24,94657.8321515317
2012-04-25,95017.2253187011
2012-04-26,95267.7973526694
2012-04-27,95677.9104210534
2012-04-30,96212.7939178421
2012-05-01,96573.6024205502
2012-05-02,96095.1458174701
2012-05-03,95616.7158797149
2012-05-04,95115.2408774199
2012-05-07,95464.0817955519
2012-05-08,95090.6983574924
2012-05-09,94270.0446704221
2012-05-10,94466.4003513045
2012-05-11,93697.4390991769
2012-05-14,93030.8217301223
2012-05-15,93045.4709614834
2012-05-16,92208.1189710985
2012-05-17,92586.8324179331
2012-05-18,91873.3970897765
2012-05-21,92269.4520786582
2012-05-22,92474.9131760787
2012-05-23,91507.2371603076
2012-05-24,91582.0101780633
2012-05-25,91234.5295227737
2012-05-28,91552.23159884
2012-05-29,92244.7307998441
2012-05-30,91360.568007977
2012-05-31,90906.5897136663
2012-06-01,89794.5932752389
2012-06-04,88887.8730441081
2012-06-05,88979.3726554535
2012-06-06,89605.1237088077
2012-06-07,89315.7953528544
2012-06-08,88918.7016366052
2012-06-11,89335.8413649936
2012-06-12,89173.1372548772
2012-06-13,89586.2046456548
2012-06-14,89620.8026665374
2012-06-15,89862.5050899496
2012-06-18,90103.1156965784
2012-06-19,90161.3690495687
2012-06-20,89341.7670365858
2012-06-21,87460.9059681584
2012-06-22,87601.9570959066
2012-06-25,87210.7832342016
2012-06-26,87423.0110705453
2012-06-27,87724.1205116787
2012-06-28,86587.6363434295
2012-06-29,89854.3921134595
2012-07-02,90018.2285459785
2012-07-03,91739.7193050114
2012-07-04,91755.0535346138
2012-07-05,91179.93371566
2012-07-06,90691.6874297375
2012-07-09,90546.577407664
2012-07-10,89477.7376643116
2012-07-11,90289.8726557013
2012-07-12,91065.3580501016
2012-07-13,91453.7690436776
2012-07-16,90791.7196138302
2012-07-17,91225.340806629
2012-07-18,91821.981915636
2012-07-19,93263.3700009611
2012-07-20,92735.4093028223
2012-07-23,90997.9036937171
2012-07-24,90869.3757308558
2012-07-25,91138.7680615844
2012-07-26,91118.923090344
2012-07-27,91554.620516161
2012-07-30,91246.0947831468
2012-07-31,90246.8224117204
2012-08-01,90991.3257294397
2012-08-02,90330.669744364
2012-08-03,92330.4262085025
2012-08-06,93322.9432212871
2012-08-07,93966.754372949
2012-08-08,93943.2311965279
2012-08-09,94668.9796687787
2012-08-10,94191.3821704078
2012-08-13,93073.2250864072
2012-08-14,93458.3510975687
2012-08-15,93417.1185260449
2012-08-16,93583.4471239037
2012-08-17,93467.2748942956
2012-08-20,93717.1554506225
2012-08-21,94683.4445682623
2012-08-22,94561.3169099306
2012-08-23,94585.9753186292
2012-08-24,93719.5479108734
2012-08-27,92680.1310621289
2012-08-28,93118.2621915055
2012-08-29,92839.4068550996
2012-08-30,92165.2074998364
2012-08-31,92648.2298296831
2012-09-03,93133.0119426096
2012-09-04,92857.4861828022
2012-09-05,92652.5674287554
2012-09-06,93289.9030349046
2012-09-07,95301.1970231678
2012-09-10,95440.6903449101
2012-09-11,95383.4087869385
2012-09-12,95506.2190586941
2012-09-13,95305.0483776198
2012-09-14,95808.6987089813
2012-09-17,93641.5321989782
2012-09-18,92756.7721455405
2012-09-19,91941.9615971686
2012-09-20,90956.375295092
